1,105,2014,6,2,60,9361#DKOSYmnyo1128,3.8800,16687,16775.310,-14800,-1456,-3652.8200,14057.83
2,17,1541,19,5,43,2752#Nj6PshztMdVkR,1.5890,317,-2799.870,-867,-4543,-14400.4000,19927.4
3,59,2363,4,8,666,10273#NiriHx5Tzypsq,-2.7450,-29446,-3858.520,23378,31050,18320.9400,-3267.38
4,117,1615,32,8,204,9207#U97Gm0Y7HReh6,-0.8028,-27360,29989.220,27213,-2730,4755.8700,26946.61
5,61,263,172,7,42,10011#H1UDhipFBpQed,1.3650,8535,6795.790,23788,-21787,37555.7700,-3754.84
6,35,500,91,6,875,12451#w284MDhzqEvXC,1.7446,-48182,54766.040,34886,-6281,8390.4300,36533.05
7,198,439,105,6,1067,71091#i56JyVxopmV1w,-4.7128,54456,42153.180,-56929,-67781,38326.8200,56832.62
8,78,2347,23,3,126,53731#Qii940bMyRA0t,-2.0700,-58055,10706.710,-37563,-54219,-46624.1400,-2647.86
9,47,1561,205,7,997,22845#BH7TDpz7FRDBq,-3.3760,-66295,10053.170,-11300,-77127,-11863.0700,-16465.32
10,175,1179,40,7,950,99269#0p8dTPOvLuiEM,3.3400,53699,62846.630,44862,-73485,-44903.7000,-9375.36
11,56,1885,185,1,113,15112#4UTnmiWaQjEDt,1.4770,-70946,24124.240,63541,9333,-52042.2000,-49535.68
12,10,155,227,7,605,116352#0Gh8EvLyqX4Dw,2.9080,77448,-12246.140,-78425,-71156,-26657.5700,67574.67
13,190,2496,204,2,110,69889#iifb1xn9ohFRD,-1.6670,-46620,-41605.530,-56656,38284,-11923.5200,6071.4
14,30,2170,131,8,510,116715#XwB6Ki2FgJHF1,2.1780,92942,-128265.210,20003,8557,-61163.4000,66894.96
15,57,449,24,7,128,16960#DUtzaZfVP5EoP,2.3690,109609,-15258.500,-22227,117196,-82653.0700,51452.32
16,56,2455,112,4,532,35295#Ah2CYh1klK7tN,-1.0200,-114469,111560.160,119201,-94942,-155542.2700,113281.0
17,194,1271,160,3,186,43751#B3wGFQlloIBxP,-4.0180,129050,73107.690,-171012,-136246,-157478.2000,5804.25
18,221,1359,120,4,385,11613#gEa8ibaSDvV6W,3.4300,51065,-16221.460,-74007,-134527,103179.8100,45352.39
19,154,1521,143,2,632,63874#k2vvC8PXDU9FV,-0.5133,54480,80895.220,75891,-152643,-158965.9700,-92964.77
20,197,2476,73,5,1104,73202#ohJR16Z8SWcw9,-3.9400,134280,-170583.690,89723,-118022,-47142.9200,-26321.23
21,188,356,177,4,257,154542#uhc97R9RUSIh8,-1.8600,-79324,-116288.250,20966,-14519,-165748.9600,-156478.2
22,166,2160,5,5,31,74158#gpuvhJZFRJv6V,2.9900,-115630,-66033.050,-4366,-175715,74522.5100,59899.01
23,28,615,226,4,1238,193672#gwyhIdzZVJm76,3.5300,-20279,-229570.970,-40389,155246,107926.6900,-235978.15
24,144,2468,96,6,813,32035#s0TdCD2d4Rz8Z,-3.5800,129055,-75158.060,-69556,164845,-225001.0900,89643.99
25,59,384,202,8,1215,26162#WZh1Anq9KPnNF,-0.8000,-147211,-79561.600,46824,237240,-26184.7900,-14530.29
26,117,994,111,1,108,33394#v8s14hZbae1a6,2.6620,-60557,190933.050,-129550,-56321,73905.3500,-238973.57
27,209,444,101,1,1197,266853#zQUmmutoXW4NL,3.8290,55869,-264439.650,268280,-21328,-229969.5200,118321.38
28,171,2457,16,1,740,112207#U97Gm0Y7HReh6,-4.4760,-30728,65184.310,-215498,-127993,153291.1900,-220251.35
29,94,1845,164,7,312,204680#sDh6Q1EvMpGEB,0.1220,-25105,274900.460,-222477,-11820,-172389.2000,114230.81
30,186,461,103,7,775,292938#TnqzA6kAmbJWN,1.9300,-288062,72719.980,-80092,-165636,-85747.9600,-56040.11
31,144,1733,89,7,228,132134#cP0h3nakM8g1O,-1.2200,257700,-93790.300,137177,-225878,-143645.2900,84816.6
32,211,2339,199,8,690,16414#f6Ry1qlPgdFzv,2.2900,43128,-28473.810,39327,310202,69440.5100,-301018.72
33,137,1326,98,8,1278,25354#QERHgev50KRr0,3.7881,-76555,-234596.600,-214495,128800,-253671.2700,238323.87
34,53,117,57,4,53,170782#5oeiIQ7Nw7fRy,-3.2660,318714,-311822.190,120999,-256078,-333932.2200,-566.1
35,163,1651,211,2,112,256056#99u63t2xhkWOF,4.5700,-250579,-177905.350,-257681,47996,6895.7100,-285152.47
36,148,1748,53,3,832,317632#nrgzQbdD98ID1,-3.4200,-283043,-161798.620,-73554,6566,270386.7900,8536.21
37,151,368,131,5,796,9823#Wszyr8g5ND2Rp,0.5800,262908,-229707.880,316899,202889,315299.5400,-177296.34
38,91,1176,48,5,714,60962#8nGKV4EmYN0Uz,-2.2500,26136,-337008.380,242070,252165,-61172.2000,-114744.92
39,160,261,4,5,437,32496#BjduMCL3OeYLg,2.5700,-30369,-265244.030,-8110,339514,-189506.7700,167007.6
40,212,2153,179,6,1291,271501#EWcwbKHZbvD4Y,2.0700,-242112,-22828.400,316512,380368,258201.2700,78313.07
41,138,2361,60,8,977,46720#Sslk70oRR0TwM,5.3600,-372749,142755.420,266535,-35210,-371763.0500,-98130.17
42,71,2529,113,5,473,318087#6NHvWrVnQmY5W,-1.2298,-96113,336955.540,24970,-80132,-411577.3500,-349023.31
43,220,1005,199,2,942,98915#Xdf4OamUpwNtU,-4.1209,-279678,181191.900,-424637,-375131,-381971.6100,-154985.48
44,3,38,147,1,1407,295110#gwy4afUT92c8z,0.8820,-147132,395452.980,330999,185235,-445067.0900,-381539.77
45,191,1543,23,3,1389,197306#oT0I1Uep9oKyD,-0.5850,160590,-237868.690,35535,-116956,92027.2700,-256499.27
46,109,2113,68,6,220,32754#UA8vVOHAWdsBe,-1.1388,110583,27778.210,64527,212121,358515.3200,-451071.3
47,163,689,141,1,337,343619#ixMQOQX0yQyHK,3.6310,294923,-195443.070,-316132,-131534,-156367.7700,37320.41
48,116,1477,83,1,1170,52003#AATCzRnICAEKh,-2.5980,229725,22601.270,264752,-51405,-413536.3900,-387989.19
49,89,2549,200,1,848,319403#bj7o03wbGp7d6,4.9470,-449520,-306514.090,-346845,-114641,33724.5900,195151.45
50,214,1867,122,1,977,19291#rk5O8PAyyvX1n,2.1300,-492187,26662.660,49508,348283,506264.1200,417968.43
51,207,5,131,6,715,289140#0LysN4JlIThBa,2.8800,393262,404692.810,-476300,-247781,-254675.8200,419657.83
52,124,1121,156,8,1387,49159#L7PhdPdS0q8w5,1.8140,140767,-182784.870,-19680,-353693,-295493.4000,444727.4
53,16,2461,202,1,253,132602#lo2o0N5e6sMGB,-1.9950,-358996,89656.980,340828,530519,239602.4400,-186467.38
54,94,1443,193,3,226,115486#t80euotsbze0O,-0.8378,-404497,293120.220,319088,64503,-59078.6300,302946.61
55,220,1994,219,6,400,10843#nhe07uRvxptPu,2.0150,10660,-15358.710,190301,-301094,363076.7700,-58154.84
56,68,2265,210,4,1165,68778#a3OAB690ZnhGv,2.1996,-424782,492261.540,289323,-42181,26327.9300,283733.05
57,73,2505,126,6,990,518689#SLzlHlPiGH9rn,-4.2328,384194,350744.680,-492229,-558869,281860.3200,484032.62
58,193,2203,31,6,1380,360852#4ug4wTRFmafGV,-3.0700,-370692,83486.210,-320491,-405469,-362288.6400,-39447.86
59,113,2,108,8,967,105786#sCcDcAgSSeaIg,-2.5760,-460245,104983.170,-92662,-482802,-25137.5700,-72465.32
60,205,132,218,3,1375,557519#LM4sxZ9mYN58I,3.1900,298374,340498.630,235037,-450085,-235994.2000,-10175.36
61,102,2365,67,2,276,58535#UBhlvRr4F2ZFH,1.3270,-375317,119439.740,342591,7108,-320593.2000,-248735.68
62,143,2073,146,4,1272,592704#29enCtGTmX14b,2.8580,433011,-80121.640,-407135,-394050,-133693.0700,336374.67
63,60,781,211,8,1285,301417#d209jrm1Ww9me,-2.1170,-255520,-238472.030,-239106,167093,-29372.5200,-7528.6
64,103,2398,22,5,149,526317#YY9d2p015hNPC,3.5280,448667,-590807.710,78653,17145,-294301.4000,330894.96
65,215,308,39,2,1207,43115#LrbYrCFDI5qQt,2.6990,461815,-64263.500,-108615,504389,-387013.0700,253852.32
66,133,1708,26,2,248,136786#sCcDcAgSSeaIg,-2.0200,-464181,489237.160,482707,-420786,-634610.7700,455681.0
67,103,1202,178,3,1016,171200#ZS7igRiKUAxlL,-2.7180,533225,287305.690,-661987,-556784,-609195.7000,5804.25
68,98,2547,208,2,190,39451#w284MDhzqEvXC,3.1800,170853,-54326.460,-269188,-501483,409147.8100,151752.39
69,32,1168,202,7,1425,215378#C1yDv8QREDX2c,-0.5483,187443,288407.720,261541,-530609,-554039.9700,-357764.77
70,213,2561,201,7,846,232956#1grsrm6orDk2Z,-4.9400,449355,-577051.690,332485,-396538,-188035.4200,-68721.23
71,170,1623,24,3,906,518957#28LvW0wV5hm6h,-2.3600,-278449,-372966.750,61516,-36419,-541731.9600,-526878.2
72,163,1502,5,5,1051,229525#ZYUszGNuuFxM0,2.4900,-384855,-204258.050,-35866,-590065,238072.0100,215899.01
73,127,406,189,4,225,594640#YZFLeMQu4PkRh,2.5300,-50441,-723254.970,-120614,498046,337127.1900,-731978.15
74,58,2029,81,2,695,83255#A5grVcRpt4d1M,-3.2050,394055,-247707.060,-205731,502745,-677669.5900,269643.99
75,129,1601,12,2,824,77199#BfupbRs4vMAE3,0.6000,-445036,-236421.100,128299,702040,-74067.7900,-46530.29
76,159,969,63,3,499,96092#W0YvkleX5BeHA,2.2620,-195170,550781.050,-360356,-147821,214144.8500,-700573.57
77,146,2418,35,3,292,758840#rljoBgx2GO1mF,5.1790,172044,-759436.150,752624,-72578,-665439.0200,324721.38
78,28,917,102,8,271,298444#smQXVZ9Uh8Zaa,-4.4510,-95303,183405.310,-594271,-360055,431926.6900,-628251.35
79,39,1563,147,5,1156,551911#ygmO7FtKHTlK9,1.0220,-82042,752062.960,-607746,-35358,-460621.7000,313430.81
80,88,1190,36,3,1344,765591#n2LI3NlAFF47d,2.5300,-766537,208306.480,-211930,-439666,-238206.9600,-136040.11
81,116,1018,200,2,1262,341832#RQy5tMvG8ssI7,-2.2200,679938,-241004.300,345052,-577340,-385128.2900,236816.6
82,108,2514,48,7,897,29610#MHGNoM2m3GYJa,1.2900,118878,-68768.310,88386,803452,179472.5100,-757818.72
