85,636760,-822251,744654.4,-718226,-789818,565849,336623
86,-270703,-675216,-89620.49,297600,123818,-384197,195863
87,168891,183354,591501.25,517429,-360010,-209413,-74272
88,-332648,-322046,-55979.24,-50564,833186,142596,-511870
89,160411,-840454,355565.84,669959,-461377,749816,135044
90,558794,875354,148314.2,-82529,163364,510340,550934
91,-680737,316931,-490006.62,418864,431742,-603090,674249
92,8710,528080,155928.08,-81803,580208,-912171,-344282
93,438671,-26979,767536.25,-288791,169553,-827339,494778
94,285852,-310485,-858098.25,467384,-824046,-377548,185999
95,-180178,-699761,65757.29,383672,32604,-259011,-395165
96,300178,821439,43696.55,-759583,36207,-82325,-341973
97,364938,-917373,-376154.88,471818,361016,915040,517182
98,-761887,-598096,-906052.06,-516558,-132268,847728,591846
99,114763,-193088,807485.7,198962,-481045,601551,100228
100,836167,-913874,-951096.56,87451,106518,525708,190488
101,-375717,-375858,253069.02,-783376,968869,-555441,789716
102,595363,516766,517905.62,318402,-766847,84156,247311
103,-304763,337844,-572428.44,-928422,-248080,381222,-313986
104,646510,-571904,-214438.52,-528624,-481000,575241,-330080
105,823921,-896751,-84083.66,204082,787945,423373,763817
106,-55717,-833572,-32654.83,-804623,-512485,912246,817596
107,141501,-836794,-29976.56,253890,547658,-458213,-1002333
108,478154,-475501,8467.68,842744,-241038,-648439,500487
109,889712,753378,904659.25,-941634,-1074753,419966,645144
110,-705108,-826063,-985365.1,-923053,-1002463,392871,-396680
111,-827402,-473433,689654.7,-674483,-322301,223384,-1103360
112,934220,677814,431152.84,-944422,-812020,-1018086,596762
