547,157,2,6,5,3,1664,-3352703
548,34,1,4,4,4,1443,2276801
549,137,2,5,7,2,875,4883267
550,90,2,3,5,3,993,-195664
551,211,2,6,5,8,2437,-2894754
552,83,2,1,1,1,2764,-4450130
553,186,2,4,4,3,1189,5365126
554,184,1,3,1,3,2459,1977283
555,86,2,3,2,5,2840,493788
556,173,2,2,6,2,46,2371937
557,166,2,2,8,8,1492,-1696715
558,6,1,5,5,2,1407,-2849571
559,77,2,3,2,5,1283,2414775
560,65,1,4,2,5,1103,1199320
561,163,1,2,9,4,1231,-1199191
562,110,1,5,5,2,2427,-2183534
563,82,1,2,7,1,1031,-1782786
564,83,1,5,4,7,1667,-244030
565,64,2,5,8,4,1585,-3433858
566,121,1,3,1,2,1369,-2075498
567,133,2,4,6,4,825,5523401
568,23,1,3,6,3,1644,-4916760
569,188,1,2,1,8,1744,1241275
570,25,2,6,9,3,2267,2352188
571,156,1,3,3,5,725,-2342360
572,207,2,3,2,2,144,-3174187
573,188,2,2,2,9,2058,-5620916
574,207,1,1,9,4,876,-4366416
575,161,1,5,6,1,2982,-5114169
576,108,1,1,2,8,141,3124391
577,34,1,6,3,1,231,-2850162
578,131,1,1,7,5,1847,-2567209
579,96,1,1,9,5,1123,-2040865
580,188,2,6,1,7,1783,-3788478
581,120,1,2,3,1,2900,3766044
582,65,2,5,6,7,2487,880596
583,165,2,3,3,6,842,1261611
584,78,1,3,2,1,1400,5650064
585,204,2,2,1,7,1132,-2781189
586,60,1,2,6,8,3,-3175130
587,122,2,5,5,8,120,1933651
588,120,2,5,6,1,400,3806046
589,20,1,2,1,8,3039,-5449090
590,73,1,2,4,9,713,878715
591,37,1,5,7,8,797,5282723
592,122,2,6,2,3,2979,-3833409
593,92,1,6,1,5,1695,2725356
594,167,1,2,2,1,995,3696403
595,212,2,4,9,7,536,-2103189
596,41,1,4,2,9,1283,-5288677
597,8,2,4,9,5,765,-3658421
598,197,2,4,8,9,1304,2484442
599,175,1,5,9,8,2632,5327881
600,149,2,3,1,5,2474,-212605
601,167,2,1,4,7,1916,-3157808
602,92,2,1,8,5,3019,-4852429
603,200,2,6,3,6,564,5850716
604,146,2,3,6,9,260,2156630
