1,1014,676,-4214,-846.66
2,252,843,11115,15944.8
3,810,591,-1702,7279.37
4,1388,2159,-31454,24607.77
5,1156,477,23451,-5049.58
6,164,981,-50468,35556.23
7,838,1747,-18789,-12292.32
8,1203,867,-1884,-46920.94
9,1135,2153,25755,-88680.04
10,875,589,68996,50132.63
11,1082,716,-41126,48157.65
12,17,1167,25980,37921.02
13,162,59,82526,106499.36
14,256,101,86742,-132794.06
15,1261,278,-143966,131726.37
16,825,1316,104951,24317.17
17,905,1141,-133666,-75812.03
18,953,759,-77562,-152750.35
19,988,380,110665,-146220.84
20,865,1531,127756,147307.13
21,995,701,85617,-115804.77
22,713,363,106474,-39323.31
23,412,73,-109202,105411.54
24,294,91,60037,191412.82
25,74,1759,43944,-39875.83
26,991,1830,-150563,-187064.48
27,632,226,239609,-171520.8
28,447,342,83051,155422.94
29,537,1223,-197260,14593.97
30,1138,1279,258046,94469.74
31,1355,1053,201801,-44847.96
32,1267,1887,13364,-225954.59
33,110,230,-224036,-125427.33
34,1139,1008,-293033,248788.11
35,279,1011,-274676,-48524.54
36,928,41,-185349,339945.31
37,1427,136,-18034,262297.25
38,853,1124,269883,271953.73
39,535,296,-48036,111744.27
40,57,1650,78525,-268754.53
41,734,799,357042,4162.62
42,910,786,394388,340578.36
43,1401,195,-244694,-100533.87
44,1381,413,-341620,-26856.96
45,792,73,-294496,-89438.39
46,1392,875,41498,46980.15
47,1259,1650,-252798,-201898.46
48,495,1685,363478,216469.7
49,41,1797,-69056,-273808.18
50,941,370,377547,-112918.49
51,572,1851,4530,73553.34
52,1299,984,403967,254344.8
53,418,1095,8238,228879.37
54,128,1126,-419139,336607.77
55,810,338,338509,-22649.58
56,932,967,-426014,262756.23
57,1228,641,-164269,-149092.32
58,556,1087,44199,-378920.94
59,412,1146,139049,-581480.04
60,430,1905,455197,325332.63
61,778,1888,-236026,251357.65
62,250,279,150936,176321.02
63,262,473,384214,522499.36
64,1010,1663,406703,-587194.06
65,1412,6,-641274,548526.37
66,78,1810,401773,94717.17
67,331,857,-554369,-325412.03
68,506,710,-309769,-570350.35
69,1264,1040,416962,-508620.84
70,969,2071,433029,512907.13
71,500,2145,277756,-368604.77
72,780,1885,348233,-124923.31
73,149,1256,-350272,355811.54
74,356,588,203878,608212.82
75,357,861,151492,-100675.83
76,1261,1681,-424480,-540664.48
77,1404,681,668864,-474720.8
78,1353,184,236862,417022.94
79,1094,2064,-547928,26593.97
80,592,386,686172,245669.74
81,441,1211,511517,-103247.96
82,1258,894,24815,-569154.59
83,101,483,-560572,-327027.33
84,192,1065,-727497,627188.11
85,171,679,-656877,-130924.54
86,1453,1269,-441944,823145.31
87,611,1746,-35291,615097.25
88,259,460,629114,621553.73
89,75,1490,-97625,259744.27
90,717,66,166738,-601554.53
91,1154,111,788020,-2237.38
92,18,2021,857027,749378.36
93,581,1343,-529260,-218133.87
94,120,94,-728682,-68456.96
95,64,1297,-626317,-195038.39
96,625,1143,96062,106980.15
97,946,1203,-517199,-420298.46
98,1235,1744,744279,448469.7
99,173,1431,-130029,-559408.18
100,1241,1501,758812,-225718.49
101,130,824,13276,147953.34
102,889,1125,796819,492744.8
103,26,1599,18180,450479.37
104,324,94,-806824,648607.77
105,464,199,653567,-40249.58
106,244,952,-801560,489956.23
107,162,1737,-309750,-285892.32
108,1366,1307,90283,-710920.94
109,1145,139,252343,-1074280.04
110,1441,1019,841399,600532.63
111,474,858,-430925,454557.65
112,482,1594,275893,314721.02
113,362,887,685903,938499.36
114,308,1022,726664,-1041594.06
115,107,1936,-1138582,965326.37
116,787,102,698594,165117.17
117,1213,574,-975072,-575012.03
118,59,661,-541975,-987950.35
119,84,1700,723259,-871020.84
120,1073,409,738302,878507.13
121,4,1387,469895,-621404.77
122,847,1205,589992,-210523.31
123,1342,237,-591343,606211.54
124,418,1085,347718,1025012.82
125,640,2165,259040,-161475.83
126,75,1532,-698397,-894264.48
127,720,1136,1098119,-777920.8
128,803,25,390673,678622.94
129,196,703,-898595,38593.97
130,46,1696,1114297,396869.74
131,983,1369,821234,-161647.96
132,1249,2104,36265,-912354.59
133,91,735,-897109,-528627.33
134,701,1122,-1161960,1005588.11
135,63,347,-1039077,-213324.54
136,522,294,-698539,1306345.31
137,1251,1154,-52547,967897.25
138,1121,1999,988344,971153.73
139,1071,482,-147215,407744.27
140,1377,684,254952,-934354.53
141,118,1625,1218998,-8637.38
142,582,1054,1319665,1158178.36
143,1217,289,-813826,-335733.87
144,315,1977,-1115744,-110056.96
145,792,319,-958138,-300638.39
146,1314,1411,150627,166980.15
147,632,757,-781601,-638698.46
148,519,1803,1125081,680469.7
149,305,1065,-191002,-845008.18
150,85,431,1140077,-338518.49
151,1144,1999,22021,222353.34
152,480,1266,1189671,731144.8
153,1090,2103,28121,672079.37
154,520,1263,-1194509,960607.77
155,118,60,968625,-57849.58
156,1012,938,-1177106,717156.23
157,552,631,-455230,-422692.32
158,719,1527,136367,-1042920.94
159,422,1334,365637,-1567080.04
160,996,133,1227600,875732.63
161,170,2030,-625825,657757.65
162,715,706,400849,453121.02
163,462,1301,987591,1354499.36
164,1062,382,1046625,-1495994.06
165,258,1664,-1635890,1382126.37
166,40,596,995416,235517.17
167,639,290,-1395775,-824612.03
168,1068,612,-774182,-1405550.35
169,360,158,1029556,-1233420.84
170,1177,949,1043575,1244107.13
171,965,629,662034,-874204.77
172,914,525,831751,-296123.31
173,1079,1420,-832413,856611.54
174,480,1582,491559,1441812.82
175,923,1267,366588,-222275.83
176,345,1383,-972314,-1247864.48
177,36,1591,1527374,-1081120.8
178,253,2069,544484,940222.94
179,753,1544,-1249263,50593.97
180,956,803,1542423,548069.74
181,69,1527,1130950,-220047.96
182,1240,1111,47716,-1255554.59
183,82,988,-1233645,-730227.33
184,1210,1179,-1596424,1383988.11
