1926,489,2019-11-21 16:38:16.000,4215558,-3892602,7677688.37,17408866,-11496305
1927,426,2019-03-17 06:44:02.000,3723931,6466569,-7238004.97,13054122,-6327615
1928,2781,2019-03-09 10:44:26.000,-17492696,-17929908,-1.564875121E7,-4122382,12295235
1929,3098,2018-07-31 00:43:37.000,2548494,4429530,-4787023.83,-4517114,-9027017
1930,2593,2020-01-13 13:23:44.000,-18272020,16357250,1.828890516E7,-14456244,1466413
1931,2168,2019-09-26 07:22:31.000,-17532206,-17998135,-1.093290436E7,-15043040,11315890
1932,3501,2018-02-03 15:56:11.000,-11817192,8448565,-1.419015485E7,12935127,31688
1933,3511,2019-02-19 12:03:01.000,-2865952,-10993079,1.215438517E7,-5220515,-7050913
1934,737,2019-11-09 17:43:36.000,-16795009,-8256561,1.014099894E7,-18215266,9393707
1935,296,2019-03-28 08:48:22.000,-18523729,-14216949,8796957.94,1158301,1036446
1936,2994,2020-03-09 01:54:39.000,-17897708,-11025948,1026727.39,-3704375,10419943
1937,1206,2020-02-09 03:46:21.000,-4721668,16429426,-4964086.16,-2929226,3586901
1938,2401,2019-07-21 08:38:08.000,-394489,-10485122,3637187.9,-18094337,10927079
1939,3593,2017-12-10 04:27:42.000,-16540089,9908365,1.889818206E7,-6806810,18267818
1940,152,2018-02-07 23:47:50.000,1188212,-14924969,-1.580223134E7,5660472,-18719227
1941,1211,2018-11-12 16:53:05.000,6126617,-1109678,1.384947183E7,19130868,5575042
1942,1772,2019-02-25 18:52:18.000,16711349,7481006,1279317.51,-14209299,-9042690
1943,778,2018-02-11 07:40:08.000,-6412885,-11271690,-8487296.98,7772753,8812665
1944,2020,2019-02-26 06:14:50.000,-7134931,15955055,-1.001382679E7,-13389073,-6371322
1945,1796,2018-04-05 07:04:33.000,-17075265,18332982,1.38728742E7,12494325,-15318698
1946,1720,2019-02-14 17:27:29.000,-1279756,-9628619,1.718256451E7,16887042,-3082359
1947,3322,2019-05-21 08:39:21.000,1713571,-10207402,-1.856608574E7,14412528,8311666
1948,156,2018-04-19 12:31:35.000,-3539026,-18049650,-1.45860223E7,13198639,-9170395
1949,1755,2018-07-16 17:05:02.000,19147346,530421,-1.262965377E7,14951253,4002272
1950,2467,2018-12-01 07:02:10.000,-10511270,18443858,1.200509603E7,-8526687,2610890
1951,1987,2018-05-10 03:35:12.000,17820991,12309492,5331323.26,-2493248,-7630183
1952,2431,2018-03-30 10:17:34.000,824223,-3632638,-3561544.63,8741333,-2440716
1953,390,2019-03-04 07:45:40.000,15458589,17456352,-1.785039925E7,-17678155,1271306
1954,766,2019-10-03 07:07:58.000,-13620352,166227,-1.472066401E7,-7917671,2906642
1955,2494,2019-03-22 13:29:10.000,9757266,13168447,-1338542.93,16973220,-13159227
1956,2485,2019-10-13 23:02:39.000,-12255387,8772673,7478159.48,-15270134,-9153745
1957,614,2018-09-07 08:22:37.000,-10203803,1053430,1.236431745E7,-18084272,-6217331
1958,3006,2018-12-25 06:37:33.000,11243026,16575502,4860858.66,-11718776,11858199
1959,1505,2018-12-31 07:45:36.000,-5139191,14598158,1.516717674E7,-17399612,7214540
1960,1509,2018-11-24 07:45:36.000,3803659,-11482260,-1.67194789E7,-1128948,-6722127
1961,1120,2019-04-25 18:55:40.000,18254957,-16162344,8560262.75,7579436,-3595154
1962,2913,2019-05-09 03:11:23.000,-18730944,-13425664,-1.107848147E7,2101400,4985650
1963,326,2018-11-06 03:44:25.000,13937845,-18046463,-1.844567615E7,-1822378,-19313443
1964,536,2019-11-29 19:01:40.000,-18710689,-12206706,9234417.42,511731,1265880
1965,3570,2019-10-01 12:53:30.000,7543121,-3467222,1.93382699E7,17155279,-7188970
1966,2936,2019-11-25 06:44:47.000,5635759,-14783676,-3461316.59,-1687247,-7605399
1967,90,2018-06-03 10:28:41.000,-9576428,-7686138,1.798001445E7,15702237,-18863708
1968,1289,2019-05-23 00:43:42.000,-17919681,890666,-1.545434324E7,-1990662,-13716231
1969,3180,2018-07-29 23:38:21.000,12811946,8781900,3842371.81,17533461,-6860760
1970,705,2020-02-10 10:58:21.000,3555376,19244515,-1.921721101E7,-3480233,-10786652
1971,1982,2019-09-05 01:33:35.000,-16671930,12878529,-9234265.46,6771601,13540478
1972,131,2019-05-20 01:24:37.000,-4944076,17296357,-1.360586838E7,-916072,3419406
1973,2458,2018-05-17 22:45:16.000,9760884,14179979,717379.74,8949745,1174400
1974,3488,2018-12-09 03:04:22.000,-5940164,19596438,1.731444286E7,-19599195,10727959
1975,1618,2020-02-24 03:39:52.000,-17334224,-12765938,1.591676875E7,-7376136,-11255127
1976,2946,2019-12-12 11:51:25.000,4325125,-3993726,7876888.37,17860566,-11794924
1977,434,2019-05-22 12:06:52.000,3820811,6634554,-7426004.97,13392982,-6491915
1978,1690,2019-05-16 08:13:39.000,-17946542,-18394950,-1.605435121E7,-4229181,12613897
1979,2106,2018-11-16 17:26:42.000,2614409,4544576,-4911023.83,-4634222,-9260892
1980,501,2020-01-24 22:43:43.000,-18745644,16781102,1.876250516E7,-14830742,1504508
1981,2933,2019-10-27 21:29:05.000,-17985997,-18464200,-1.121610436E7,-15432432,11608690
1982,3084,2018-06-26 09:56:05.000,-12122805,8667232,-1.455735485E7,13270128,32654
1983,2757,2019-05-02 23:52:44.000,-2940126,-11277280,1.246878517E7,-5355631,-7233138
1984,2415,2019-12-03 09:22:34.000,-17229067,-8470274,1.040339894E7,-18686162,9636432
1985,3601,2019-06-02 11:58:57.000,-19002622,-14584497,9024157.94,1188191,1063008
1986,3915,2020-03-10 06:56:12.000,-18360170,-11310562,1053127.39,-3799788,10689068
1987,775,2020-02-15 19:52:38.000,-4843461,16853583,-5092086.16,-3004973,3679614
1988,3316,2019-09-04 11:09:11.000,-404568,-10755439,3730787.9,-18561249,11209229
1989,2300,2018-05-16 06:46:43.000,-16966631,10164010,1.938538206E7,-6982265,18738793
1990,3635,2018-07-04 06:35:08.000,1218786,-15309696,-1.620943134E7,5806134,-19201877
1991,1656,2019-02-14 08:17:15.000,6284407,-1138423,1.420627183E7,19623656,5718829
1992,3694,2019-05-10 13:55:15.000,17141726,7673487,1312117.51,-14575185,-9275515
1993,1269,2018-07-08 15:42:13.000,-6577885,-11561586,-8705696.98,7972992,9039515
1994,3458,2019-05-11 12:49:15.000,-7318603,16365373,-1.027142679E7,-13733569,-6535147
1995,2237,2018-08-21 11:16:22.000,-17514236,18804037,1.42296742E7,12815739,-15712598
1996,47,2019-05-02 20:01:07.000,-1312878,-9876076,1.762416451E7,17321166,-3161609
1997,1378,2019-07-19 00:26:05.000,1757476,-10469343,-1.904288574E7,14782557,8525141
1998,3327,2018-09-03 12:40:34.000,-3629801,-18512727,-1.49604223E7,13537516,-9405620
1999,3492,2018-11-13 19:56:18.000,19638502,543920,-1.295365377E7,15335010,4105067
2000,3513,2019-03-04 14:10:53.000,-10780853,18916644,1.231309603E7,-8745308,2677746
2001,2573,2018-09-21 16:25:11.000,18277525,12625127,5468123.26,-2557125,-7825796
2002,2123,2018-08-20 15:29:59.000,845525,-3725855,-3652744.63,8965496,-2503366
2003,2757,2019-05-19 01:32:44.000,15854282,17903141,-1.830719925E7,-18130722,1303806
2004,2439,2019-11-05 09:43:42.000,-13968780,170390,-1.509746401E7,-8120510,2980808
2005,1428,2019-06-03 05:22:52.000,10006624,13505474,-1372942.93,17407234,-13495752
2006,846,2019-11-14 04:05:08.000,-12568588,8996671,7669359.48,-15660545,-9387820
2007,3116,2018-12-29 15:33:02.000,-10464346,1080543,1.268031745E7,-18546271,-6376374
2008,3472,2019-03-26 17:14:13.000,11529943,16998717,4984858.66,-12018164,12160918
