1837,2506,-8178690,15257150,-16714391,1430607.9900,15302757,17562762#OOdkcbmLjoU,-13750978.75,16999453#g3VNUr8uFKDWqwR7UGY,16074134#HVFe7j6yK5Oqq4tQIo6,2296768.1600
1838,310,17504876,319530,17779367,6494022.1200,-6362174,2037872#kGCsWV8ZiiM,13273339.64,13234457#KXHqk0MhR3mF4BaWq2M,12854065#voLDp7ZS3nqm4UczenO,-17283608.8400
1839,150,12685151,-11430228,11372764,-4863045.3100,-4783540,6944738#TSHTJ6tpxgI,3517626.55,16553518#Qma2KfTISyKCYpfjJsm,7875126#9ZZcoNeIqsdHeGL3xwW,1857584.0100
1840,1524,14764511,12006903,-2837632,3813202.1600,10130037,14385234#S0KmgcBhwLC,620097.91,12246318#AuwVzNvbj6hEqKv4Bo4,12283846#OZMy2F1GIdlN9Fkoo6z,10317022.8400
1841,3107,5826074,1486961,5928272,6611927.7600,3978805,5717786#oBori4sLZ3V,16953346.68,12338594#8uHmisKrFuguMCXG0TM,4985058#ahzpchOEjFqbzUMKQpG,-14268069.7900
1842,2857,-2987449,-6875778,-17790964,-1193217.0100,13363668,4879368#GNv8FIoz7vy,-4294001.73,1194586#jskPEzavzOg4HMUw7zp,11761823#5CQWr5SpVcZTowyhXLf,-8041003.8500
1843,985,-17583063,10078163,16979953,-4826655.9200,10842305,16936562#rs9SNTIPRAc,9440553.47,16336461#VBYSbXUiijSfF8zymOm,6133715#qB53Di0gUoRexFP7eOE,7572179.6400
1844,2324,-4336088,11725391,9645248,-549988.3300,2964219,3056870#NJ5kD0SwkNl,-16389899.60,14418425#Ngprw9SzR9qxVdUZPFK,7205349#NZuOYdbLURVku0nPLGP,10007259.2000
1845,1583,-8658162,18328484,-11497567,4909200.2200,-11385459,6493234#S0KmgcBhwLC,-6485265.34,15277246#f9IdMrbLMpucMUDtqUl,10137128#iqiBDODVZtepd3tdf4q,-667903.6000
1846,2973,11904075,5480685,-6266392,5466637.6600,17705542,7709407#VY224b9LolG,17748577.77,11412880#aAxsdIYp9chx1W7UuYZ,16530928#KusDZXf0LrpqdpjAhAm,-1064208.4000
1847,1974,-11029694,-7648774,4571138,2290435.6700,18200885,4237297#NK5ApsDM6Wc,-5112052.48,10872841#dyRguFx7vXV8B5dCfsH,6206600#N0IM4fsJn3aSXYPch6j,-13164808.1500
1848,3249,4566039,9149526,-3803745,5075753.3500,-916468,13666548#RktPgZ7Sca2,-12691775.19,2330990#3t2nHyx41dqmEZuzOmS,15955552#lcIy4GaHkQw6Ui5Y7Ec,9238846.6700
1849,781,-6854416,7627522,14190119,5873754.1400,13605683,7512757#dhNKKiG0SZ8,-18137901.47,4957421#Vvhk50lSRcbsf3Rv4SB,14562854#SUKdN1DXbZQ2kJyZbmz,-17154663.5900
