1688,2019-08-12 02:05:26.000,15823180,1574378,-8733599,-4066889
1689,2018-01-05 10:00:54.000,7222963,-252594,4031968,13454313
1690,2018-05-23 19:50:43.000,8473447,-2367355,3253028,633669
1691,2020-01-23 11:30:53.000,811156,14614598,16668104,-9430756
1692,2018-07-17 14:11:48.000,15515262,3557618,628222,58208
1693,2018-05-19 06:38:15.000,5821337,3244619,-5932594,-1667657
1694,2020-01-05 05:05:04.000,11574406,-694959,9223567,-10961568
1695,2019-07-10 19:31:35.000,-15101780,-12616691,4609104,-9997702
1696,2018-02-22 17:32:53.000,-5116447,-6571302,750104,11421881
1697,2018-05-12 04:19:20.000,-856941,-14196836,12790728,9814180
1698,2018-05-07 15:37:38.000,7556106,-13982596,1228002,-6692780
1699,2019-04-25 15:19:28.000,-13629050,1029823,-11837517,9163510
1700,2018-06-13 15:00:02.000,13369692,15983773,-11745080,-2584434
1701,2018-09-09 03:52:24.000,-10622029,11238871,-13601470,2448560
1702,2018-12-27 04:45:53.000,11127381,-3262397,-5158086,-16391774
1703,2017-12-21 15:12:35.000,15066976,-2884928,16195971,14444616
1704,2018-05-22 22:46:45.000,-9120199,10107726,12851022,-12888931
1705,2017-11-22 17:24:58.000,-7265210,-14404766,-10644207,-15855620
1706,2020-02-09 22:44:23.000,-4076344,3206497,11852951,-10462896
1707,2018-06-07 08:59:28.000,-2953802,610259,9070437,-1321585
1708,2018-05-26 09:05:56.000,-5951693,-9739463,7886759,-9061635
1709,2018-01-24 15:39:21.000,9830380,2309415,-6111673,5358075
1710,2019-04-14 04:49:42.000,6052225,4551902,6207427,8842519
1711,2019-12-13 09:40:48.000,-9258992,-14314931,-203504,-8059568
1712,2018-01-07 16:26:07.000,12193881,-397094,907944,-2779349
1713,2019-01-25 08:10:31.000,-16473169,1743536,9428940,16546532
1714,2019-12-21 22:25:02.000,-15744442,1859133,-6763613,14813455
1715,2018-06-01 08:29:55.000,10868792,8042609,5111139,-560562
1716,2018-02-23 11:25:49.000,-8423021,284764,-58461,-15603486
1717,2019-02-10 11:07:15.000,4560918,14252816,16558874,11600808
1718,2020-02-03 11:47:00.000,-5944244,-16839437,-3381427,10739546
1719,2019-05-15 07:46:50.000,8011953,-1285215,6278710,-11959869
1720,2019-11-09 15:35:58.000,-4358185,11841587,13791171,-592697
1721,2020-01-20 22:16:52.000,-15975906,-8063368,-640781,-4431988
1722,2019-05-22 05:22:34.000,-15967763,524575,14131635,-10612349
1723,2019-08-11 14:34:08.000,16990438,7669086,-14813612,-8686668
1724,2019-01-23 17:12:52.000,-5427302,3077596,-16671050,-11637985
1725,2019-04-26 21:44:34.000,2043606,1191178,7637905,-3654758
1726,2019-12-30 21:46:23.000,10731110,6057427,9087466,-6360203
1727,2018-03-03 11:59:08.000,-9299028,10971360,-10431897,-9191462
1728,2019-03-24 02:43:33.000,1465625,-15530604,10229106,-4085217
1729,2019-05-12 23:55:21.000,-7291039,-15444667,13517889,-10046148
1730,2019-11-17 16:12:25.000,7655550,-10462916,-7258294,-3348431
1731,2019-02-09 22:07:29.000,1073518,2345890,3237070,-5606955
1732,2019-07-01 08:30:44.000,4988938,11848375,12643521,3419973
1733,2018-08-04 15:32:45.000,1751698,-14761335,16714439,2328531
1734,2019-01-01 01:04:18.000,6545056,-3260892,-6500411,15973107
1735,2019-07-07 16:58:51.000,-13416914,-658881,12518999,11692952
1736,2019-04-07 08:27:09.000,5171001,-7156560,8777521,17210736
1737,2019-11-02 02:19:43.000,8888069,-10980115,5452148,10581424
1738,2019-09-25 14:51:49.000,16291860,1621209,-8992018,-4187612
1739,2018-06-19 17:26:06.000,7436874,-260146,4151493,13852651
1740,2018-10-08 02:33:05.000,8723895,-2437115,3349453,652144
1741,2020-02-03 07:41:03.000,835320,15046638,17161004,-9709881
1742,2018-11-21 13:30:16.000,15973878,3662686,646547,59883
1743,2018-10-06 05:48:58.000,5993287,3340346,-6107575,-1717082
1744,2020-01-20 01:02:35.000,11915828,-715298,9495642,-11284818
1745,2019-09-01 12:06:10.000,-15547240,-12988960,4744867,-10292502
1746,2018-08-01 16:26:14.000,-5267490,-6764873,771966,11758681
1747,2018-10-03 01:18:53.000,-882206,-14615137,13167453,10103092
1748,2018-09-30 02:45:53.000,7778525,-14394384,1264302,-6889655
1749,2019-07-04 15:42:47.000,-14029927,1060249,-12185792,9433310
1750,2018-10-30 08:17:32.000,13763046,16453806,-12090280,-2660384
1751,2019-01-07 10:55:43.000,-10933994,11569328,-14001451,2520460
1752,2019-04-03 05:03:13.000,11454444,-3358167,-5309654,-16873124
1753,2018-06-18 08:03:05.000,15509207,-2969620,16671358,14868500
1754,2018-10-15 21:19:22.000,-9387762,10404297,13228372,-13266981
1755,2018-05-28 09:42:23.000,-7477980,-14827346,-10956157,-16320795
1756,2020-02-17 15:05:34.000,-4195774,3300325,12200151,-10769696
1757,2018-10-29 19:48:27.000,-3040478,627857,9335887,-1360285
1758,2018-10-21 04:00:40.000,-6125744,-10024751,8117709,-9326763
1759,2018-07-19 12:31:40.000,10117966,2377101,-6290248,5515000
1760,2019-06-29 06:57:34.000,6229245,4684950,6389065,9101219
1761,2020-01-03 13:33:16.000,-9529559,-14733028,-209717,-8294881
1762,2018-07-08 20:06:01.000,12550157,-408701,934306,-2860774
1763,2019-04-30 13:31:53.000,-16953879,1794283,9704052,17029582
1764,2020-01-10 10:08:19.000,-16203562,1913306,-6960688,15245355
1765,2018-10-30 13:09:46.000,11185609,8277026,5259864,-576862
1766,2018-08-17 03:16:01.000,-8668724,292775,-60186,-16058061
1767,2019-05-14 16:47:09.000,4693466,14668109,17040837,11938883
1768,2020-02-13 02:53:49.000,-6117068,-17329241,-3479752,11052259
1769,2019-07-26 07:16:05.000,8244736,-1322417,6461335,-12307894
1770,2019-12-09 17:05:57.000,-4484966,12185954,14192246,-610072
1771,2020-02-02 22:11:49.000,-16439913,-8297748,-659556,-4560725
1772,2019-08-01 14:02:38.000,-16431145,539658,14541760,-10920674
1773,2019-10-02 17:57:11.000,17483593,7891881,-15243762,-8938618
1774,2019-05-04 09:25:32.000,-5584608,3166618,-17154325,-11975560
1775,2019-07-14 10:50:11.000,2103022,1225878,7859455,-3760879
1776,2020-01-18 08:20:50.000,11041970,6232847,9350561,-6544453
1777,2018-09-01 14:39:28.000,-9568235,11288852,-10734009,-9457862
1778,2019-06-20 03:26:09.000,1507948,-15980038,10525231,-4203292
1779,2019-07-28 02:45:20.000,-7501791,-15891169,13908814,-10336598
1780,2019-12-17 05:41:23.000,7876875,-10765365,-7467844,-3445348
1781,2019-05-20 19:40:32.000,1104665,2413733,3330745,-5768686
1782,2019-09-04 05:14:59.000,5133070,12190407,13008739,3518823
1783,2018-12-31 08:25:49.000,1802173,-15187228,17196889,2395931
1784,2019-04-22 14:02:25.000,6733985,-3354884,-6687726,16433757
1785,2019-09-09 22:39:03.000,-13803826,-677755,12880042,12030052
1786,2019-07-04 08:12:55.000,5319955,-7362741,9030396,17706261
1787,2019-12-06 17:46:18.000,9143657,-11296111,5609073,10886074
1788,2019-11-09 03:38:12.000,16760540,1668040,-9250436,-4308335
1789,2018-12-02 00:51:18.000,7650784,-267699,4271018,14250988
1790,2019-02-22 09:15:26.000,8974343,-2506876,3445878,670619
1791,2020-02-14 03:51:13.000,859483,15478677,17653904,-9989006
1792,2019-03-28 12:48:44.000,16432493,3767754,664872,61558
1793,2019-02-23 04:59:41.000,6165238,3436072,-6282556,-1766507
1794,2020-02-03 21:00:06.000,12257250,-735636,9767717,-11608068
1795,2019-10-24 04:40:46.000,-15992699,-13361230,4880629,-10587302
1796,2019-01-08 15:19:36.000,-5418532,-6958444,793829,12095481
1797,2019-02-23 22:18:27.000,-907471,-15033439,13544178,10392005
1798,2019-02-22 13:54:08.000,8000945,-14806173,1300602,-7086530
1799,2019-09-12 16:06:06.000,-14430805,1090676,-12534067,9703110
1800,2019-03-18 01:35:02.000,14156401,16923839,-12435480,-2736334
1801,2019-05-07 17:59:02.000,-11245960,11899785,-14401432,2592360
1802,2019-07-09 05:20:33.000,11781507,-3453937,-5461223,-17354474
1803,2018-12-14 00:53:35.000,15951439,-3054312,17146746,15292384
1804,2019-03-10 19:52:00.000,-9655326,10700869,13605722,-13645031
1805,2018-12-01 01:59:47.000,-7690750,-15249926,-11268107,-16785970
1806,2020-02-25 07:26:44.000,-4315204,3394152,12547351,-11076496
