629,1714.10,5671011,660230#78JzkoovcTb7eXcaaBiVBq6PfYvOP2mBgguw0Ix9,-1298759,2670924.81,990.9800,4057998,166790.56,4322521.5,-0.125,2121373,-4369933.61,false,4560178.0,-5446434
630,-1808.80,5469356,1681369#J8NylvqBF8gr6OT6RGygrxfAW8xsxTHw9Zjam9wt,-4612153,5230962.99,458.5100,-19612,5792484.24,318084.06,-0.229,-3065974,1073307.96,false,5064354.0,-4328061
631,417.86,-5800697,4496000#M3Yz3r1nFOCFxfK2ZLCIm5svCqH0z3piNquXfxzv,2537070,-4617700.57,20.9600,-3151309,3765070.4,2634718.8,-0.249,-893503,-2341613.63,false,4691565.5,4936011
632,1286.83,-3036778,3681908#7R8TaInSanORTIOiVTcsdftDs69YKsRrnIkMVJMb,-4529128,2091194.39,-173.0400,5093238,-309345.21,-932224.5,0.188,4913960,1484833.32,true,5173495.0,-2146832
633,-485.89,683745,1083923#IhEUwvhSVRpAyFJe5o42OTzajfBQC2oUoMjEYiV2,723283,501747.22,-489.6500,-4329137,-3284202.78,-3517673.8,-0.170,-1630414,-4334445.22,true,-2629654.2,6025647
634,761.69,-4777543,3788362#x901LQli2OcU15cuGuU4R8NzUGR7eyV1Zhl2VHge,4823989,4261386.73,550.0000,1112981,5913052.84,-4971757.5,0.149,-1796312,-4722698.06,false,5652077.5,-3167395
635,-1682.41,-6244569,1709833#TQxdCf6hWTNFyXUI20EDO4A3QqLY56TZwUctuY7Z,-1654106,2513549.78,2491.3300,4606485,-659733.35,1085769.1,-0.220,1238648,-5110017.08,false,3386471.0,-2964672
636,-1616.72,5921611,5427716#1sk9nZDl8fTroSG4mTUqVaGSETy7MddWHY5wloL8,-1018516,2879403.56,-1562.6300,-2122474,-260250.23,-3588315.2,-0.197,-5549968,4962737.28,false,3222992.5,-250565
637,21.57,2503626,895327#2R7tpK9vfDKc906Sqq18JXaSgNPOszdJqOzfPbfE,260345,-4739499.23,2015.3900,-5284069,2892736.8,592248.4,0.180,4387904,154798.65,false,-4555385.0,-2905256
638,-123.05,-2946054,2983208#DjEtnKC6mG9tm706C9zquTOZZ0M5LVpQjONR3swr,2520283,847880.14,773.7600,-3760314,2640300.36,4209315.5,-0.221,-5383671,2386095.86,true,2079685.2,4743866
639,-1165.31,-2645413,6294723#avd2unrESF3vrbUBUSK7UBFk76VIXB6E8ODvTeTz,3401894,5746700.16,1869.6500,1769265,431735.24,-307281.12,0.160,-4172153,-1631277.8,true,-6301763.5,-966269
640,1548.30,-2848518,2416289#zFoeEPBTIXOiEEznfbOUyZgj6VdZeCK6heD2qTQH,26318,-4760133.63,-160.6600,-4619710,4009894.71,-3391080.2,0.191,170485,-1472278.67,true,968004.3,-2174473
641,-2346.55,3072273,2253138#FtLbLX4ovAL5sx7xpWLu6a9woWQsqI3qylGvxAM8,6036713,3160757.12,-342.7370,-1919083,2763283.55,3893275.2,-0.176,3216191,-2927567.17,true,2577008.5,-4460240
642,1291.33,6040669,3337641#S6TtRpZ8DzVLqDfo5OWoOQbzQsnC0fE2kwcdyNiL,2645793,-3894452.2,1167.9600,-5351009,5087824.34,-3572739.0,-0.232,2499587,-2830542.93,false,6252659.0,4057930
643,-731.22,-4933611,1038472#Gwf7WGZTJ7Yay18CZbFuxliJoNPDG17JkccY6e2Y,4158043,-2321628.76,1705.5100,-1907587,1367723.06,6090175.0,-0.138,-5363922,5053062.66,true,-694006.2,-6410339
644,-1232.12,4600373,3710614#KcyRI8sY4NvihMYoqvHBBJKWPJiZ9s77pxd1REoJ,466947,257963.95,-126.0400,1419346,-3025100.86,2378836.5,-0.170,-992163,-1825777.57,true,2157208.5,4236588
645,-271.48,-332303,4387201#Vg3tCtBV9p4WjtjjrvWy9AVL2DZsPAG4pjU2RDL0,-4493641,-4403034.58,-1983.9800,1400421,-5996566.44,-1001522.7,-0.233,5830625,-4447.08,true,-4801207.5,-1292726
646,-272.91,-2581364,4788018#HwBU4H2PS2Pn9UreX0HpUqQpIwOkGlB6FU7VY7O7,5206148,-6175670.85,-992.7300,-700927,5393786.06,-4990066.5,0.193,-3816725,5627042.85,false,-6164010.5,3061401
647,819.76,-5664505,4501616#vmwgOVkn9AgTrIdvy8GQo4bVwpf8jjg7XPcbIQhT,-416903,3607916.8,1841.0600,-3964574,-3840286.01,4999660.5,0.269,-2283668,-1257787.96,false,-5109708.0,-2787997
648,737.86,2665320,4381876#pCYNNNm1nRKgiy8c2JiQzhGqWXY7xJtbDKdaGpqt,458006,3468406.68,-769.2100,2839089,3113260.31,3759787.5,-0.264,5464787,-3726131.27,true,-3747491.2,-5001949
649,-2329.49,586750,5316037#fGf0lBTmLhDZIOpJ3aHyTIvDPHH2RWHr4JK4I0VO,-748186,-3924086.37,1216.6800,4632569,777956.39,-1954343.5,-0.156,-4510093,-6281193.14,false,3828192.5,-3884558
650,-492.89,3569080,2435763#RUZQcVuEFr32HGsgaek77EqGTPearq3tRYqa46ie,5164950,3224862.48,-376.1800,5656802,6036234.15,-1592258.0,-0.146,-3211862,4061502.66,false,-1146278.6,-1853894
651,2507.12,4166229,5840008#GaYTMS3naOy550uC4cRxABVdI1HyfMuidY7sF7KT,-5620946,1775251.82,-882.4200,821175,3050495.13,-5839948.5,0.174,2389877,6130778.88,false,2016264.2,4878096
652,-1192.37,-5853582,5803544#MMrGtX89b6NN9h9604DmTi6ugO2SpnjgLvBd51QY,-2932997,6127456.55,327.6400,-450755,-3599258.12,584962.1,0.304,-3551917,1858723.45,true,-1837043.5,61910
653,489.13,-1607101,4187130#owEpNmGqG7tyxPeVDCfjJmy5nbcNl4aANBQj22xb,540440,-3532800.48,-1212.6800,3895685,5833463.45,4417705.5,-0.215,5149931,2428128.03,false,-6488819.0,-9954
654,2722.90,-2694995,3425238#NhpmMbunxkyiEJORlsHtqPZ9qIDO1QAviaUUWOhy,4210521,3803755.35,-37.7300,-3371947,-69552.6,-4010808.5,0.211,-5028676,55807.44,true,-4557341.5,-3021692
655,1670.32,-6431206,5647923#IhEUwvhSVRpAyFJe5o42OTzajfBQC2oUoMjEYiV2,3471074,4686287.39,-2114.7700,5526203,-4471403.54,1920418.5,0.166,3657120,-1380678.23,true,5434492.0,-4529394
