1836,289,14171044,13166719#t5hnIqjuSRNOGI,-26595.28,15959125,9092321#CsMXcdmPnDhr,2014-03-04 17:14:11.000
1837,1645,-14430264,15938857#qr1p5c7IARxlT7,-34923.86,-4373074,9127130#uuJhubOmJohP,2016-06-21 16:20:57.000
1838,730,-3944611,5621171#Lsx65A3429EaBY,29304.21,-4823192,3263235#JcHa94SE3W9y,2018-06-22 22:42:54.000
1839,111,-12593931,2786992#xVwG9hMCk87idI,-5984.09,-3336838,11322743#0PTGGOaMWHi3,2012-11-21 00:49:49.000
1840,373,15442558,18300028#geNBzijtVc9t0H,-46253.02,-6473190,8621704#lXW50flpK3BP,2015-02-20 14:34:48.000
1841,1572,7736243,11821477#lUbkVt8Wt1f4ow,5717.95,6685767,6556119#gskTEfMW5k59,2014-12-05 18:33:21.000
1842,803,1676211,444608#VBilf7GhO0JMkF,39895.53,-4892997,11145994#DirzFNpk1jgR,2019-02-26 14:30:08.000
1843,488,-5618494,12777637#Voc6znFYsquZD9,45537.70,1085371,667847#4TPbFp64XFXY,2016-09-10 22:08:09.000
1844,752,5441156,5479506#xzi713NfdQOYGt,13799.15,10617228,3888869#xALKY0l0ag1I,2012-11-30 07:23:32.000
1845,286,3351873,1364901#LtbeCgb90AeTnl,-7579.38,-18434249,429973#GDuOFUijek4X,2017-06-25 19:09:17.000
1846,931,-6052665,14875695#BWQbVIo7HAhG8b,15960.61,-3822179,11803210#fWNxCWINWmcp,2017-07-14 11:51:14.000
1847,136,17903209,16272890#JSxJuawFjwW9RH,-31418.37,7806977,7030938#kUslxbDFr8YC,2020-01-17 02:46:33.000
1848,1599,14415549,11665068#9uMVnPQ5r3vs6F,-6401.83,8578176,9689888#5YVB6va1Ujeq,2015-09-30 07:22:34.000
1849,1547,-9326299,2711007#uNqOHyPCmpf1qC,24.83,-9533684,9199219#dqgHV4ZPbjFS,2013-08-13 09:02:42.000
1850,1506,-8800720,9994909#eCH22vBGDjR6BE,-45815.03,-6935162,13317922#JFsQcthnC4i3,2015-10-23 08:10:35.000
