131,1438,789,329,414999,1300579,-1078239,-312887.96,0.480,-1063839,1200878.460,806809,572715#Isc9FNwHNjcAfFtjRHBa5rwW4Ot4ue,-990207,822003
132,1681,2042,3158,439591,-1243322,-695925,-824305.12,0.444,455518,-274841.900,-1293896,614278#OSJ5BqKmwuVe9YHwQWSjyueAfSOOdf,-491112,983383
133,1364,295,244,432897,-961680,172562,1077404.65,0.478,787746,183326.270,-655211,784584#GdAiAGh6mzkmQ6kRWYJkL6TsmWvHRn,582283,-828587
134,1564,2393,559,472235,1253783,53984,-1020051.44,-0.303,-555954,588029.390,336440,85427#CP8w159jyViuRhGhaEtatlxr9DZ4qa,773808,-724988
135,1123,1999,1659,1264976,945437,-339803,-172418.15,-0.465,-1057454,643339.800,-350919,842036#LgkiLSjm444s7jsbJAOXqxCNc2HJ1q,-1262650,16577
136,1867,1251,4015,-341663,-5118,713779,1081595.62,0.480,-328891,-430479.000,-655809,428432#j8zR6B7aZs028EInwVUqQO9BjoEL2G,941978,281633
137,1920,731,2103,916869,-782735,203043,61527.27,-0.481,-593476,1165478.910,-1234581,1038939#OuN5M0DlnCYdWfsu6u5D89yukKeQUd,-846439,408104
138,829,1607,567,435376,583326,-1334498,160136.21,-0.357,-797964,-318094.510,1169412,1257641#vUOls7e2uoNGROghXdi5TQQQOTI5DM,1295323,362432
139,147,1090,2296,312279,-997567,-750592,1100446.39,0.623,147899,-1059419.000,129031,547116#U7Y4zHetBvhpygEWoxzeMt6C3OCnhA,-490201,63431
140,1049,370,311,43675,-695038,1348175,887096.79,0.506,-388139,-1080632.980,-886141,1007774#8C83Qz42jcM4dKWCjQwmPjzy1nfscI,491180,740473
141,1573,2436,562,-222460,100847,-796853,443819.98,-0.384,568999,-546895.620,-340721,260624#8GOQnzQBo9VGbUpOG5laI8ZTNqhFNj,-81655,56246
142,771,694,3248,1074514,1164708,595660,1423992.44,0.582,229897,533521.820,763362,315622#6BZS0HegN2mgBijLF6vd9fJ0WWYL1i,1291291,-1405536
143,1177,1989,1465,-211290,717461,541946,1427075.1,-0.376,35506,281771.470,-1159716,437628#yCXzkc3yRf37xY3c2yxgzTS6PIkopH,1360321,-126375
144,1251,404,1266,329618,715804,708899,1152551.23,0.531,-968977,784384.330,-532809,705253#TS5FFFmeMcmDcxDxT02Ptj9P6yqaVX,1073964,1370131
145,438,1631,1013,-508464,672284,868062,611464.8,0.564,139320,949916.330,805622,1126087#YObgwV4B0spX4dNXGz9lWKusHiHSFQ,44260,-475555
146,687,308,334,796709,-1372158,837641,1224006.75,0.667,8469,57879.210,-1175037,1129380#iQrgVyuzBATa2K5GItptSPE1oLt5Rh,436218,-633862
147,882,2474,470,-1325546,-1080157,771682,1380788.47,0.595,1079143,-101216.680,-77415,46325#kbQJOmsZM0g84vZ1XC1Upwdm36TsDu,410043,771966
148,1719,1439,4406,589947,-454191,-913184,120230.49,-0.448,232040,700946.310,-1102150,900270#69Ftb74dwAR9YnNuiF2OSeNDaVeoz7,-914933,1385535
149,781,373,4522,1450512,878622,810464,927002.63,0.588,-1049939,284973.520,371628,221849#1fOfs5RQoQAVKVxpyCaZe1nZnYZQjK,-461402,1200958
150,765,825,880,636327,-1331626,979691,128884.26,-0.490,715152,-454816.580,1065009,266704#Piwba8UFcsLi3KNwN5P427bryrFEXF,279750,-223897
151,1181,109,3171,-325952,1436841,-1346302,929279.37,-0.376,608711,-1249288.160,-768770,353593#AAEgEehLCwJpRftWmLWuMIpYzIiIKB,-241865,330074
152,1905,1163,2584,336752,-461056,1389884,-2265.62,-0.526,900120,-34274.410,13880,685057#LRou0H4CXP8INaNVDS8aGbAMzjpeuJ,284444,-903366
153,1217,2558,1189,854408,-228818,674041,-647884.12,-0.455,1034136,-683751.810,-1278720,487155#AwyCg1r3ht805EviktkTLHYiDUGXnS,483323,237983
154,180,1203,753,1536614,401705,-400453,-422241.15,-0.421,1539674,-812558.880,-634059,206689#Ut8ms5fw8uy0uoewCnx818FF54ECrl,-292518,-636964
155,631,959,3416,503494,-599367,1163981,-1190539.59,-0.368,-1110222,-310685.660,-1416352,1185353#f5AI6VOVrPLKOSI0Kaumba5lvRMUB0,-1261508,1422823
156,1413,1844,2595,-1044464,634940,-1314073,-331993.5,-0.433,1382799,-756427.590,1101702,1507493#agVHbzke5Kg4Kg6nHzvp14YGKxHJpJ,756639,823199
