1033,159,1,3781143#KQGyxIuU9diSAZlf8rm,-382194,0.60,-2493568.0,-2344515,-9023976,8282437,4686889.16,2018-09-04 13:18:36.000,-463179,-8778831.0
1034,65,1,3283764#xXOSiUIsv7Fc37UAoor,2173435,0.71,4192992.0,2309589,1958383,-10046054,-10237037.91,2019-09-17 13:45:58.000,576787,-9210101.1
1035,158,5,8607470#XV06ZcfYq5v86AfcCtg,-6278131,0.61,-4878208.0,5953875,-1574783,4019794,-9819345.23,2016-05-28 13:37:02.000,9978012,1900850.7
1036,173,3,1604288#SLH6XdIb2fJuA9pev4z,4814137,0.69,-7960592.0,-6847936,-1370870,-4904472,315931.81,2018-12-25 10:57:19.000,-553962,4699807.2
1037,140,4,5480419#ZMkbOWyGCxJGV8qCnv2,2053446,0.63,-6410384.0,-3107866,8979414,-5378191,3725793.54,2016-04-24 16:50:54.000,746537,-8419547.9
1038,95,3,6732369#Fryk4tFasW7uTzAs3P5,9047275,-0.71,7165696.0,8756638,-5448137,7549601,-8565873.01,2018-01-01 18:47:57.000,-4655916,-7243339.7
1039,96,3,922507#2mltqDTY4vUaG7EKDCz,1917646,0.59,2118512.0,-874475,4088783,7822921,-2080321.45,2015-04-21 21:17:07.000,6313675,-5329561.0
1040,162,4,1961504#MuVkGIS0Xw5QeM0afm5,10057115,-0.52,10002176.0,-7036694,9920496,-5105892,2784946.61,2016-10-29 21:25:00.000,2161915,-9282890.4
1041,47,4,7099675#B6Eqcykxp1FNE5C0Axh,-7403090,0.57,12704.0,-6390635,-10321503,-4195415,-10015674.11,2016-04-08 05:04:00.000,-9611815,655906.6
1042,76,1,3301677#BxExeeu1TYPy0zPl8SP,-3629466,0.62,-7388368.0,-345822,-1955622,-320423,-1163136.71,2016-06-26 08:39:24.000,8293094,9486057.3
1043,212,2,256113#mIssALS5zJD8DKngGyv,963626,-0.54,7408544.0,-8434835,5582727,5698460,9848764.47,2015-06-27 07:23:06.000,-3656472,-10009820.6
1044,72,1,9337069#ivD1zDA1BlOG0vH6AlH,3917059,-0.54,7012096.0,-10002833,-4446687,-10000918,-2407126.98,2016-08-26 10:00:16.000,-2493054,-1444435.3
1045,142,1,9525196#cZUYecT4TcgDgvV6hhp,-5161197,-0.66,-9459552.0,-8630091,4818478,-3478081,1846851.00,2020-01-19 03:06:14.000,3617364,5362141.4
1046,146,3,2285100#DDZ32r3d62pB4Yp1QE1,-7734926,0.66,6332512.0,6347664,2955708,-946114,9544613.19,2016-06-07 22:07:28.000,7036417,2634162.4
1047,27,1,3447903#U1bMHFssApYfsPjgurQ,4601094,0.55,3141920.0,9101474,-7215960,9864166,5906813.19,2019-10-24 00:57:22.000,-4765488,-828152.2
1048,148,2,8865449#e9vEwIkcJKzgdMFTaO2,1103325,-0.58,7370000.0,5972165,8682007,9715425,2999172.09,2019-12-18 01:22:46.000,-2294676,-5604271.2
1049,26,5,7295391#E2ZEx25XbUsXwE2Zdcs,-1159124,0.60,-2925920.0,7306680,2623798,-6883787,-3869599.58,2019-04-22 15:13:52.000,8290351,-6208180.1
1050,78,2,823175#0Fr7mCTL5MCBtI2z315,-963260,-0.55,-4145152.0,2288128,-6686557,-3029748,3779736.97,2016-11-19 14:50:25.000,2690931,641695.7
1051,91,3,4448682#fuXyoxJbq5e7NP2ICyw,-8710553,-0.65,521456.0,5438502,2193506,-9805416,5062060.30,2019-10-09 12:09:12.000,-8084750,5343543.2
1052,42,2,7263709#VNj3LYbAxVQnBTCFINH,1325010,-0.58,-5304816.0,-1385873,-8306030,-4464519,-10000448.98,2020-01-20 19:26:55.000,2308374,3277914.9
1053,215,2,2470734#RQL7peb08mXmCeqBcul,4195928,0.60,-3767968.0,-10469889,4933601,-6296933,131456.54,2015-08-26 03:47:41.000,-2125920,1216313.4
1054,12,3,4547962#YA1FBb0jJkyYStIPSuf,10442549,-0.69,5612032.0,-9105445,-1634761,-8913220,2092029.17,2017-09-04 09:23:56.000,2100278,7094182.5
1055,70,5,791813#7xgrLqrMqaYmzf2JCiT,-6867333,-0.71,8246016.0,-7999312,2548134,-4289508,-1208848.07,2017-05-10 07:56:49.000,-4041879,-2035417.1
1056,100,1,983994#EDw6JEM2pIAAlcajXTt,-4913190,-0.55,-9773584.0,-9072945,3291676,1495934,5586236.14,2016-04-02 11:08:46.000,-2965049,2256507.6
1057,117,4,2163488#TqJivtVd0JI6LJQrK1Z,-7769895,-0.71,32496.0,-6555858,-10107629,-10054007,4658999.91,2019-10-04 19:46:43.000,4761865,6655910.2
1058,32,3,10206584#UKRqX5dPqLsDZEhs7yc,4522110,-0.54,-1134656.0,3117918,-8574422,-6525075,2222360.42,2017-02-13 04:20:28.000,6838075,7262336.6
1059,48,5,6106932#PcJWXE7tIYo4qHB3VZv,-7786885,-0.64,-2905104.0,-590208,-3564196,9010383,8262817.14,2016-03-06 06:04:51.000,-7089771,-5265132.2
1060,111,4,8397084#OhyxHLFkqeMyugz5T4f,4349797,0.63,5802768.0,2162196,-2814705,-2936330,-5228008.51,2019-01-12 23:11:16.000,9489042,3467708.1
