573,1770,366074.4,4478477,2800426,5306334#ue28OcCR7N6zM,4584617,2145736,3257919,-4649629,-157418
574,287,32065.1,-744337,-5161193,28464#Yw7ll5BwFvCE3,3339026,1124036,-995073,-2152545,1387784
575,83,-434506.6,4890074,1351766,2337247#tO2jp34z1ckjU,-4449324,803029,4139296,-3312585,5062349
576,1407,-110886.2,-4210208,-5305237,262965#741B3QDQNlz7h,-190185,1253639,3569650,4270410,4299399
577,3800,-230385.3,-5274277,-1144236,2210575#jBJqu7pMRexHE,-1942297,3148428,-4136711,2976468,-830710
578,2403,444179.8,4796850,-1557690,2008405#owSsM8xmkkZPV,2366475,-71198,-3713739,-5157529,5449976
579,2155,200806.1,-671220,-4484591,1379002#lTjJaoAO0VPQg,4722245,-4694626,-1487156,-4948450,-4984231
580,549,-345281.5,-1177462,4325836,2587870#4Aang4riN6MVP,-4780351,-4555496,2340566,-370262,-1721590
581,3318,-58097.9,2128197,-2869030,5653083#KCb2xqLs4VTSw,-4142213,-2619639,4711792,-4484650,3158417
582,1375,-106147.6,-4480554,1060301,2331624#NQam76sLl7Ov6,599667,-3607766,-4958297,-1168549,3735331
583,2681,15043.7,-2228814,-2693773,4724431#ZwUi4DJQnRhFB,771484,-2375592,-4714250,4700132,-1820732
584,4009,410461.2,3049668,-5813550,5723956#TCiYa8reFnEND,5646859,3379047,-3106274,-2844062,-2382475
585,3555,-318725.3,5786580,4650739,2215168#qTUy3MbgKAPbc,-1241460,583223,1410718,-5235565,4285188
586,1727,267311.1,-1339948,-2488241,285256#anpDiBuyFMT1g,5424362,-5469351,-5339831,-2519189,-1025138
587,1037,-235717.1,4132020,-5337760,2059615#02fSKmwNbk1rV,2655147,4617183,1381973,4222553,4219944
588,4061,-412978.5,-5677306,-296803,5768084#QsLHTm7j1ZNk4,-3653781,3861666,-4395326,882131,3381928
589,2463,99044.9,-2192863,4257211,3696598#CfvEtIrTpSrOc,5402104,3891812,-5440920,4506553,995063
590,4174,446267.4,2252088,-4443420,1896011#Vq7mYrXwW6DcY,-2379295,-1406366,-4231407,4024019,1963990
591,3814,444142.6,5231651,-186318,2876606#6lhpNMmpm4VMB,3905113,3610962,-2436618,-4337077,-3483781
592,1373,281102.5,3979573,-776320,188847#n1NpD5RQ2SvfP,1488078,-4922269,4710114,-3788871,-552445
593,4383,248558.4,1534446,4546368,2824351#YoexeCaLeVEZN,1996038,4518530,-5714306,1682241,-1901762
594,80,22759.3,-4289969,5811719,1770202#ViJH8piNDurYJ,351853,3770268,-3391075,228708,2892473
595,1133,121558.7,284706,3737263,3206318#tngXusMitmMsW,4744821,-5890997,-2814166,2919539,-3720183
596,4279,113082.1,5640032,-2510978,2578054#HSotdpgt5dtsX,-5894963,2257969,2602226,4421203,516285
597,833,454731.5,-5738521,5091238,21559#XEAXyiQZ875IO,1118322,-5654260,5277075,1752379,-2505638
598,3205,273223.5,-2903962,-3695216,5798900#Ujb526aYv5tgq,4716819,-1180347,-872519,2934590,3981907
599,2294,-386384.1,-5832553,2670656,909670#6xefxOQrh9Lo2,-4625608,-4098643,-1501900,5568334,-2755534
600,2479,299647.9,-2496537,2076865,2042149#xBpGDvzs4zhYm,4500591,5395452,2512226,-4542039,4076001
601,2869,179011.5,-4907729,-2755203,1994509#WpQeg7YETu9h4,-4027879,578833,-217750,1484081,486215
602,4240,-416404.3,-3437793,-5870930,1608337#NoHeZFZpbnj1F,-5181689,3950971,3107000,4297752,1923843
603,2856,-347788.3,5144136,-3160543,5197875#GArn8XOevxiIE,-692935,4820580,-6818,-2021165,-544705
604,4289,-256729.5,4141517,-5933585,1992390#sTEJ0MNUZzYhX,-322113,566676,-203945,4811375,1715526
605,3765,162843.8,1732819,-2673132,532915#VWpeb6XdqUNef,3167566,-5663712,1739427,-1926395,-3525254
606,3021,101652.4,1569793,-884789,1264319#g40g0jL1Xtot1,263011,-963213,5306621,-511887,-4472265
607,3949,-10134.1,-3590569,802641,1066399#hSzBNyOjkXrq8,-2063895,-968590,-3908978,-5841565,3270551
608,3404,44956.5,2704116,-4055315,4863658#nQSa6A9IhHCYg,-5274324,5374746,5571312,-4778040,370379
609,4575,369534.5,1804466,-4055192,3258881#Z6anMVIULT8Ud,-3992973,3212405,-1808017,-3972208,2542839
610,3642,264867.3,5859207,674213,5580161#bDVdIYW5ven2M,-3276958,2609954,3382781,4617339,747667
611,3330,-201305.5,-987367,-4391584,985892#vfWDHYHaJOcst,-2576707,-5699215,-1582116,4090645,-707206
612,2448,-203669.7,1648283,5052363,4294095#qaAuQzR8NY3CN,3333114,4483402,3610418,4065148,-5576515
613,2757,-449077.7,649452,2131139,3361705#SSyea35wgBpso,2033353,-3363935,-1228792,-3291391,-2191769
614,2089,-386746.2,-4794980,-1039553,5604701#lPwvGZb3Pkrem,-4715064,-5412127,-799376,-5241749,-4776288
615,3238,430245.7,1072797,-2937924,3906106#6ssy5H3fCmriP,1590768,3045795,-4471307,3953129,-3710452
616,609,-51796.0,2518808,5153884,4298989#w6TnVXmRIXypm,-900639,2941907,2771019,1639295,-4612755
617,3545,-299308.5,4108574,5705138,2564800#syd9DIlwKfPeK,-156649,-1734515,-2034308,-530679,1586751
618,2612,331898.2,-3905034,1715316,3228464#Yw7ll5BwFvCE3,-2884477,-5814212,-4306634,-5223528,-5779001
619,255,-400249.1,-2485986,267555,5931347#OI4a16ZsCyI0w,597081,-1435216,-4166786,-3952509,3447803
620,515,-217731.8,-4612967,-4322949,4550984#ROs9f067uubog,-1505981,-330131,623516,4896672,-42525
621,2637,-323461.3,-2296495,-3108832,640342#6oEe7VChsLB9d,-3324084,4616897,-5242174,6088368,-2754587
622,1972,26366.9,-898221,1839337,2950325#ybctiaUmhb7bG,1896342,3549082,1509515,-833885,220963
623,1575,397681.9,4869964,3044803,5769219#RsGHBe0k6Pi4z,4983979,2333386,3541490,-5055735,-170327
624,1684,34116.6,-808324,-5610642,30921#EMyFKLHUmZlnA,3630751,1222486,-1081880,-2340418,1508252
625,3702,-472902.1,5315974,1468853,2540482#tYjTf2p9l5Ysv,-4836724,872943,4499435,-3601193,5502672
626,1059,-120883.2,-4574908,-5766180,285741#Ww33FxEGBujC5,-206585,1362039,3879048,4641558,4673424
627,1869,-250548.8,-5731027,-1243857,2401278#41cnq8EUrHkHM,-2110547,3421940,-4495667,3235051,-903251
628,1120,482810.8,5212250,-1693250,2181952#mASLQSAxYCik7,2571425,-78148,-4034986,-5604073,5921933
629,1957,218219.6,-728720,-4871023,1497997#EdgHhVtay9SgH,5129695,-5100476,-1614933,-5374932,-5414149
630,325,-375303.0,-1278398,4699096,2810163#zi10KjwC1d8SV,-5192701,-4947846,2542156,-402242,-1870288
631,2325,-62612.9,2311397,-3116576,6138968#BOOd2UlKwRFQS,-4498551,-2845189,5117204,-4870423,3431053
632,3472,-115757.6,-4865604,1151547,2531276#gtaXs2cuPfIIv,651161,-3918222,-5384500,-1269176,4057009
633,2499,16254.2,-2419214,-2924622,5129282#yhaGwvee4gve6,838153,-2578642,-5118367,5103955,-1977430
