689,26,3,614056#0gXBWruYBLH6fMBQUFC,1273863,0.38,1401712.0,-579425,2714413,5190221,-1380167.45,2010-04-11 00:38:15.000,4188626,-3536581.0
690,77,4,1301383#ZHH1xnU8SKLQZtRtmRN,6674852,-0.31,6636576.0,-4665521,6578521,-3387217,1848490.11,2013-05-10 00:25:11.000,1436971,-6156676.4
691,62,2,4714474#K5H3Dz1QFlfHK0mB9wk,-4911629,0.36,7104.0,-4239448,-6850553,-2788111,-6648033.61,2012-03-16 06:29:25.000,-6382977,436040.1
692,141,1,2194554#CsXCo74pRaRdozyZBOj,-2413076,0.41,-4907568.0,-232422,-1301605,-210873,-773233.21,2012-08-19 23:44:35.000,5506929,6298537.3
693,199,2,172200#aMHQavJjO1Y7nCNZGE3,640919,-0.33,4922144.0,-5605435,3709877,3789014,6545124.97,2010-08-02 15:04:14.000,-2429725,-6651140.1
694,107,1,6210039#MntNU2FDJYxGhZqS1OS,2602830,-0.33,4660096.0,-6651583,-2955512,-6645643,-1601556.48,2012-12-14 06:35:03.000,-1656075,-961725.8
695,182,1,6338008#iEn0T4UitF9Ivy08WQp,-3432435,-0.45,-6289952.0,-5736533,3206728,-2315381,1227330.00,2019-11-21 05:17:15.000,2409055,3563004.9
696,191,1,1520809#uqu8c3LjuX953heRdGw,-5146396,0.44,4215712.0,4221064,1968533,-628489,6352571.19,2012-06-26 09:15:10.000,4684469,1749624.9
697,72,3,2296305#t5jGH48OKuqIwAHdTr1,3060720,0.34,2094720.0,6061986,-4800960,6564016,3931854.19,2019-05-26 05:47:48.000,-3170129,-548271.2
698,141,2,5905730#4PPW87dhfv7Jgtk5cm7,735181,-0.37,4911600.0,3977865,5785232,6473638,1996495.59,2019-09-15 19:19:54.000,-1527914,-3732082.7
699,64,5,4861820#GCKmS4Dy89gqJr00sbZ,-769329,0.39,-1951520.0,4865780,1750548,-4584595,-2578638.58,2018-05-10 22:26:03.000,5524900,-4140117.6
700,130,5,551522#fNMXcn52AvG6iv5AwrI,-640066,-0.34,-2761952.0,1524078,-4458720,-2017723,2521402.97,2013-05-14 06:35:44.000,1792876,424601.2
701,191,3,2967426#rKcKeO61qtJCDThgYOG,-5807327,-0.44,347856.0,3626902,1461919,-6540528,3376183.80,2019-04-24 09:55:30.000,-5389750,3564013.7
702,202,2,4847981#HQSWDFRtv1kKNg7CTYL,887044,-0.37,-3540816.0,-927723,-5541555,-2977369,-6672505.48,2019-11-23 10:30:38.000,1537300,2189379.9
703,175,4,1649729#94pgKq2nwQOkTAhU26g,2802238,0.38,-2513568.0,-6992216,3295776,-4206033,88312.04,2010-10-10 19:23:44.000,-1421097,809336.9
704,80,3,3038587#zS7nJyq6zNuKQDJ8Cco,6976356,-0.48,3747232.0,-6081795,-1093311,-5953270,1396383.17,2014-12-18 07:25:56.000,1400638,4735259.5
705,175,5,531417#oD8CFMv92Ppt8DxbCW1,-4586264,-0.50,5507616.0,-5346924,1700784,-2868106,-805294.57,2014-04-16 03:13:44.000,-2698257,-1362416.1
