105,203,237,3572,343219,-409067,788286,-803339.59,-0.218,-749676,-209126.660,-961574,806059#t5Jc7wRogfdrgLeioKyHdVFhLdOBGb,-855108,966023
106,1362,434,3914,-712847,432242,-895041,-227993.5,-0.283,940723,-514614.090,745879,1024811#iHHtDxUwwDLAO6z3mGEaZ0nD09Bsoi,511239,560799
107,622,801,2895,562139,722184,-1000566,-771018.2,0.480,-85485,-149019.830,-307448,364713#3eQwpZn88bAY9g88KtLZdjGhh3pFmz,-456692,554558
108,1390,1730,2730,-29470,979439,791549,-541516.78,0.507,640559,804452.290,437303,75187#CMLviUcXmuY5npc8xymo4f84W7A0l5,-171229,-668478
109,930,2051,4237,226200,-288187,933144,-72614.88,0.516,-458670,-1020782.800,-781118,401325#kbQJOmsZM0g84vZ1XC1Upwdm36TsDu,905466,-471306
110,763,456,3496,-33541,234558,-855020,-430643.95,-0.326,759103,741842.920,1021584,62455#XJNKNgRYDDTqKMeP1osaHnlUQRwPh9,264707,-775179
111,401,268,2296,-1028244,-279063,330278,-726923.22,0.412,-323594,-856554.440,-586086,390160#kHftV6tTmxwcMZJfblgvYTcD8gdAvt,565846,608397
112,1278,625,2480,67054,-704618,332183,-959688.74,-0.426,-381129,-891935.360,973690,425245#uNvwwaRcJI9fmBQD8rhOfZvEYjdmv9,1053603,879838
113,813,2544,1871,37535,-845018,-63390,-885783.2,0.480,68061,11964.860,318754,624306#HrSbtJ9V1yUw3NIEt1l3UPLDZ7QJce,1047876,-422812
114,1679,1881,859,-986133,-200493,132831,406992.6,-0.332,-83087,-141942.990,-790853,1076328#84kVTcMMAaLXBexNbEi5t8CVFgGjhk,1044131,364942
115,729,2129,766,-570252,-1006368,-1105303,-978674.19,-0.258,575803,4239.370,-554060,458983#GgxmDoCmtGG8FzId20FSO43fmtpYu2,120815,1048832
116,1552,1230,484,1019090,-872459,-667986,-69850.44,0.432,195709,-871870.980,-1053302,120835#WOia8mFCySYkUTbx3AKcXDFSHXxKMd,-1151016,-3634
117,41,223,1140,-1136381,1068181,444138,452582.73,-0.391,447546,542893.970,899127,167503#j200gxtl0ZaoSPV04HXZGXqYjhenjl,-52842,-1133798
118,1816,1549,545,1042684,-1002227,916596,-498501.87,0.546,879266,923791.940,-340033,389043#mp035AU6Bf3OSSaO1rhucgeRoynDTq,-710872,-579492
119,506,1160,4271,-615531,-758239,-48413,-289149.93,0.537,243112,400972.750,1139414,645343#Vt4iWHTVkAendSrAZggnHX0kl8aGqO,89937,1162298
120,1194,2092,824,-1120292,-614081,-883519,-84563.68,-0.420,-394855,907200.320,-803085,555658#ci3Gmrge1AIxxeLcKJWK3CwWir8sc0,699857,-448051
121,1256,482,4485,1064675,-581913,-923055,212260.09,-0.270,-217906,-792814.550,267619,1054678#dqUFbBxl3k2OqCnGULe1ZKNnCaM3mV,-567348,-750525
122,1594,472,383,301021,1096900,507166,-315516.71,-0.304,752453,-1129771.080,664638,131280#IZQiUgVLNdTr3rxbdmszh7f7DXKb7I,-539507,-1085269
123,944,1967,705,354224,1105912,-34262,507382.37,0.530,85840,897283.250,-1111622,254286#nk3Ohkrm5HUd4uLdl70Ql8DnO6VD3m,15459,-22621
124,1609,292,2197,-510732,1229220,-681889,-1013148.91,0.505,-839138,-177682.720,57484,517181#cz5TdAIedSVEQvrJvDjpVSbgPSuNqv,-402488,724490
125,1131,1246,3702,-1008419,396352,-908392,630783.71,0.509,-133191,649091.710,-560417,19824#SQaJ4E3n7gXFchmtPBhCvBY8BhXdjU,-638121,620372
126,1591,912,2054,-645263,490012,504390,-1136524.76,0.431,-644153,-355668.270,-1002038,558003#OSQQ9SeeZLuXEn1DVkqXcA8Ll6sLE4,-76004,-583762
127,1456,2177,3078,663805,667315,-156589,-584844.45,0.549,584172,-179779.160,776909,138013#OcdzyGabIlqG1otfHE728GErwf0ZY2,343019,1193144
128,1564,94,670,-896867,-1260539,305746,714159.55,0.574,1206880,737382.530,-113904,62555#aNDf3VGUS6jWIrTUrjA3IVXPviNni2,375188,-981696
129,529,2248,1319,1196187,-681154,-608236,552719.17,0.564,131815,-224390.680,-878322,1244052#jUXjNXgnPWlLgdms8IVbCBpBDfnnIk,847285,-948350
130,999,1285,1268,463034,107109,406454,-1148371.75,-0.460,-599823,486075.040,-1238183,123371#FmCI8tVFrVN0rnPQyyRrTtIhEaEitd,194754,-365802
