2094,2019-12-18 11:09:13.000,10776993,20207014#2mmVpCBiO6UPqX,-4472166,-4500520,-13002967,-1419709
2095,2019-07-16 05:51:14.000,-4117751,15486186#SPToBboKklPOLt,12250018,-14908343,17682224,-8980246
2096,2018-12-07 13:57:49.000,3539216,6898981#WoAmG3l1BBkG0l,-19333646,-18542502,11946916,-18049743
2097,2018-12-14 14:36:24.000,18354962,18585973#TduFqwB9FwbMoH,-1890217,6269426,-20676338,15319669
2098,2019-10-31 22:12:35.000,-13918873,1993763#hZhIlGfFBteJsr,-936264,20895015,-9043693,-6243700
2099,2019-10-23 19:43:23.000,9303836,138978#aCxWyzXh1fteDv,-18688554,7207696,8107631,-19524441
2100,2018-04-06 01:17:12.000,-12431429,11324798#R9ryDyAjl1qieX,-16908325,-17989491,821698,17950257
2101,2017-10-31 23:41:34.000,-13669252,86058#rVBqY85SJ3nqxe,-2320662,13976487,13668131,-3791994
2102,2019-08-04 03:34:56.000,-11066289,12250302#wCuDLSbotvGzC2,-5032393,-16813800,-8952655,-10525173
2103,2019-05-26 08:46:24.000,19383142,1043348#MGXvUq8HzPzbDG,3440093,11525627,19035480,10625306
2104,2018-07-28 05:38:31.000,-6710547,4345391#rMDk7zB3hbW6Vj,4668120,8838828,-13680979,10439241
2105,2019-09-16 09:45:59.000,15821431,10367107#vCJ7hGLmMTbPcE,-18121969,-15811688,1550505,16339493
2106,2018-07-15 11:51:34.000,-18725114,5775119#4SNyGcUDLKRCsf,15399589,20581947,-15928223,4187067
2107,2019-07-19 01:53:50.000,-18759950,18754732#x3QaUOhLEO3Jxb,19359946,18752510,-12292612,-5270578
2108,2019-08-10 07:10:22.000,-6583882,20295213#96xcjNtvu9Exvc,-20512108,4679256,-10106288,-9124376
2109,2020-01-09 13:38:46.000,-6421082,14902123#OsyfePngnmiZeF,8979688,687230,13645779,2859472
2110,2019-02-11 19:40:12.000,-359736,4315349#eE7CtAQ5QeyRwm,-12374280,20567071,12574770,15917417
2111,2019-09-27 11:03:15.000,-19038055,5809642#KCxuZCyFP6tX6d,-16344887,-10610920,20724403,19383585
2112,2018-02-21 21:09:04.000,-14445668,11442015#0QoJKOZmifecOC,8915004,-16409439,-6739409,-12215291
2113,2020-01-19 18:28:52.000,-2308932,21031285#Z3fF1wJXJDaAQQ,2349306,3551553,-20130617,-6604353
2114,2019-09-09 16:45:41.000,-14831975,7648141#TLzcfaKtEVANkM,-5777411,8477482,-18996891,7971767
2115,2018-07-24 02:40:02.000,-7159248,3730155#Hgy6C3PpPTvXnX,-9035541,-5109542,-2820299,-5801981
2116,2018-04-04 03:26:10.000,20241047,6489817#TeaqEOn8x1t6N9,-15005024,3069918,-5899157,-14809059
2117,2018-08-14 19:58:46.000,20932784,18888920#PNKYR0QyuB4DIf,-17284174,7841981,3961825,13225927
2118,2018-06-21 20:35:25.000,19516369,19383694#WG0MvRAfwaTguf,9650390,-192499,-9143175,18171879
2119,2018-06-02 05:11:37.000,10156656,6367834#6VQdPzLt2nVgd0,2384788,18372059,-3280225,17630327
2120,2019-10-25 03:47:10.000,-20013237,3631614#ONsXqA2PoknRS2,-9472724,6170197,-9777997,-105551
2121,2019-03-07 16:45:14.000,-4361447,7759665#KtfMByEFOI9fOD,-17396706,-20519951,1936739,505527
2122,2019-05-24 22:27:34.000,-5252291,3743269#YcoeP4aIlZTN75,10093631,20060341,13280524,11561103
2123,2019-04-16 20:48:59.000,11180470,19994550#sb3CsRWvX3Nem0,16541389,12940170,13476964,8870477
2124,2018-09-28 08:44:34.000,-16908991,8578384#eSqJ46SEOYAzpZ,1627219,4629639,7800875,-13161562
2125,2018-05-19 09:23:39.000,3934586,20857559#QaJPWdEt1Rwcs4,11195299,-2684230,-15955929,6604491
2126,2018-02-25 09:38:24.000,14102037,7262027#7nw40QJJaGH6N1,-10940638,-12892589,14319034,17165131
2127,2017-12-30 16:00:55.000,-3360740,9093946#gE0RhKzlzoQ1lO,-13602295,-1847081,12907590,-15817592
2128,2019-06-25 15:50:05.000,16156450,6436570#pw0pJbEPtjQGQw,-20375040,17401332,-4414111,20143535
2129,2018-11-19 01:42:25.000,8347477,4191069#RtqleKGMARSViQ,-12541452,10286299,-7703360,-351666
2130,2018-05-09 11:05:33.000,1942235,8039602#CmsE1GqGNGI5wG,-17436257,14629518,17031119,-6552687
2131,2020-01-09 18:56:35.000,-5571584,11025258#iLqULdUkFpM335,-923809,12181591,12936083,-6314504
2132,2018-05-06 04:36:04.000,812211,19610354#CVhIDX0aaZjkcd,20984143,-4119559,-15251336,20757211
2133,2019-08-18 12:17:42.000,-17819640,5073890#Ko8fXXydAPFIbc,-15262237,18238573,8515264,-12479802
2134,2019-08-23 07:09:01.000,7310213,5550945#r8OKFp5zcmotyO,-1887163,1467820,-1451458,16828050
2135,2020-02-29 14:18:01.000,3620272,2204028#YkAO7R0H0XUhQE,20871076,4340457,5687446,18072263
