1772,2286,2271,3736,3,2,53,2163682#ms1mRqVlvoT31kumy,-7136470,12484083,-13374923,2018-12-28 23:17:28.000,-4441800.0000
1773,1012,1609,4380,1,11,71,13455746#y7ASAORnMmWfRVOLm,10630265,-14223987,8564951,2019-03-01 22:00:27.000,-124852.0000
1774,150,288,750,1,12,10,1007075#JpcUde0xO6i3PFWJf,13497483,16923422,-8309532,2018-09-07 06:48:21.000,-15197761.0000
1775,512,174,3902,2,3,54,8012088#iPRa71et1uiJGn4fH,-16150091,-4495566,14115032,2018-04-16 23:17:56.000,2676676.5000
1776,1232,1672,1697,2,9,48,13629481#xT6xjc3bA6NPCYSNe,-2497749,-11054407,17725818,2019-06-20 20:13:19.000,-3809156.0000
1777,1574,208,3673,2,4,43,2944286#3ZjN6B7P9nLS1maRP,-4597041,8569977,17674630,2019-02-02 14:05:32.000,-3525917.6400
1778,990,2110,4066,3,4,51,9519456#Ls7HiDHBJxDUWgXaY,1175467,6281192,-3275161,2017-11-10 01:16:03.000,2784450.0000
1779,128,685,4242,1,4,54,871677#x32joK7nU2IiqWeFr,15007655,-7170076,-1284591,2019-04-07 03:56:02.000,-5537301.5000
1780,1010,2446,938,1,11,15,1973643#HHzJnGmudNGWd1GeK,-8797508,-14838483,486703,2018-08-14 02:20:56.000,8682704.0000
1781,1450,84,1714,2,6,6,5028534#qdyVeNEBWIxwHj9ZL,14841625,10914111,-6416428,2017-12-27 19:35:53.000,-14585810.2500
1782,1854,1029,1447,3,3,3,9461520#LcojBhDZXtfSmmK6U,17360001,2322488,6568259,2017-12-20 16:33:55.000,873010.0000
1783,115,1309,2484,1,5,30,10551792#ZBOQQfdlU9gZaKcMO,-5784076,-13816951,6736156,2018-03-30 04:49:38.000,11838142.0000
1784,262,1427,906,2,11,17,16120821#t98fhbdmusCM6EZNq,17261650,8295108,-9516180,2018-12-11 08:43:44.000,-4843904.0000
1785,2316,470,3865,3,5,17,16993006#Od9RL6WaYjwZdGYR7,15420495,15813589,-773131,2019-07-01 08:25:15.000,-833832.0000
1786,2012,1357,3143,1,11,14,4997743#umsfxDfeURgq9h9Ts,2067970,-6275720,9265759,2019-12-24 17:50:48.000,-287875.4800
1787,1419,1356,321,3,5,62,15828691#tqVxldxyYMdOtvNpt,4081739,14037974,-17534132,2018-11-15 04:32:49.000,-13203882.5000
1788,46,1506,474,3,1,18,8886127#LWg5yqVTO6VJpLA9p,-4770619,2591349,2604821,2017-11-16 20:48:35.000,13336364.0000
1789,1730,449,3355,2,10,36,4030335#JvXDasXCb5dX2lrTu,3277776,-6693335,-758311,2018-09-14 04:29:38.000,-3930071.4300
1790,617,1532,2400,3,2,35,7695586#KBEoKAhCCyz3OMwWh,1561921,-12623419,-9725921,2018-04-08 08:02:18.000,-4933501.0000
1791,2027,1005,1744,3,7,3,3890282#pxO8QlKu1102aymBv,-14757687,-15428476,-7781986,2018-01-01 14:32:20.000,16991557.5000
1792,1379,1477,2623,1,10,62,833758#EeVueR9UpYrGhYWJL,-15328876,1799431,-17131502,2018-03-05 19:26:19.000,3053040.0000
1793,1294,1449,3941,3,6,69,15149369#oapqUeoUtuAQGyvuW,9816814,-17490891,16250417,2017-12-12 18:07:08.000,4152672.5000
1794,175,2264,2364,3,6,22,3765282#pxO8QlKu1102aymBv,-5972801,17185282,13770523,2019-08-31 12:20:13.000,6801644.0000
1795,1828,1684,2039,1,4,20,4336342#fMyBrDsHwUgByzZBo,7267129,6139217,1005616,2018-12-11 09:02:31.000,15160033.5000
1796,753,2346,4331,2,10,41,4066029#XwNUAKFW9vTgDVhbw,2664892,-12894516,11606603,2018-10-06 13:28:46.000,-2923582.0000
1797,1799,2040,3379,1,1,61,1147671#sPmKWhoOBCpUNlXhe,5881080,-5290815,-15750398,2018-01-07 18:27:44.000,-9152923.8800
1798,887,769,3281,2,7,22,9880136#KpXzsnizlH0VunT5G,1717458,12807820,8558115,2019-07-04 22:00:02.000,-6970086.0000
1799,1018,2550,1606,3,2,41,15533812#GDkw8fZMg3vji2oLv,7702201,-1775256,14706578,2019-09-24 17:19:32.000,-9511272.5000
1800,871,2576,2819,2,10,15,10797502#HNJDlBxJaMwxqZgsJ,-6523683,1657763,940398,2019-09-02 21:54:55.000,-11794088.0000
1801,444,1626,4142,2,13,8,1628968#lvC4vz5LBLZuWcNHd,-13718546,-17166400,-1752288,2018-03-30 17:14:21.000,7281683.7500
