313,1760,2324039,1182629
314,881,-626933,148870
315,1199,89214,-2027828
316,924,431253,2434750
317,824,-1993062,2513387
318,1477,-2369029,1030581
319,442,-2097195,-1443839
320,1424,1792005,293743
321,475,-2135676,-506557
322,334,2957931,-1428178
323,475,2279289,468565
324,513,-761756,-1243215
325,1079,1391114,-1508053
326,537,530703,-263897
327,235,-1747855,50301
328,306,337393,2693583
329,1091,-1893217,-1353720
330,149,2160684,-245950
331,1165,-2304299,2729433
332,511,794628,-984592
333,1271,-397953,-2178569
334,1598,736507,888313
335,606,1247132,937609
336,1354,2496576,-1052670
337,1382,3069720,3251688
338,1510,17965,1481892
339,1287,-2770735,-274220
340,1428,-844677,-315716
341,1672,3316461,507812
342,852,-1045670,-911478
343,1333,2353142,-1959800
344,1140,-2882420,-3159874
345,493,34304,2903799
346,596,2384872,610951
347,40,-3016805,2307237
348,480,357932,1361165
349,833,-678126,3161334
350,1783,1804079,31673
351,1096,-3044209,-2655391
352,725,3439993,-3195860
353,293,443285,2432870
354,1075,-2033014,-1154891
355,736,-1740924,179194
356,929,2784298,-905839
357,431,-840912,-1446576
358,361,-1168905,3270941
359,699,3158858,-2598481
360,1706,-3061213,-2422377
361,1088,2025902,1586306
362,1016,-2375647,-935498
363,668,2696145,1371438
364,330,-727350,173951
365,187,101981,-2350398
366,304,498901,2818639
367,1744,-2307411,2910022
368,567,-2740130,1191953
369,966,-2426672,-1670059
370,797,2071842,340369
371,63,-2467122,-586007
372,718,3415834,-1649978
373,1751,2632342,539607
374,1823,-878743,-1433947
375,931,1605888,-1740170
376,1145,613088,-303473
377,1471,-2013740,59343
378,6,390100,3105335
379,421,-2179959,-1560428
380,1837,2488062,-282838
381,589,-2650874,3140407
382,879,915102,-1131569
383,915,-457603,-2506078
384,1216,846088,1022196
385,1277,1434006,1078461
386,327,2867475,-1208711
387,1226,3526307,3735352
388,726,19962,1701313
389,136,-3178720,-315984
390,698,-969939,-363494
391,180,3803712,581888
392,300,-1197342,-1044230
393,903,2696691,-2245544
394,1328,-3302134,-3618786
395,1309,38297,3324674
396,530,2728486,697860
397,17,-3451542,2640365
398,58,409139,1556555
399,571,-776364,3612842
400,591,2061946,35704
401,1064,-3476497,-3032322
402,143,3929058,-3650736
403,113,504827,2778129
404,1099,-2321149,-1316741
405,1842,-1984733,205331
406,41,3176170,-1033820
407,982,-959273,-1648853
408,995,-1332609,3728247
409,1636,3597455,-2959559
410,98,-3487688,-2760177
411,720,2305113,1806338
412,1633,-2703064,-1064546
413,1432,3068251,1560248
414,1635,-827767,199031
415,1031,114747,-2672967
416,1540,566549,3202529
