1706,2079786.0,6869705#DOIoC7gyYXKZh3WSxh,-3470490,-7789017,4342357.33,12386973#BN0wCwt3GhUYUyEAJpmRu8u8u8sf,-16881526,6092119#1Ek96ishnafQAvPOqu40lit,10424770.5,1247498,-16555234.000,15779642,5944646,2015-11-26 18:27:59.000
1707,1.1691136E7,5582433#bfOPKFhTEYF8aFIxje,-13953500,-7688832,1.116879217E7,13312174#S2dJ7lY7PnQa8joQu4DS0jU8zSMG,3916095,15833402#PBgYtpDIRxruXgDerrlqmEM,-3170156.2,-9512494,4641256.500,-14335169,-6210745,2018-05-26 06:05:32.000
1708,1.2987633E7,11584018#XsQiAv4jykLwKE7l7r,13478994,-9429848,1.248299878E7,8766044#U4N1WaRvCdMgj0z0LeNLbgxnLgVN,-1857305,16250724#dqbBRaCVRWBSykNUKt3lkcC,1078675.0,4033356,9693602.000,-4746475,-7181996,2015-09-17 11:34:20.000
1709,-1.0562224E7,4308142#QkecsaxMdoH1kGEyC7,-3690246,8363495,1893276.51,12898306#FGUjXRAJJwYZfdSE7v9JqVmDtqwe,-5713622,2588414#E9cIKqmWibuNXRQeDPUTSWm,-5978171.5,10243383,10437249.500,6767309,-16850646,2013-04-16 17:41:35.000
1710,1.6441935E7,1882628#gkFwi5bulzi1QbnI2x,-4446013,15558423,-4545467.71,11900061#JejaPuxuViaZ9DvGni3UNApr6gke,13139863,10524948#xrp2mc0dOdcRkyu0AM77tb1,-644797.5,-14293779,3446393.000,7073267,-14637510,2017-06-18 21:59:01.000
1711,1.4394969E7,4018139#uFftpgVaclTIYLlhJA,12322425,11137639,-9942442.25,1422634#k2IjzTWZEONOurM43TGOItC87PyZ,14682248,14450539#XUuVZQwCmg1sA31raAA3wEb,12087090.3,7515328,-509953.000,7784451,14170555,2016-05-05 07:42:13.000
1712,1.2706823E7,13489434#awPcOFjbTqkBAHoAb0,-15076451,-9528150,1.475963588E7,15550735#ep6JIm3TRGWH5r4VxJzhntZcFsJS,3806581,14130982#01Z0mmTBP92iSXHOp7biQi5,3876004.0,-9457911,505649.440,2518326,-5055372,2017-11-25 11:48:58.000
1713,1.0586013E7,16698232#2qKDU9dAtLYXk9AwDf,16148738,-4380990,3516687.45,3082870#6DKC2v4fdDzLLjGSaPr3vSQuG4ih,-4906760,8552209#tsdmFVMDecQUSIuOCVbISgt,-16386580.5,-9083931,-2463810.000,-103600,-8699091,2015-11-19 18:45:47.000
1714,6480992.5,7917935#erb71RR9b6cQd8Rjoy,5008566,-2369358,4467156.75,10249929#bteXmlfMtfF2m0NroSoEkYzVL8ZS,-6123596,3033854#ojNi1ifvqqgkzJRWdcrZqHC,-3297517.0,-1946902,-6686512.500,6343530,-3874124,2013-10-11 08:47:15.000
1715,-3464034.5,2661601#6doTPxq2mM3iWhW3FT,-5115089,-7565031,-2242793.57,11649486#72VRPAEGhw2SvHRbxcNdbW1Agpuq,3112048,4732927#iaSmSmes5RIxEsp0WmKA2Qa,-5282689.2,-1113293,3728596.850,-6354657,-12714352,2018-01-28 06:10:18.000
1716,-1.0953437E7,2725163#q93LyrNlFe5zurfaBq,-2982937,6648841,1.510455242E7,12331270#MneC4T5vTHaGRb2nCfDyrh4lYQwG,11119803,13452375#uS4vgyvFeSCH9Vyt3M9oy7L,-16272679.0,-12667668,-9511429.200,-16870300,11815515,2015-12-22 07:34:29.000
1717,-1.518658E7,14646756#3yLUiKtJE64AOWLIW2,9662262,8639702,1.508876607E7,7526756#lWgMl941UdFE2e8dd1L8VqFYFJFX,9075307,1874198#oiwiAT1yzg4ZefBEf5CwhmR,-6355322.2,-6450875,6639464.500,-1217493,16316997,2014-05-26 19:07:21.000
1718,-1.3582835E7,2530731#H8ajShVgYlP0s66n4F,-5387537,-6103371,-1846004.59,16057021#O0kuzbOioREMMJWx5flVLhtEp5vx,-963695,11949984#0Hs65h2NZ4SADXTKHQ8h049,-1055784.5,13451296,-5329736.500,-3126928,-16089245,2019-12-09 20:34:42.000
1719,6690545.5,15207804#GHHbjvQerz3oiHl90t,-6159955,-5333339,-1.532748682E7,16733778#10kvMrovVENTQbG8GiLLLcxaZB5P,-1377891,7760783#KWES16kkuj9xhO9uCDT8fXz,7847486.7,-11843925,-9387189.000,3097770,-4298838,2013-04-04 05:06:00.000
