521,1,1325,6,29,4962384.5,2783836,-2907242,-0.45,4023409.6,-830359,1532008#jqE8Wu8UT,2020240.0,-2018291,-4015836,1050031#go4sH6WJS1,-3666800.0000
522,1,1255,8,57,-1992630.4,3113267,-3843064,0.59,-1589206.2,-4015010,4083370#X5VOLb1ZT,704592.0,1773335,-3191612,2092303#yfdrnMElGz,2534108.0000
523,1,929,5,105,-1179463.8,-4488223,1324297,-0.54,-1503232.7,4795863,1640742#6ivFWjVRP,-3263408.0,4705171,-122750,5092224#b9SP67nbyF,3431856.0000
524,1,2470,5,139,4494594.5,-1062326,936494,0.52,3587644.2,5001757,1231758#mlPWWK2D9,1157168.0,1355587,3851375,2872610#QnFMfS8Cka,2773040.0000
525,1,687,9,100,-1292815.0,456006,663420,0.54,-802206.9,-3191422,4692874#rn03ZqqVG,-4797472.0,2755407,4587243,2441507#PsoNapoP08,3759616.0000
526,1,1264,8,157,-1371122.0,182840,-3220852,0.51,2487512.7,5242631,3375799#CO4jrn7da,-5014416.0,-1429992,4933074,3396677#zJ0ecDDU1f,4344672.0000
527,1,2005,1,38,-1582947.5,-4434960,-4282249,-0.47,-1046346.2,-5132159,15674#0RIMJXGwA,41696.0,5220677,-24769,1040903#Cwexmpf1eo,-2004964.0000
528,1,582,3,146,-4139494.0,-483535,-772821,0.45,-1767577.7,-4682154,336891#VzrP7sar6,-4481648.0,955080,1997587,939628#sPIbIfU25G,-3799968.0000
529,1,171,8,114,1462714.2,832599,3375850,0.48,-1077712.0,-2671167,4630982#eO9DRlqNc,1051440.0,-3320278,-1694638,4421904#75EzJLk1Zh,2336112.0000
530,1,1423,8,177,-1161893.0,-1088979,714422,0.62,4065663.1,3454815,1400236#feBg7u3pb,-1234368.0,87968,-3001338,869001#rySXx6XNbc,-3234896.0000
531,1,162,2,44,-5266709.0,5015204,-1080657,0.44,3107551.9,-4743997,74709#8S4ahkqzD,-4944064.0,-1225079,-2400263,421271#kvctHghWXM,1336592.0000
532,1,2329,2,158,-2833285.0,-1479228,-4062878,-0.54,1043117.2,-2063634,5318975#X6gNYSE3H,-789264.0,-2482872,-3098620,4366159#mshCyFvRFg,4170128.0000
533,1,966,4,16,2114276.0,2682743,-584828,-0.58,1018678.7,-2536443,1337518#LqwIhEK1B,3427824.0,-498013,2626824,538190#OGW9szNcEK,-5224816.0000
534,1,1279,5,158,-4220312.5,-3199294,-1630788,-0.50,-1133891.6,1151188,3731482#NX2CYkM6O,-3803232.0,-641191,-2649305,764931#F1auuZnQLk,-4994160.0000
