581,1177,759,726,2714,-1701670,-1770880.51,-4969505.5,2707442.32,2828571.430,4369856.00,2004178.6,-332161,-712188
582,803,1402,181,183,-3340509,5810173.04,5618945.5,-4047450.55,712673.030,-1513648.00,-1133144.6,-1425087,2092286
583,775,1760,1181,868,-5399251,549213.24,-3239169.8,-396806.34,-2753452.270,-4880064.00,-717817.4,3117411,-37755
584,1256,2396,1134,2013,3015170,1190319.84,-677897.7,2001068.75,5745946.860,-892928.00,-905786.4,-928760,-3117966
585,60,2089,551,2714,-249909,5438063.51,2798038.2,2399372.29,1476287.660,5442288.00,362090.0,2651962,5817658
586,378,1936,1566,662,-4290181,4269351.40,1580171.4,4338553.31,1895168.870,-2963336.00,2389720.8,4519147,-5668237
587,1453,666,591,1774,2979845,-1639374.84,-2704353.5,-3116249.19,-1527495.150,3395872.00,642306.75,-4592028,-4994900
588,404,1286,511,1469,-1060276,156473.59,330077.12,200756.43,1582662.720,4252880.00,-2844763.2,-3152104,938359
589,1225,1932,271,1114,-392548,-3582245.55,3482271.2,167231.2,390580.580,4822520.00,1508152.9,-559453,-3320774
590,1597,1216,1279,2475,-866254,634742.71,-18493.34,2793776.89,-3212229.340,-4355712.00,-1603024.1,5785733,-1073324
591,1344,1554,580,1478,-4083291,-2259406.90,-1134074.2,5276616.75,-2051050.630,1765944.00,-2184508.2,541891,3497971
592,998,1446,285,2695,478933,-1430406.55,730131.2,-4928469.13,-5259885.120,-1260736.00,5186799.5,-3171677,2037237
593,1315,1524,775,2713,2206923,-57861.76,2567896.2,-1947063.31,3748690.380,-1318496.00,263194.53,4840894,871224
594,1573,465,1273,990,4709289,-688214.42,-1134619.6,-2407810.99,3522433.150,4347920.00,2163297.2,-4288477,-543845
595,1119,145,1568,2423,-128107,5263650.17,-1208466.6,311253.56,4614542.610,5035832.00,1222491.0,120980,-5608194
596,1328,1802,796,1541,-3811392,5277105.12,-2413162.2,-4815600.02,-2607098.990,-1703040.00,-3509007.8,-1505054,-1274209
597,118,1477,977,943,-4770016,1874449.69,-2488450.8,1399992.75,-5029284.640,-2617856.00,-2213959.0,-2874844,-5428441
