417,808,-2621761,3306656
418,1513,-3111231,1353325
419,1490,-2756149,-1896279
420,171,2351680,386996
421,1507,-2798568,-665458
422,1102,3873737,-1871778
423,1171,2985395,610650
424,1277,-995730,-1624680
425,783,1820662,-1972286
426,1753,695472,-343048
427,851,-2279624,68386
428,1562,442806,3517086
429,1607,-2466701,-1767137
430,1669,2815441,-319726
431,14,-2997449,3551382
432,1247,1035576,-1278547
433,559,-517252,-2833588
434,834,955669,1156078
435,92,1620881,1219312
436,1156,3238375,-1364751
437,1070,3982895,4219015
438,1798,21960,1920733
439,840,-3586705,-357749
440,1824,-1095202,-411273
441,544,4290962,655964
442,1604,-1349014,-1176982
443,472,3040240,-2531287
444,1516,-3721848,-4077697
445,269,42291,3745549
446,464,3072101,784768
447,1850,-3886280,2973492
448,1492,460347,1751946
449,309,-874601,4064350
450,1255,2319812,39734
451,1032,-3908785,-3409254
452,1417,4418123,-4105613
453,1789,566369,3123387
454,1123,-2609283,-1478591
455,1092,-2228541,231468
456,1009,3568043,-1161802
457,1533,-1077634,-1851131
458,1629,-1496314,4185553
459,717,4036052,-3320636
460,346,-3914163,-3097977
461,353,2584325,2026370
462,394,-3030480,-1193595
463,340,3440357,1749057
464,1084,-928184,224112
465,19,127514,-2995537
466,920,634197,3586418
467,1728,-2936110,3703291
468,603,-3482332,1514697
469,158,-3085626,-2122499
470,1400,2631517,433622
471,1095,-3130014,-744908
472,1486,4331640,-2093578
473,591,3338448,681692
474,731,-1112717,-1815412
475,635,2035436,-2204403
476,505,777857,-382624
477,231,-2545509,77428
478,1262,495513,3928838
479,937,-2753443,-1973845
480,1501,3142819,-356614
481,1294,-3344024,3962356
482,1615,1156050,-1425524
483,203,-576902,-3161097
484,452,1065250,1289961
485,763,1807755,1360164
486,129,3609274,-1520792
487,914,4439482,4702679
488,1014,23957,2140154
489,1545,-3994690,-399513
490,1094,-1220464,-459051
491,908,4778213,730040
492,1052,-1500686,-1309734
493,42,3383789,-2817031
494,1704,-4141562,-4536609
495,1085,46284,4166424
496,398,3415715,871677
497,1827,-4321017,3306620
498,1070,511554,1947336
499,47,-972839,4515858
500,63,2577679,43765
501,1000,-4341073,-3786185
502,835,4907188,-4560489
503,1609,627911,3468646
504,1147,-2897418,-1640441
505,342,-2472350,257605
506,121,3959915,-1289783
507,228,-1195995,-2053408
508,407,-1660018,4642859
509,1654,4474649,-3681714
510,594,-4340638,-3435777
511,1841,2863536,2246402
512,1011,-3357897,-1322643
513,1104,3812463,1937867
514,533,-1028601,249192
515,863,140280,-3318106
516,300,701845,3970308
517,792,-3250460,4099925
518,1549,-3853433,1676069
519,682,-3415103,-2348719
520,774,2911355,480249
