521,683,-3461460,-824359
522,14,4789543,-2315378
523,11,3691501,752735
524,185,-1229704,-2006145
525,487,2250210,-2436519
526,1113,860241,-422199
527,1467,-2811393,86471
528,962,548219,4340589
529,267,-3040185,-2180554
530,1333,3470198,-393502
531,719,-3690599,4373331
532,127,1276524,-1572502
533,1703,-636551,-3488607
534,70,1174831,1423843
535,1434,1994630,1501015
536,958,3980174,-1676832
537,758,4896070,5186342
538,230,25955,2359574
539,393,-4402675,-441278
540,364,-1345727,-506830
541,1272,5265463,804116
542,500,-1652358,-1442486
543,1467,3727338,-3102774
544,36,-4561276,-4995520
545,45,50278,4587299
546,332,3759330,958585
547,1804,-4755755,3639747
548,648,562762,2142727
549,1641,-1071076,4967366
550,727,2835545,47795
551,968,-4773361,-4163117
552,253,5396253,-5015366
553,1429,689453,3813904
554,1171,-3185552,-1802291
555,1448,-2716158,283742
556,1089,4351788,-1417765
557,779,-1314356,-2255686
558,1041,-1823723,5100165
559,735,4913246,-4042791
560,842,-4767113,-3773577
561,1474,3142748,2466434
562,1628,-3685313,-1451692
563,12,4184569,2126676
564,1838,-1129018,274273
565,1707,153047,-3640676
566,1536,769493,4354197
567,1712,-3564809,4496560
568,639,-4224534,1837441
569,1206,-3744580,-2574939
570,147,3191192,526875
571,271,-3792906,-903809
572,398,5247446,-2537178
573,1287,4044554,823777
574,1495,-1346691,-2196877
575,339,2464984,-2668636
576,1721,942626,-461775
577,847,-3077278,95513
578,662,600926,4752341
579,1453,-3326927,-2387262
580,1165,3797576,-430390
581,143,-4037174,4784305
582,495,1396998,-1719479
583,1347,-696201,-3816116
584,1544,1284412,1557726
585,249,2181504,1641867
586,1787,4351073,-1832873
587,602,5352657,5670006
588,1302,27952,2578995
589,1098,-4810660,-483042
590,1490,-1470989,-554608
591,1636,5752714,878192
592,1804,-1804030,-1575238
593,1037,4070887,-3388518
594,224,-4980990,-5454432
595,861,54271,5008174
596,266,4102944,1045494
597,1781,-5190492,3972875
598,226,613969,2338117
599,1379,-1169314,5418874
600,1391,3093412,51826
601,936,-5205649,-4540048
602,1527,5885318,-5470242
603,1249,750995,4159163
604,1195,-3473687,-1964141
605,698,-2959967,309879
606,201,4743660,-1545746
607,1330,-1432717,-2457963
608,1675,-1987427,5557471
609,1672,5351843,-4403869
610,1090,-5193588,-4111377
611,1106,3421959,2686466
612,389,-4012730,-1580740
613,776,4556675,2315486
614,1287,-1229435,299353
615,695,165813,-3963245
616,916,837141,4738087
617,776,-3879159,4893194
618,1585,-4595635,1998813
619,1730,-4074057,-2801159
620,1377,3471030,573502
621,1715,-4124352,-983260
622,782,5705349,-2758978
623,707,4397607,894820
624,949,-1463678,-2387610
