272,-1551242,-2055419,1783575,true,-1314867,-2582925.2,344745,0.1077,1414072.650,-1999996.53,true,-1895395,1904866,2454105#acD02YYqYh,119492,-1767014,2020572#1eMdpu4rDBgY,1763214.220,502136
273,-2681812,1287675,1458673,true,1558514,-397255.2,2188801,0.0864,126560.280,1998045.71,false,-1541143,2215394,1783089#Dw97Pzbd8i,2560047,-773215,167390#8CklGPoB68oc,811671.320,2469809
274,-2199954,1329695,2499953,true,2382547,1077494.6,-1466681,-0.1622,1683609.990,99675.28,true,2085891,-1647134,870518#q9aIdXiedi,-2084817,2043102,2590577#8iNOjtFxo6f5,114111.620,-1760625
275,-1071201,2521682,1660396,true,-1430929,-293144.16,-226949,0.0172,461392.460,2207004.17,false,-2708823,624016,152289#W2hfKMrkRv,-371426,-1154300,1294998#Fz5S4FwfGQj1,-1876254.930,2718955
276,2198747,2507013,-1047616,true,390243,2693178.8,1626488,-0.0658,2169269.800,-264421.04,false,1694277,424593,691515#lzIBS6FRJS,1183734,-2621010,1540892#ePTObZnIeDlH,1179873.480,-2568177
277,-2753375,1729073,2263365,false,2117384,-1870701.1,-2150023,-0.1731,7722.020,-1474643.74,false,1424749,292604,2124083#0yrinz4WGp,331107,-15724,2366045#fIer08iXxmtg,-1976430.230,-1134011
278,1396541,-2433351,446837,true,951751,1244996.4,1153805,0.1254,-2299382.250,-1563751.46,false,-169714,-2138741,1420673#6sbqrlNmXo,1676646,2779778,2281477#xF2qvRpI8yge,-414805.690,-1709697
279,-1840294,1305706,-31750,false,143162,-101849.27,783180,0.0688,-2135544.520,-635566.75,true,-2093484,-1966288,671799#rikQ9ORf4x,981897,-2341145,333851#9Y9Nc5dirrN7,-240334.970,1257333
280,213476,-2509249,-2150977,true,-837476,1334999.5,-1183463,0.1392,-1544576.380,234941.87,false,1600027,1108957,1403486#V1rSe4Oojn,-2428561,-1461173,1009406#SEFTQ1A67OMD,2654852.030,225238
281,2707639,-2500589,881433,false,-1399065,1332260.2,-1978776,-0.1143,-475373.780,2716719.09,true,480386,-659847,1602495#79pug6oxvj,-1325912,-904749,438563#PhVoQvNq950X,2024194.770,-1482169
