1,1524,15078,2008-03-13 03:43:10.000,6562,-5551,18.680,3002.840,-6553,12445.76,-8539,-7044,12103.4,-1433,1312.0
2,2204,1114,2019-12-08 18:00:32.000,1276,6291,2.400,-13339.500,-17599,-1495.98,6474,-13300,12026.5,-5945,-1216.0
3,2391,26497,2014-03-28 09:02:31.000,-18309,-17324,5.220,21506.550,35559,14889.99,-1240,-12502,28322.9,-14833,24176.0
4,336,-36329,2003-01-19 18:17:10.000,29079,-10506,-16.900,11137.240,9762,-41737.49,-19016,5075,-6404.9,-17214,-7440.0
5,2340,23015,2005-11-10 01:05:14.000,15061,23820,49.700,49738.250,-29437,30175.15,22373,-34145,36637.6,41133,11744.0
6,1271,-15285,2000-09-02 19:55:03.000,-51716,44246,-31.230,26122.040,37471,-34794.9,30996,-54435,-26757.6,28511,-14720.0
7,1470,62964,2019-01-23 13:15:02.000,-51812,-30162,-7.010,-56502.340,-60478,-21612.71,850,11060,-41474.5,14796,64752.0
8,1361,34210,2020-02-20 05:43:04.000,-56676,31436,-24.470,44720.080,73399,65158.08,-35837,-34798,-42065.8,-43250,-58000.0
9,631,-48520,2000-12-31 16:20:58.000,15916,-53768,40.260,3475.600,-35287,90297.66,-54998,86588,28964.0,25275,49184.0
10,2210,-2209,2006-07-19 18:32:12.000,53166,50112,3.210,-97932.400,85318,81382.03,-42071,74363,-64592.2,-17686,-81952.0
11,1692,99326,2004-09-28 19:17:24.000,-20570,-71853,-19.650,16710.910,-68117,-86665.43,53348,100855,10044.8,-71796,8400.0
12,2395,-14059,2001-10-07 23:06:49.000,53023,1682,10.290,99563.440,49972,41660.78,79391,-86687,-4164.7,-83103,-30832.0
13,1505,-89023,2019-04-14 15:39:35.000,-59553,3880,-46.100,-122964.500,86644,-80343.62,57583,37019,44487.2,101184,-91392.0
14,1403,32939,2009-10-27 11:23:14.000,66482,-93558,22.470,-99091.260,-33977,-87122.27,21968,-137532,-92452.3,48285,-79568.0
15,415,-17009,2006-10-18 22:29:10.000,36831,-144909,-39.715,30995.650,-17200,-44217.97,3774,-14685,50731.6,105509,-98096.0
16,841,119190,2015-04-14 22:51:39.000,-37626,-63394,16.330,-97497.920,45297,60478.93,48406,147835,-63231.2,-10793,46416.0
17,518,132318,2004-04-13 16:44:23.000,-62315,-152985,48.150,-1763.960,-26836,-96294.89,29195,-80137,-51826.1,-110985,108288.0
18,262,-126099,2001-07-21 03:31:39.000,-127274,9228,35.420,-90376.280,170657,112130.19,-23831,-117304,-112012.6,-91941,61888.0
19,1143,36040,2014-11-26 08:32:36.000,-68421,171281,-19.890,94387.140,51769,60252.14,38634,20178,115525.4,28974,-164880.0
20,2390,176585,2008-01-07 12:09:47.000,121475,155637,-26.990,188472.000,-190911,-194597.98,-194580,-82866,-74526.0,34117,4832.0
21,2275,-66323,2017-01-14 09:12:43.000,-68819,143888,-25.320,67425.910,130320,126727.71,133193,178140,-169122.1,144982,175616.0
22,1352,14012,2011-06-06 02:11:57.000,111759,105089,29.550,67993.960,72891,22433.52,113523,-47074,-202473.3,68833,-194608.0
23,1111,88843,2010-09-22 21:08:29.000,82356,147570,15.980,-28383.290,-183165,-49648.83,-121066,-22036,-13167.2,40091,-164240.0
24,123,160574,2006-05-16 22:30:11.000,-183120,-137436,-46.980,49264.880,120931,-137963.8,91900,-244553,-59568.2,211501,-145104.0
25,1752,-177038,2006-08-18 17:15:05.000,90243,60462,-35.690,-235953.250,30125,135045.73,38887,32116,209995.0,101609,-127440.0
26,528,-101891,2019-03-01 20:25:03.000,-150007,28506,-14.820,-115661.620,-188632,188304.23,245700,78652,29830.8,167722,172272.0
27,12,-244664,2005-04-01 17:45:41.000,144490,217855,11.130,-234313.490,184936,-182877.75,92869,-136902,196095.0,28951,55088.0
28,806,56198,2019-11-20 14:09:15.000,282535,-178881,-28.470,-212434.360,108238,224738.77,-271280,-195861,56609.3,180907,43808.0
29,1921,182359,2005-05-01 23:37:35.000,-19813,-224915,-46.170,20831.250,225516,-24231.63,-91888,221879,123237.5,-274833,66464.0
30,2219,138717,2016-11-06 13:15:06.000,-4173,129835,-25.690,-246853.800,248108,-50233.88,137880,-248644,192513.6,50220,-186896.0
31,1155,-215416,2008-09-11 12:27:57.000,-35060,136417,-21.080,-193971.500,192329,-110070.91,-69494,202404,-276270.4,-169311,-186960.0
32,206,267702,2004-08-29 22:21:02.000,143074,162655,36.790,-140233.440,-238582,-184226.0,-288617,-108887,-130418.0,125064,165696.0
33,85,-154075,2014-05-28 17:33:41.000,-119098,133248,10.470,-250285.500,174655,271644.56,-250260,305189,-236279.5,-46271,139424.0
34,1297,-175764,2004-06-28 07:12:51.000,-253118,-176479,-13.310,284806.080,106803,-103636.71,-134928,-88413,48563.8,68876,-122160.0
35,682,83261,2011-11-30 14:27:54.000,-165639,-24136,-52.140,24858.350,204563,-184800.47,-272228,17231,-66755.8,-42304,171168.0
36,1675,-30683,2014-06-19 17:54:14.000,309581,146661,12.916,-217896.640,140076,285277.53,358650,-268300,-143608.8,-339785,-354192.0
