1,130,1780,1321,602,4900,1667.21,6021.51,13256.3,-5814.690,-352.00,-3849.71,4084,-8950
2,757,51,264,629,-10464,-1679.72,6878.57,-10475.63,-18087.190,16312.00,-15375.12,-64,-5848
3,1329,1026,1751,1675,-6206,9171.59,-11316.56,11997.99,-17610.080,24784.00,-2916.53,-17292,-2581
4,50,2262,298,838,-15710,7668.64,29698.08,-24069.49,31997.590,5408.00,-19805.23,-7017,34252
5,1349,1664,1574,941,-32035,-29545.51,30868.77,-28438.88,-42756.290,-288.00,-29239.36,40555,3596
6,434,1134,622,910,-13912,-45567.71,45695.44,7016.17,11430.110,24436.00,15594.83,-38541,-28815
7,1271,1140,264,1425,-42406,35278.47,-63515.72,-12201.72,28862.440,-42144.00,77840.08,-64985,-20607
8,1186,2323,1838,1620,52400,-49887.23,25826.17,4959.79,-81993.680,-48.00,2643.7,-28792,18057
9,96,1235,824,1993,-41855,-22237.96,58802.87,66060.48,-75138.760,83520.00,-330.06,62694,-19905
10,652,2064,1269,751,1723,66562.24,93573.8,-23520.23,-16176.420,-8016.00,51389.25,-63871,-25229
11,1238,1493,39,1784,-59377,27523.14,-19188.64,60095.93,44737.010,-95540.00,-26805.88,94222,-91212
12,537,2361,505,1975,83705,75691.97,48320.63,-17043.15,12669.570,107968.00,-2790.6,-22143,-55653
13,432,24,442,1451,14295,-1461.27,-74507.58,-53131.19,24395.290,-86896.00,68435.29,91897,43572
14,1237,1433,186,1264,-90611,70039.44,-127019.05,-104651.18,13439.350,17584.00,7696.56,5246,-273
15,773,2304,1834,1275,-101838,-13516.59,20311.35,19691.89,110584.650,78156.00,61767.02,-65994,104058
16,1192,237,18,2064,-138463,17867.10,14862.5,-25486.96,53994.330,-9920.00,112617.67,-97292,139881
17,973,1793,773,210,42327,76774.56,-35411.12,76081.06,-145185.270,-172432.00,78838.1,-129115,-118494
18,825,1110,679,1391,159143,115289.82,-154328.31,-56587.14,160817.040,36960.00,87860.34,45176,-59481
19,858,85,1416,1897,37817,-102563.68,83479.71,6979.6,157206.530,-67232.00,11691.4,166972,145508
20,1437,270,1053,1405,-38102,118935.32,32823.45,-49418.18,-24189.010,-28944.00,-79818.38,9908,58626
21,869,555,1019,2224,-45824,-149543.09,-15664.05,-211636.17,50019.650,-26736.00,123643.9,-155672,156861
22,226,849,1756,1453,195235,46529.72,133065.9,-11745.56,-212641.460,-164768.00,58260.57,-211749,147386
23,106,1527,1774,575,-102846,-207637.02,69410.84,186354.95,-46918.160,-151064.00,-78337.28,92282,-211160
24,420,1807,1755,1942,-166826,-59972.41,-167100.78,-149733.92,-79055.600,-624.00,-109297.32,-87064,58538
25,219,915,313,297,-102950,10681.50,95888.43,109376.2,-30599.190,-96608.00,-47488.66,162399,-186145
26,1145,396,1546,1694,60234,-44105.45,89052.69,-101091.37,-200003.160,-188384.00,199487.4,-114815,-6693
27,593,2042,568,2524,-254808,85454.45,-180301.23,-27006.03,202368.770,-111520.00,-230024.22,104851,446
28,805,1539,1687,1972,53581,209871.81,90264.91,68033.59,-10382.630,-185152.00,161601.5,-113106,7701
29,844,506,842,1577,-261268,129428.83,-184617.73,93857.42,-14653.800,-111440.00,21576.97,159636,-193959
30,70,670,1031,1253,185025,125201.66,233754.08,42552.68,200768.500,80624.00,253901.1,242415,110350
31,1183,1353,264,2334,-93261,-103781.01,-261505.72,137842.32,155642.930,233856.00,103378.64,-16230,-35468
32,215,1319,180,2042,-192216,328031.54,303745.62,-228250.55,40144.030,-79248.00,-59544.62,-79259,123561
33,1283,1941,31,928,-313698,32482.74,-176769.81,-27206.34,-148146.270,-277664.00,-40217.36,168327,1838
34,1577,1087,1789,2514,167826,76124.34,-44297.68,109068.75,339897.860,-48128.00,-52186.39,-52236,-184854
35,622,593,461,2208,-20279,331803.01,175638.27,137772.29,92867.160,320688.00,27690.0,164576,356290
36,1140,984,1537,40,-270957,260104.40,92971.34,264153.31,112305.370,-189136.00,154520.7,279488,-342691
37,1348,1513,438,1543,191246,-111194.34,-161153.44,-194649.19,-94206.150,219072.00,35106.77,-293068,-315121
38,1309,1973,1184,1491,-71382,18847.09,22077.13,15956.43,106919.220,284080.00,-187163.38,-195761,60075
39,482,1030,917,1829,-29889,-241738.05,235071.3,17631.2,19429.580,321320.00,108952.83,-44708,-214764
40,341,1651,1435,1050,-50005,38240.21,-9693.34,197776.89,-220729.840,-290112.00,-107024.12,382934,-79325
41,263,1186,1225,2495,-276175,-157202.40,-86874.29,366216.75,-138079.130,115944.00,-160508.19,39026,240282
