1873,243,9477298,11371420#OKb21JgjGDFhDSK,-17188678,12860611#Xr2F2vGfgnPiIcYhQwdn,3429007,2314347,-19487.680,false,-4529939,-419553.2
1874,1556,17972368,14657671#WVP857qqGRfB41N,-1102350,9711028#nTYYelykORpyoHZCEJjj,-14600891,6194565,2934.750,true,9490970,263409.1
1875,14,18087295,16832525#N4pzZxaObeGDYjr,4405357,4967518#RyjDUzFG7cGIvqyWRXng,-16936823,-12928726,13658.910,false,7398889,235375.4
1876,2194,8413377,18186402#H7hJeGqJhwDRpyt,8894367,9677665#gpoTrNuBnY7qvI9MZrkP,1800778,18589770,-25316.910,false,-13305318,177095.4
1877,212,-16441618,6327957#Snr7eMeNYc0U8Bl,-9404958,1733390#INqOAmHfFuQZ95krVw0E,-17361782,7546212,-1655.940,true,-2211877,-455231.2
1878,1397,1751283,13713660#HC6k5RZMO6QYjDN,1397193,17773844#9ex7ggKn8ZaAfcMerJ0r,-7666971,17245724,44098.990,true,-7837683,-541629.1
1879,1272,-5263356,14083964#QWifJTimgxB44vW,13085502,7055306#44tCTppQJnjiHUqKfXgA,2510883,7027713,-29838.100,false,4061072,242061.3
1880,250,13427346,14387491#bO72zxKoxT0P7e5,-17085169,7648007#lonUJaBQgExcYBPLfvoN,8727509,15713378,-46823.250,false,-6910521,-249182.3
1881,2378,4978954,14529625#4eiSuRtyfx6brSm,724500,4408360#HUeGhYSj964AbslkLJxP,-3614949,-16397073,59318.840,false,-14636612,-254383.7
1882,1348,7967121,1169203#5zoeDaBv0ZViJIO,3842870,12858309#eVZeXdjxD6Ht7IpdUngZ,-6165397,-7891922,12632.970,false,10107241,327569.0
1883,1829,-10236650,10291675#nPgfDJTuWy805Gr,10377117,13250700#SSDel8m89Y2EFhmeBgnZ,-4769493,-15906352,60743.920,false,-14348727,177064.2
1884,2510,11734721,13663218#SVK0KWn3cXSdfr9,-1516960,5507163#ABqCIh9UtLiKp4YrcXal,-15054554,-438715,48818.650,true,-2629614,343651.5
1885,417,8468118,8649606#44G0o4znZdzYDh7,14118075,5841213#NlFKGMzs3MA6Drw1AU1o,-1435341,11086565,16048.910,false,-17413810,-183899.0
1886,2534,-11046626,8226427#aRJm2f80omUmM4v,5369027,2326204#v5k0cGHAkPJ6r894wqw2,-11405711,-13889342,-6248.130,false,5626102,185633.2
1887,1441,15037835,12972205#3jzycvTWQO1s66k,-12982006,10622450#4SqGw9RkfDDyOvBe9wOr,-8132326,7704812,11082.990,true,11993684,-433082.2
1888,2243,7637144,18586505#GX3OEOQD68ONttu,729736,14296658#IJtbvb6agj3KelNSANpq,14992514,-7847641,7386.260,true,-244665,-654915.7
1889,1853,-14876900,16346075#QGJEDIrkAQ68h74,13629957,18033223#rKKuyD9CpEjg8HW2MoEx,9887273,-3442632,-36643.000,true,-13214047,335143.2
1890,2273,-473708,15901416#v416CKZMKHyxWDa,-8812856,14050138#WTOPO5HnPTFY2Y3bZFPy,-1842626,-3212971,12226.110,true,6747708,207619.5
1891,1163,13864792,5885636#oqOgRzAvCw0Dmk1,4565758,10963592#97hLGG1GzF7kzg2EuZrY,-18122300,17548807,33813.120,true,-14974760,-411324.4
1892,2421,-3707366,18547309#OvjuJnmTIlpShNy,4849976,6935161#452fxd3AB1oKWkYh2ibI,-9854617,-3745762,-55565.050,true,8095951,-486665.6
1893,2005,-3597817,4354926#eNgjfbj8IxL8lhD,3156439,2487099#LpX6je7kkTtukp4Wv1rk,-708994,-17172295,-32557.330,true,3922916,-219699.8
1894,1499,7412677,3780798#EUZHlTpWQaVPxEr,-7265382,654724#ApN6p5jHa2nuYMAbbl35,5415469,61314,19907.010,true,-8189215,-390335.8
1895,1168,10458376,672460#0HspnIPyQSi8BSY,-18092942,14668941#BoVTxupwU2VxxZnrRTBP,-2862163,-8574095,-64331.240,true,-18563941,567367.0
1896,1206,-10977776,748076#qmkPLsaglIatadh,-2683317,1540597#rttplgI5ybTERpzaunlj,2570431,-12256330,-43862.440,true,-6926909,-248402.1
1897,1210,-7443500,12413623#K4Qi0cBavoRrvTw,-13157367,16307409#Yh9sEDJxhSwkyDe4JHhW,-271620,-3273331,39014.330,true,-500597,-360789.9
1898,850,13439048,7170232#niz44QinaazscAj,-1663428,10058738#xPYoVxqfFTPVu1chvTwg,14749713,-18902794,-155.150,false,-8028432,-617911.8
1899,2641,6246925,13129391#jbJl57ATVSup851,12836172,5927235#ZgiIew0rWTcxuP2ZRqDz,-8637028,1687873,36955.380,true,6561371,678058.8
1900,416,-4065307,6882919#vwENBs3nbEH6F7M,15421135,2213429#0124ySuN5BKjTaavF1g0,-10754018,9176842,5916.430,true,8015905,323160.6
1901,1843,-1780435,17483619#eauP6ZaYra1k69x,-13924089,10472825#C0kILY4OFOGFZmhFTxvg,17135675,-10545213,-49313.280,false,-9106889,632012.6
1902,2568,-260552,5708042#1bobBCJ07HiU2As,-5403544,16772126#LnmEuiI0tHVGEXHo09JQ,2721738,-4520600,-27801.750,false,-14965505,-520575.2
1903,544,5719249,18953013#bYRreP47lwwmuDA,-1060100,7409694#3j9nxvrAN3r50XzsDGaS,-17450833,10163250,-38774.110,false,6716521,-68394.1
1904,807,4872360,15578027#Z2rgYUH6VV5bILw,-18037945,14330091#64uf1ewg5a1PTJ503mgC,5472994,10944555,-12557.010,false,-11016607,-260746.5
1905,420,-1253914,15315971#Xh5QqDj5v3r1qEs,-8408565,12290552#k0eoKf1n8rfwIXraCDdW,-14991953,-16078449,-40108.330,false,-6943577,660169.0
1906,1733,12720321,18350106#DEg7iq6kbBkoBOo,4945989,5243249#IkmpB21ZwCeCukbAZYOb,1399425,1345371,-58950.950,false,-3037860,286123.2
1907,722,7675107,16990122#HVDxnpg4XYrqTOF,-11795257,3922228#i6wcWNabINbxrbUeJP1R,-14502250,1616636,-42427.510,true,-1480905,664194.7
1908,593,-18109006,11516176#xPDxDc4awwRRsdW,-4971516,2521428#2s6ppYSidSm43EKxzWjV,8772931,11775012,-17655.150,false,18362588,-103941.9
1909,557,7809305,1033424#1f3cpgdjXgj28Xi,15285752,14569215#gKToVVGhdwTyPu6qbjhx,19074890,80880,28668.180,false,-13315838,-346137.1
1910,2510,8532607,14294029#zlqHR944jYLIsvD,7530956,8630595#Ehbm4xRyW67aIiFlLQ4n,5359537,12202946,14202.210,false,966859,600483.8
1911,2412,-10761411,831020#j5aPm45EsHBe6Z7,-3920919,8262851#KGhIJBTqkCTtIaBTDCW8,-13038641,-6232787,-49784.890,true,15149232,210623.4
1912,1424,4878995,9265394#Bd2qwCxyk9yK1ui,-18366335,13985508#L9qDugvmMZBaaji0Y3ph,-4125062,-13100020,12430.910,false,-4253077,178786.1
1913,2451,13612267,14516746#qyHF3DbEZNV6zjG,1348912,14380515#zFJUpxbmEg6XdJ2Uq975,-12370368,-16968661,-6064.600,false,9174487,677520.3
1914,1843,-15658933,7659703#fXL2OPDG2b0BUan,2241908,13627690#YI4NZ9e8jJOv1SjBqm1W,8736647,13779029,19847.690,false,10437651,584135.5
