335,3351,2148317.5,-200272.0,-26957,-1864890,-355081,2696604,false,2695674,1812321,-1563583.5
336,2760,-874169.5,1783504.0,2337409,1270370,2518951,-2525863,true,-1721184,2703418,-2848343.5
337,3648,3329966.5,537536.0,-191282,-1385960,759291,172144,true,-2165049,-2838675,1491120.2
338,3347,-974254.3,2513856.0,-3072314,-679031,-241490,1845725,false,-670848,-2441677,-2431439.5
339,2831,-2645619.8,1285024.0,-216540,842990,-1271638,2604267,true,1389812,-387400,391873.28
340,2206,585973.0,-26128.0,1733887,2040550,-1539380,-980917,false,-2893457,2455459,-1088624.9
341,3182,1846780.7,3307552.0,199412,1766119,-3041229,2798223,true,202958,2449470,2803019.5
342,454,-2195580.8,1555936.0,-2896123,-2937610,248283,2206531,false,1829177,2358394,2842438.8
343,442,-3022451.7,2936448.0,-1961495,2329733,612175,-2649920,true,-919586,-2506715,3000722.8
344,419,-2666791.5,3189392.0,-755460,-2034974,-1500899,353633,false,30510,-1553642,-1175360.9
345,1877,-1703893.3,2945264.0,-1373322,3395290,-1791734,3109134,true,2346042,1043422,656080.5
346,510,-1644329.2,2573536.0,546992,2628160,2962270,-2989105,false,-2025374,-3250289,892540.94
347,2562,1505477.3,-1585360.0,-2330703,2904337,-2190436,1162862,false,-965923,-110697,1678.93
348,3533,-979405.4,1710608.0,-667194,1249825,933872,809454,false,1636457,3099663,-436090.0
349,2202,1096494.4,1025984.0,3359946,-2205316,-1625140,419319,true,-3240096,-3153113,-3298100.5
350,1712,2502052.3,-1056528.0,343358,1268878,-1446953,-2732831,true,-1501962,-2796594,-1809755.2
351,1815,-897682.7,2514208.0,-2324952,562954,-201830,-2450378,true,318895,3053138,-950353.6
352,1792,-3129155.9,1226016.0,1317192,1935915,1728747,1436608,true,-370590,-3074268,-2909266.0
353,528,3116641.9,1454720.0,1798258,-53631,2751187,3285619,false,2976489,2593026,-2909092.8
354,1225,1298920.7,1771568.0,-1542098,3031149,-2560885,1815411,false,-2555655,3091119,-3525621.2
355,3718,1558219.4,-1705776.0,83388,2084254,1308704,2254704,true,2162183,-2434386,-2166107.8
356,841,-1573380.5,3096496.0,3367042,-2656595,-1063000,-1938329,false,376418,1911822,-382679.56
357,509,113926.1,-787856.0,3319860,-981138,3288786,1093005,true,-396541,2026164,561709.6
358,1710,1312611.6,323520.0,-702896,-2892494,946420,3174747,true,-3077723,-1769638,2167151.8
359,1916,-2229228.7,-721824.0,-36883,-56616,1463261,1211131,true,45876,-1746503,-3530917.2
360,159,-1168798.2,-822128.0,2428846,1279598,719277,58389,false,-528941,186554,-2269531.2
361,1221,-889809.0,3259024.0,1226409,-1565583,1927763,-3303751,true,3218187,1327364,3335682.8
362,2641,-2373593.5,2892768.0,967832,-1393216,335570,-643492,true,-1632823,-941292,-2132896.5
363,2093,-309941.1,-2185664.0,-2013111,-457850,3424271,-1928827,false,784920,2829541,1505745.2
364,424,-3453132.3,2234320.0,-3178360,-1090322,-3201294,-2934743,true,1370883,-1206918,-2399219.5
365,3187,455635.4,1911280.0,2645628,2344024,-3637047,2740273,false,964066,2536970,2372714.2
366,2152,-2322276.5,-376944.0,-3304981,-2244100,-1166749,-667686,true,2894235,1463032,2457993.0
367,1553,1006873.9,-3190064.0,3483611,-389137,-403643,-3213650,false,-692982,742675,-2248077.0
368,2653,-701734.2,-2819472.0,3158765,2274038,-2340711,-309042,true,3219209,-163430,-1960601.9
369,2169,1621978.0,-1074048.0,-741841,-1355991,-2383210,2675945,true,2035290,-1685894,-942642.9
