1145,9636740#zjEpAD7WkI,-1418600.62,-5690808,2404298.6800,2015-12-23 18:13:28.000,-316.0,-119.79,3918496,-166391,158.820,1532353,4884146,9632248#JHTFDcyBmqUpfuQ16YOoMsYV4Pq3unEk7huSv,-9216690,3564992,6047288.41,-1045657,5621911.7400
1146,6771321#Vf23LTeVHd,-1.099164945E7,3894898,-3006875.0700,2019-03-22 16:26:00.000,-352.5,-249.11,6556079,-1110786,354.940,-9799034,8493680,8989936#UNgaEgID5kYtoDmPbjg7umKgXMVJUZHxTYF3f,7922462,32062,-8976045.12,11071729,-5115677.5900
1147,9576214#AHNwBlUxNG,-9213735.61,8865751,9615888.8800,2010-11-15 18:13:31.000,255.6,180.21,2392062,-4510948,295.530,5171054,9015148,5241610#1GqscH9dajGtsDsf0Qq3PeFZnDhhACxhz8ZBF,2172058,6627581,1.059470217E7,-7098006,-9079136.8100
1148,2208873#mu2bTRHtza,-1.132488343E7,935778,-9185691.7400,2016-05-13 16:08:59.000,238.3,-130.91,6425136,6548262,-133.780,-2524596,9740110,8380672#rSvr9vcHtIaeLD0bwvqBlrxW8D8r7dTGEYvNl,-734878,-6437546,-541731.06,-7084027,-2029214.2800
1149,6531632#CSQrpBLfep,-2455077.31,10710016,-9866894.4100,2012-07-13 02:10:16.000,107.4,-121.32,7118662,1076674,77.093,-2812689,2825967,7210110#PS7l9nyI7ZV1QmXrYU9pQDVMkHSerdTEEsGef,7583821,5035812,-6249660.02,-8884156,-5217948.2100
1150,9326185#pJWafDFJEt,-2897806.32,6113929,-6835946.8000,2011-05-21 19:30:35.000,-345.2,388.33,4406657,7361819,142.700,8126054,-6101949,5061434#f6b3UQ8tVO9OkXTzODqgbO6Qw9Y78CvQPmoas,4795384,-9509260,-4922698.29,-7988771,3381803.7600
1151,4624869#Pl2215x8es,2619931.86,7619805,-2098830.3600,2018-01-02 14:54:54.000,346.1,478.33,-173166,-9121649,148.920,10589748,6849015,5807061#wwFNnSCewh9U7TQKyZg2ls0t7DO0e4bNX5qMS,-11004511,-7363170,-8090458.67,6413433,-2617100.9300
1152,10066068#0k1c82hsDC,265960.01,-5248019,-11480251.8200,2017-04-28 10:41:14.000,181.8,169.47,-2189060,10541975,130.834,-2287224,-10477030,2940964#Ueh9ry5jWFCAIFCYh27LtSHZsHqP0wnLdZtST,7062724,8440358,-1.091646009E7,-10930352,5652515.0500
1153,1002698#dk1NlSVmJq,5708943.7,-10711588,-11149981.7500,2012-09-23 03:35:52.000,-128.4,-117.70,-6019008,-4834169,-89.790,10768163,1798122,2460688#APIBKIabFVBVVK6m2t3VSpofMgsymJPQMr0ZB,-4642234,6676078,-3230242.07,-1756182,-9783586.0900
1154,4076721#yBSFZXA0T9,-2397593.5,4701041,-2877447.9700,2014-04-05 17:35:03.000,-317.4,-380.50,-1645213,6797842,-376.460,745002,-11284521,10798382#obSFe4vkJ4kShaMbkk3HgqU4ZeawF3bY2zFbd,-2984408,8052728,1.039776037E7,-4505174,-11416844.0100
