1,2,6,6,3,6,27,6,49,2388,503509,2011-10-12 04:56:35.000,-185917,592121,683998.5,575046.3,-407120,465184.000
1,2,6,7,3,8,39,4,128,1243,769733,2014-02-04 16:36:53.000,331012,114856,133941.67,-267691.7,786135,-544320.000
1,2,6,8,2,7,49,6,70,1666,837261,2019-08-30 12:02:20.000,-917186,-520801,856376.5,-812981.8,51275,760288.000
1,2,6,9,3,4,12,8,15,1185,-825416,2014-02-14 20:10:03.000,293018,-747300,-356472.2,-105213.6,-815250,-959008.000
1,2,6,10,1,2,51,3,82,1217,407528,2009-08-01 13:23:13.000,-911815,49467,-1180463.8,9606.5,-770075,-167344.000
1,2,6,11,1,8,45,2,9,2359,53858,2006-11-09 00:32:16.000,518144,1182551,495424.28,-261092.7,-37042,939376.000
1,2,7,1,3,2,52,4,2,1412,-49864,2008-07-04 09:32:41.000,-122016,-12734,-11103.13,-55999.0,83286,115501.000
1,2,7,2,3,8,21,3,112,1001,98621,2006-02-22 16:50:50.000,167834,-192948,87871.35,94350.7,-2021,-159616.000
1,2,7,3,2,6,15,1,131,887,-325223,2003-04-24 01:33:50.000,303486,-186534,271746.72,397111.9,199316,148096.000
1,2,7,4,2,12,17,5,153,290,-126233,2003-01-30 12:17:19.000,413849,-187863,-90213.09,-474312.9,146405,337472.000
1,2,7,5,2,12,51,6,107,1164,489694,2011-10-07 17:54:22.000,-180658,575502,665150.5,559075.3,-395723,452480.000
1,2,7,6,3,8,39,4,128,1243,769733,2014-02-04 16:36:53.000,331012,114856,133941.67,-267691.7,786135,-544320.000
1,2,7,7,1,3,48,2,91,926,854810,2019-08-30 19:02:53.000,-936167,-531503,874072.5,-829736.9,52176,776000.000
1,2,7,8,3,2,40,8,154,672,-856314,2014-02-21 10:47:13.000,303627,-774644,-369464.2,-109149.8,-845398,-994448.000
1,2,7,9,1,11,25,1,148,527,427442,2009-08-19 00:44:00.000,-957795,51683,-1239983.8,9691.8,-808928,-175744.000
1,2,7,10,2,4,53,8,117,2015,56654,2006-12-08 13:42:00.000,549448,1253743,525888.3,-276895.7,-38993,996848.000
1,2,7,11,2,12,17,6,151,376,-1250880,2018-10-25 07:24:33.000,1073111,782395,88320.76,630870.7,135,-870034.000
1,2,8,1,2,8,18,7,88,1007,54370,2006-01-10 10:20:46.000,97194,-108897,46975.35,55184.0,-638,-92032.000
1,2,8,2,3,11,37,2,155,1036,-249669,2003-03-11 07:16:30.000,232710,-142945,207426.72,303109.5,151565,113296.000
1,2,8,3,3,4,1,5,45,1650,-107806,2002-12-25 16:08:23.000,355325,-161916,-77285.09,-405670.0,125976,288000.000
1,2,8,4,1,6,17,6,125,216,448249,2011-09-24 08:47:46.000,-164882,525645,608606.5,511162.3,-361531,414368.000
1,2,8,5,2,4,48,4,66,643,733373,2014-01-29 04:03:58.000,315705,109325,127925.67,-254722.3,748539,-518352.000
1,2,8,6,2,7,49,6,70,1666,837261,2019-08-30 12:02:20.000,-917186,-520801,856376.5,-812981.8,51275,760288.000
1,2,8,7,3,2,40,8,154,672,-856314,2014-02-21 10:47:13.000,303627,-774644,-369464.2,-109149.8,-845398,-994448.000
1,2,8,8,1,2,34,3,66,297,434080,2009-08-24 20:30:55.000,-973121,52422,-1259823.8,9720.3,-821879,-178544.000
1,2,8,9,1,8,4,7,93,1843,58052,2006-12-23 08:16:52.000,565100,1289339,541120.3,-284797.1,-39969,1025584.000
1,2,8,10,2,12,19,6,55,466,-1299734,2018-10-27 15:40:41.000,1114761,813164,91680.76,655682.5,136,-903952.000
