1870,737,87,2228601,1669777.5600,2019-12-05 23:18:47.000,3478835,9144866#vwserYGNeAyqveOfVTL2LrObOSa96enPxnSs,-3831127,497973#JXNjgUaZ32qpR,10476856,-17018878,-3414616,7672432,-1.341263552E7,9382343#esSeTVnHiG,-8388416,2019-04-04 19:44:57.000,2018-01-22 01:53:47.000,2018-06-13 04:57:14.000,-6551874.8000,-15257643,2511817.0,false,14318974#i4zQMWWTN9ocToVH,7237948#u2vwX0or2ZPYY,-6770673,false,7994637#InW0I7uzfM3S3yqd1XpLC5RcBBH1eqNJ,-3659593.00
1871,607,225,-4548501,-6915821.4600,2018-03-15 01:00:17.000,-17536045,15686808#FI28qvUuLEhLqJJu6tBqG2EgZBa7EdnYO13W,-1174757,5201824#252UWuM17KF8d,11818194,10809790,6114141,-3433344,-1.382272548E7,5828402#fjpTZG3Dhp,-7619889,2019-05-16 00:49:00.000,2018-02-01 09:12:59.000,2018-07-10 14:59:35.000,14231360.9300,-4423362,1196359.2,true,12801834#uEZ5LHvcVkW2UoDM,15198728#BZgdjia7NqIfH,-7600477,false,6662150#FYvfS8bU7oiyl29FDstT0Yh9EY37L7gF,18561551.27
1872,523,246,12090262,-7651444.2700,2018-01-09 21:07:25.000,8674701,516032#zMvvsxOrEI00fpMcIHQyOWKOEo4Gr1WPhE1N,4673044,375024#nNjSS2BdJADeH,8190353,9247724,-3148949,13535289,1.42540644E7,17293045#BeNS192nvB,-16235983,2018-10-01 21:38:23.000,2017-12-22 13:18:52.000,2019-10-01 02:21:05.000,-17573892.0700,6488371,-1.4588098E7,false,9550128#yt14D4P850qZpnbd,2182230#Fbhuv0PcFndam,-12627186,false,14269737#gaegSLn54itcMBiTp7E6juJzHjjtWzrv,8495960.00
1873,201,229,17762654,5433558.4900,2019-07-21 06:26:12.000,-1724817,18485832#rHvBTauWIJ88BogFg7f5dONb76eVG3qeztzC,1876470,16960663#QDPP9XIWp8QnD,2271935,-8655395,5660189,-17192379,-1.528696002E7,6259781#p20xoUbGTK,-11196547,2018-01-12 11:00:41.000,2018-08-07 08:21:03.000,2019-04-27 09:00:37.000,-12596331.4200,-16462798,1.82155E7,true,9538071#CeeB9QgJufJqUyoL,8931583#dKhCM7C4qouzt,-7559462,true,12182394#taHwStAmeFeqR8QwVN2IZY9SrtHPTtvb,-9907588.50
1874,351,334,7014753,14496075.3500,2019-02-09 11:11:22.000,12153965,15125008#JcmXdUjubULRsuktpz9we99F4NlICZpeyslt,-927127,6876600#GhfKVWZIGkVNT,7535671,15493231,5738927,-12107639,7235295.95,372452#ELQHADpqQa,-11986156,2018-04-11 12:30:19.000,2019-10-30 20:10:43.000,2018-12-16 14:42:09.000,-2505015.2100,13272000,1.1666262E7,false,10368205#cOVuJIcLPvwC9HqB,9457923#y4ZYhQY9RP6pI,4554679,true,2173692#VB9DGt6PnFGj97dEBCTzB5H5KxUoU8jO,-17552895.50
1875,984,50,5913419,1265727.4400,2019-01-09 20:10:38.000,11051983,14861947#hFUnBntkiRya11mnI7CRMyq597HKprdUCoyQ,3844318,14517108#DNwTk1jmZgcxA,-5707007,-18336633,-5841743,-3269755,-1.038683174E7,4044539#B2MgDoeTor,765746,2018-08-10 22:12:54.000,2020-03-02 05:00:23.000,2018-09-28 01:46:40.000,-13118000.7500,13985900,5167028.0,true,10166860#vKxbvH66YJeuBngO,8304153#hC7HOdwSggUyU,-1631906,false,10879584#AsBSH54PkVV73p5BwI8Jci0lKd64PvgK,-727371.25
1876,619,257,-4826862,15269384.5800,2018-01-20 13:34:05.000,8865494,37906#4ple2drp2U6PwWJISHqfUQEQTG9H93ycIKhP,-7780710,6069441#2WJacLMNWvBiD,11404594,-728008,9034332,9119538,-1.439897087E7,354992#dk4uaOcwib,8852583,2020-02-23 05:42:53.000,2018-12-14 13:28:06.000,2019-03-16 08:10:46.000,16791678.8400,9943677,-5227541.5,true,2646474#zwtJIAy96R4hJfQW,16311290#HEzcazDSNGJBi,-2031299,false,15745469#3Z5iJT84nhTVEChP5JQgSobGfKVcwsYb,-15582864.00
1877,618,53,10611052,4499699.0400,2017-10-22 22:34:11.000,14956444,306713#3UNF3g3WiMwKQYZRN2BrxgO0NzOIIkfZ14bR,-7814222,909188#SYaJPA4Qpvf4v,10422978,7540078,15802761,-1450090,1.651394545E7,14945030#aaqoqEClGv,-8554157,2019-05-24 23:24:50.000,2018-09-18 21:01:10.000,2018-01-01 06:15:15.000,-17846007.7800,-18309529,-4735756.5,true,6604061#9X6SyyxeO09bdl8T,14969267#jNHPgRmSRM15j,-15867295,true,2425199#IiQWTkrdLneKwqO4SZerYwsAVC9iEDwG,-7147150.50
1878,169,233,-10295186,6147935.2100,2020-03-04 15:59:56.000,-17735500,5567470#FVxXDnR0wzfxQjm7L7j9OTwdb2nTUDZMhpg7,14799101,13066289#zQqQeYpIyjYtt,-13813000,-14678503,17693145,-11316940,-1.832349732E7,17719804#HLP6CB9wD4,-10199546,2018-09-03 13:32:00.000,2017-12-16 04:30:23.000,2020-03-06 19:44:26.000,-9634707.7400,12771466,1.6744391E7,true,3149163#7l0fEYPd8efquIiN,11157408#BFWukqAUSc5Qw,995555,true,15384498#zrNxn0w1hDbuHhFvjuvkqDkeALduQpJ5,5696451.00
1879,997,155,9563001,9829523.1700,2018-03-11 10:22:54.000,-15479682,13328913#hVbrsbAoQzBvIc5PXhUKxZynVAQMZiAB8o8r,17577417,8497454#brrGcuat1sBt7,-1452474,-1588671,8546633,18579134,1.29319761E7,4843278#tWjIDVVVBl,-9501878,2018-10-06 15:41:29.000,2018-07-22 15:49:27.000,2019-07-20 07:25:57.000,-5352310.6400,-8411871,-8715716.0,false,11675739#iZEouEBTOi1E0fYs,18426860#N9PK7FrNpugcr,12250950,false,7549422#pbYSh2xfSjz9ArdqI95xN6TDimMS0U9x,11594721.00
1880,792,199,-15634486,-18295434.1700,2019-08-03 02:05:18.000,10135485,10505402#YSHMBfhHrIG4GJVNtZnWJs7DlR0P5gvp5JI9,-2391766,17721953#6eZ3sHBo4cGiG,-10987719,4914078,11125208,10921616,1.112269382E7,11166886#S8L4UQzZUR,-13433985,2017-12-07 21:49:51.000,2018-06-19 14:54:33.000,2018-08-15 23:39:22.000,490285.0000,1813337,5406271.5,true,6891345#q4KnMPxkZCHJGa5J,13683656#mRqHu9ZO2xtqN,-13434033,false,605851#v2Aa7Wui6RQD0ZWsl25ERvZYud45udVT,17724128.80
