264,2,6,10,1537,1949,1755253.170,-642935,-1426307,351461.84,false
265,3,3,27,1217,166,-2155243.500,-2132510,401681,-808951.94,true
266,3,3,2,775,1026,-1076366.230,773496,-738801,-796711.25,false
267,3,3,28,645,1906,1368853.960,722171,-1834274,334595.78,true
268,1,10,11,1153,21,1103342.660,376862,-488382,2172647.8,true
269,3,4,25,1089,1551,387971.740,2412657,1307721,-2065636.8,true
270,1,4,10,339,2436,686088.750,-375893,-643802,884923.5,false
271,2,10,13,2020,970,-110937.810,-2602056,-250616,882063.1,false
272,3,3,2,1273,2270,1913239.230,-423940,-1282817,2267639.2,true
273,2,7,39,1811,272,2414569.550,967892,1623971,1624826.4,false
274,3,11,10,1315,918,-1978820.640,2504907,112030,180602.06,false
275,2,10,36,76,1987,1416832.070,-524073,-728283,2101703.0,false
276,2,5,14,1210,1477,-2258000.240,-618806,-2751718,-2552068.8,true
277,3,11,12,2334,709,1233860.310,-929066,198193,2384975.5,true
278,3,6,11,1748,72,-1634197.220,-2096881,-2268915,815344.5,false
279,2,4,6,748,1170,2474664.670,963222,-1012733,-1027185.4,false
280,2,10,25,1879,2309,-914567.650,-2052436,1363824,378774.88,true
281,3,3,14,1197,26,1616765.670,-1104287,-2599672,2315726.0,false
282,1,10,45,1452,844,-885317.200,611638,585624,2156241.8,true
283,3,7,44,2170,1332,1223866.320,-1838950,2525797,1144665.8,true
284,3,10,6,1748,688,-2511925.050,2278968,1745885,71120.31,true
285,3,6,15,1497,910,-1283176.700,517996,430133,-2079559.1,false
286,2,1,8,70,1886,643332.270,-755130,-229117,-1798483.8,false
287,2,8,30,352,1978,1083893.810,-915708,-559021,2828873.2,false
288,3,6,24,1580,156,1523636.160,1317880,-1069953,-240223.73,false
289,1,8,4,609,2071,803136.050,197677,-2233880,18067.3,true
290,2,8,29,1398,451,-1099570.580,2524978,-1851116,473257.38,false
291,2,11,9,555,1024,-1861975.030,-2296726,-883394,-1007821.06,true
292,2,8,6,1013,1356,2800935.250,1672577,-74061,-1062097.9,false
293,2,6,38,2335,1410,-738654.090,2217154,-2869478,-1706684.8,false
294,2,5,9,1380,589,2400703.300,2847960,-2246064,-2024403.6,false
295,3,7,8,148,1582,434568.290,-2168591,-1406560,197175.98,false
296,1,2,34,732,1131,1893968.450,-2788310,1937234,-753574.6,true
297,1,4,9,2376,1145,980623.170,-2960415,-2171173,142131.61,true
298,2,7,39,1318,863,212771.800,-2277735,896288,903203.7,false
299,1,11,41,430,1777,-1083718.190,2275413,2905712,1581837.4,false
300,2,10,32,2002,1706,1328479.940,-1771033,220736,-483613.0,true
301,2,11,27,644,1789,1298558.940,2030770,-2771404,2759623.2,false
302,2,11,33,2055,1636,-1843764.780,-178146,-2406189,1016263.75,false
303,3,6,15,118,2206,2442919.240,-531389,-330312,-118305.74,false
304,3,5,9,1564,2122,-2576974.130,-813283,1126031,1369889.9,false
305,1,11,33,2258,346,2519216.670,2851931,-2403854,748648.8,true
306,2,6,17,606,1667,-146678.370,-2728043,2967795,1665691.4,false
307,2,7,29,929,2480,-639530.070,-486879,1117481,196397.02,true
308,2,6,14,1140,1226,-1703243.020,153056,-1501286,1470576.5,true
309,3,4,1,1074,1252,-1767041.850,425863,673220,1775915.2,false
310,2,10,1,1767,317,2808311.020,1347962,2046863,58135.87,false
311,3,6,25,2336,1954,2490985.340,-2243314,-1211945,2719474.8,false
312,2,3,36,803,2052,-2335432.160,1598530,679072,2180529.2,true
313,3,8,22,1050,2406,927713.930,-539106,-3079415,658973.2,false
314,1,1,25,2064,2,2089207.670,-763863,-1697482,418661.84,false
315,1,7,41,1997,866,-2563246.000,-2534766,475606,-963351.94,true
316,2,9,27,1692,2088,-1278165.730,919020,-877501,-945511.25,true
317,1,3,38,1036,781,1625142.460,856893,-2177824,396995.78,false
318,2,9,45,1237,1614,1308258.660,446571,-581019,2577447.8,true
319,1,7,1,157,1183,461581.240,2859798,1550646,-2450436.8,false
320,2,11,20,1692,655,812908.250,-445469,-762477,1047323.5,false
321,3,6,20,292,257,-133218.310,-3081701,-297491,1044463.1,false
322,3,7,45,1098,1622,2263170.730,-500727,-1519130,2684439.2,false
323,2,9,29,1743,2223,2857763.050,1143389,1922996,1920826.4,false
324,3,5,10,825,2316,-2340082.640,2962582,133943,212602.06,true
325,1,3,41,2278,228,1673503.070,-617763,-859283,2484903.0,true
326,3,8,32,936,1290,-2666320.240,-732600,-3250993,-3013668.8,true
327,2,11,25,2161,1974,1456011.810,-1095597,234783,2816175.5,false
328,2,10,1,281,2497,-1927146.720,-2473471,-2675640,962544.5,true
329,2,1,16,1775,1473,2919108.670,1136250,-1194633,-1210385.4,false
330,2,8,5,1801,2534,-1077537.150,-2417567,1607724,446774.88,false
331,1,7,19,848,1395,1904853.670,-1300654,-3061522,2728526.0,false
332,1,11,25,400,1071,-1042930.200,718410,687999,2538641.8,true
333,2,5,36,1977,2001,1440080.820,-2164238,2973240,1347065.8,true
334,1,5,31,899,1335,-2954135.050,2678505,2053910,82320.31,false
335,3,11,40,1998,1303,-1508322.700,607792,505934,-2443559.2,true
336,2,3,10,636,14,756635.770,-888497,-269330,-2111283.8,true
337,2,10,7,1705,703,1272112.310,-1074644,-656384,3320873.2,true
338,3,10,25,66,899,1788140.160,1547183,-1257303,-282623.72,false
339,3,2,29,143,902,940767.050,230768,-2621309,21267.3,true
340,2,11,14,1493,229,-1289339.580,2959695,-2170291,555657.4,false
341,3,1,44,1959,1791,-2182749.530,-2689729,-1035494,-1179821.0,true
342,2,11,41,68,1678,3281772.750,1960547,-85361,-1244497.9,false
343,3,6,7,2057,1672,-865213.590,2595963,-3359878,-1999484.8,true
