1801,56,1903953,-10148690,2017-03-07 21:55:51.000,17119562#1SdzDPtNA1,-36206.24,7221601#4vslp5QNa15lDyFU,11373147,-4511212,7491624#2VxPusswn0jeJjhxW,12109336#X9L8nlhQmt,-12063807,-15924946,-8127478,-1.763631104E7,-1.768937039E7,717837#ox00cyXeBzveGXcL,-15974613,4748050.6700,9404417
1802,1543,15489768,3462786,2015-10-23 11:14:37.000,9433274#gwXg6XAqNy,13153.58,4891227#CrP2dueOgiPsLfx3,223502,-6512197,6914799#mL2H8vjZvPwJPbvyd,9628960#1FuqMuDyPw,7829419,14963381,-3693031,7524965.38,1865475.86,13558594#mz7G6WtGqeTUifgL,1449057,10101554.8900,6355716
1803,2686,-11054136,14194050,2016-10-19 07:49:42.000,746981#mhihI1F9cq,-17833.84,5925198#zHljXF0U8FzVdoou,8285969,17754466,3750489#J8zdmT2dkmNDrgUjq,15840319#dURx78JYAC,-14910472,10694524,-2038511,1099956.96,1.338946596E7,10966666#FA9wQ84WY7mq1WoG,14235588,-3804489.6600,-2762084
1804,910,811393,4578821,2017-08-31 21:17:07.000,12491477#U734oP8syl,-42725.94,7868036#DQAfybN8PdvWDhV5,-14069217,-142224,11220803#yN81adueiAmpdHVn8,9231984#4Oc1YBeanm,-4617778,17086201,-7757167,-1.14797953E7,5477289.44,3058533#ooWYcAHqCMxonM1t,4728600,-15732866.5200,-6900196
1805,1024,-17603214,12350403,2017-07-11 09:39:29.000,10681008#WbAp1aYYX8,34660.01,12745489#qgqQolXGL2WRzJec,16147714,9879152,9886539#1EHCnhf7pziJiYpIa,61559#KTO5p7cflA,10753476,-9629610,15227660,-8866874.2,1.501694445E7,4898240#6lLwRUBDzfVyp5PH,-9476968,61021.4500,-12667123
1806,33,7353578,10206310,2017-10-13 05:11:14.000,2791494#gZ91fEZU9T,38158.67,8067339#ZUaQpL4x5XQkhyA4,-10165198,-6938363,16541117#ZbjT2mFpvSk0ucmSI,346477#9PhIoTs9BL,11999721,-9703874,8228561,8546516.11,-1.532320108E7,1166859#IbvLwpLZoWHkmvyY,17287526,-14963255.4400,13006908
1807,1641,-16536868,12235428,2020-02-13 00:52:11.000,13255100#syFP5bkkyB,-10600.09,18039808#UjIa7BM4L6xKGKdW,-13945848,4748628,12567645#mN2spi0ckKbEEKm3z,2532015#gc5Y70mstk,-15025469,14132295,-17737522,9097310.84,6322654.89,140003#X3Br4cvf7c63BlG2,8290517,-14550367.8000,16133102
1808,949,5948750,-8157779,2018-01-14 10:25:18.000,8817771#MkGWCbORTq,-36489.06,10493035#NizkPhVovilmVto8,-14073845,7972832,15209389#XQksd63sCPnMsPBdo,8321380#6JZsbcP9zh,-2252955,2807029,-835636,-298000.43,1.330662665E7,11198573#DJI6lP42Wxmu8FuX,-9489374,11558761.1400,-14897039
1809,2344,-16177960,8732499,2016-07-15 09:42:23.000,5299386#P7FFHCY39M,66271.01,6355878#5ceVudIaHtcZAQM0,8181981,4940558,13610639#1Wx8pM9hfm8OA4eGb,9418584#nyXOyT6bm8,-1641188,1775035,-1674190,6753681.88,4394244.08,245695#sULWvownP0t34QQU,17373292,-2230981.2100,11795127
1810,505,-6280261,-9974690,2017-06-10 14:57:11.000,15632236#Maroji6YwW,11912.07,6063534#6jwiQG1aAMQwzH8J,17435711,1513282,8925850#040jRKiqAowYmGNYw,12431816#EtPij7rz8Y,-9911595,15708673,-1767290,1.618129882E7,7929996.56,2572043#8HmY9KudyMeLaXzp,16547523,2317908.3000,-1906629
