2,10,26,906,4007646.83,189330,3469394#ntuaoo4clnkLFtNG,2464912,936342.00,-5033085
2,10,27,1592,3706336.61,-1902695,1925331#8ooUluL4fhJKPArj,-516430,2919976.00,-2999684
2,10,28,387,-1465560.98,-1555081,5542969#z3Nff00fiwPkt6SB,-1294943,3838528.00,2140559
2,10,29,1000,-4240119.98,4339965,914220#wuyckKfVZSXVEhMm,3012343,3920306.00,-1384964
2,10,30,573,-3774632.25,5712714,5748273#1QrOOTujLNSZxvzT,2100595,-2078249.00,-5755538
2,10,31,1552,-4451159.75,-594084,5048087#pD4jGUVdklOPBVvO,-3568308,1693940.00,544519
2,10,32,1263,6227853.28,-2683586,5442376#z92gfOSuUsPuDxJh,1811951,5654576.00,3640191
2,10,33,1674,4672100.01,1177973,76845#3uDmpwiH8fRoXSv7,-5846721,2034434.00,-2120038
2,10,34,2510,2394427.88,-883476,4871327#rF0PUZOh40uVZesh,-5318524,-4633168.00,4200751
2,10,35,2199,2509771.99,-393505,255389#2EF1aSo2lrIhngQc,3349722,-974200.00,-4330444
2,10,36,2186,-4959272.33,6352025,5045395#EoMrNZs6h97tmjZD,4221909,3546400.00,1399246
2,10,37,778,2478898.51,-2204017,5589080#DPsVqjBWTbAphwBR,2266787,3070414.00,496279
2,10,38,971,202374.06,5294589,4356147#Zh06CjlHGMCBUCzY,-6434759,6267304.00,3242984
2,10,39,285,5974596.38,-3457618,1192193#SOVGL4PuACjiajGM,2077995,-3764872.00,4022730
2,10,40,1361,-6658834.16,-5120188,7737279#MuoGS6vMY1ZYVdoz,-2394697,-6624480.00,-3169511
2,10,41,93,-5278089.74,2275206,7620747#bKxl0wxAx3iCOxWO,-3173286,6564528.40,5708106
2,10,42,2108,-7384507.23,8011279,4643379#PcXTp56QY406puXf,-1184498,-1831216.00,-8220138
2,10,43,1735,-6487517.24,3722250,5189516#CRvTLmw3IJ82m1xI,3365311,-4920685.00,5094177
