442,0.363,-2360735.4,4282129,754765#9SUcEGPK7Iot3YkYO0XaB,-624671.480,4033333
443,0.234,1979823.9,709821,1271965#ccixenEVdLMBd0bHBUyiP,-1349400.410,3798473
444,0.324,597241.7,-3370062,3093824#8gOsWkYl6d9aR4Cop04PH,-875247.640,3419565
445,0.366,4240109.5,-3517169,2543098#PYwX1i1eaOGXMl5WHBfFJ,3160901.570,-1935333
446,-0.402,2730314.9,-4183541,3838137#Nd7b4VfsIWR06d7Px1AMo,-4440770.550,3673161
447,-0.300,-524146.4,-3235414,1262211#t7nDk2Oz9MkD9iJ0oVN8P,3827763.620,848570
448,0.396,-2644694.3,4470868,2929859#XIFUDJw4TDFQ5I7dDbDnY,3629483.900,4251858
449,-0.283,471756.1,2325444,2394444#ZHjfXeOc8dcqihJqfIFnN,621730.120,-81013
450,-0.264,3114917.5,-3033715,2145059#DdPGFrEvMttwKp4a72uov,-1390002.620,-3301431
451,0.361,2885222.4,-3894986,3538706#kZvYE0lrMsWKMkClei0Df,-3171708.860,2717926
452,0.270,3795993.3,3791973,3092510#YFIXMAT9fcifMaC8d5Gr1,-1239997.490,587090
453,-0.347,-1016143.7,467246,760350#NTovU5UEWxZmtvgiT2Rao,-2415020.110,-1888091
454,-0.347,1307744.2,-3010137,627184#d1RO8ev09n6RFAnNYFwS0,91166.290,-3837980
455,-0.348,-279095.3,-3572395,1199245#KvszSXtzsfdyjbQh5NoOv,1830143.730,3518356
456,-0.409,132082.8,2953924,1918038#9ni6h3xkbzf8Azk2kXDj3,911632.270,1074719
457,-0.359,2262662.4,762945,4386668#SgM9ee6WdjDAFbDs3y3e7,-1869036.740,1125242
458,0.324,-4047483.1,-2037381,943800#TA9OVIMLVKGWUfJxeiK6r,2436480.010,3065451
459,0.412,-4181836.0,-4211151,1366630#p4x0AnrpljIkVuFmx42xS,4201642.860,958587
460,0.349,-4579312.1,-1229581,993511#jdBEfiF0agxeL1OddoA1L,3393337.040,-3757467
461,0.317,-2268656.4,4210061,4076317#HSvDi9DLxF3qXhyEjDzFn,503517.710,-616792
462,-0.310,1327768.1,-2875258,4417598#qddk5b7zedui4H9QO79IG,3258735.590,4172705
463,0.288,2937140.0,3599244,4549599#4uJcP4l4lqEegncFHG0LM,-2215093.350,-2705534
464,0.299,-4237548.9,52415,1809340#rnsLY5uURqg9hv149bpKx,-1574271.430,786101
465,0.321,-906392.0,-3519951,3901239#PrA1b8VvghADMOs2m3KfB,-85060.120,3597161
466,0.386,2236695.1,-4293982,1766549#wFnKeaI65BeSMGv2vOryP,-4088114.830,-2990858
467,0.251,890848.2,-1457367,375168#RzE1XmlaXpIksBBXlt8iY,3176007.670,3208814
468,0.330,2927757.0,-1570836,471260#oFPQnnFzcO1eKtiofXnBo,-641267.330,3413407
469,0.353,3189027.0,4163519,2231438#JHH6JYo8j6lrauyQO1Coc,-2308674.180,4346974
470,0.348,3894950.1,-457155,2952141#pfOBTdZ7TR3Br5xdbuYRs,-1036138.850,3057310
