1030,-0.801,-1536769.2,-8667840,8126449#zl8E7CC3e6NKF9XQp8anQ,-210248.600,-992871
1031,-0.695,9343631.2,1920131,1759229#GioBzjcO7qC7G0nYwNXdZ,6926463.780,5989633
1032,-0.705,-7797344.3,1864969,1705642#XijI2mSx3xz5Mvsi9hGKi,-2821091.700,5636576
1033,0.725,4625647.8,5443004,2032179#CR5NYrxpFjbUNWS37cthr,7037544.180,7039882
1034,0.736,-8675427.8,-8902903,6300876#zdwjaZY7CjWDXNiujQvfW,-5707416.210,8835138
1035,0.654,1017714.1,4496808,6236706#kZvYE0lrMsWKMkClei0Df,5305304.320,-4306401
1036,0.715,-2185557.8,-4962213,7640576#ItyyGDf9HGh4mINJpDWJF,-9897354.670,-3769100
1037,0.726,-2119119.3,-1924626,7011864#E0kAiSYgZkNkbHn1BLOUC,-1823834.790,-442959
1038,-0.630,3409905.1,-6453395,7787587#PR1QBjn7JfyRlg9BXuor1,9114563.640,7018375
1039,0.727,9595929.7,8770240,9030318#N3AVe3MTZpbVrrG4qbM1z,-1618768.650,-7382978
1040,0.708,314419.1,3804475,5703168#RzE1XmlaXpIksBBXlt8iY,-8922223.050,-8810196
1041,0.679,-1932685.9,-2596299,1450075#hhQ6N9kAmUtIUuRJrduLy,8963755.000,6957460
1042,0.789,-5556317.4,10102843,1769263#9tNCQ8HXCGu1yq8CxZ75s,-1463375.480,9500251
1043,0.660,4662519.9,1670499,2982949#exOJw6JrLSdLNkYGuFLkw,-3164358.410,8954009
1044,0.750,1413895.7,-7937400,7262192#w25E6TQ4vCMLGmxINUuXa,-2068029.640,8050407
1045,0.792,9970157.5,-8249999,5963368#BEooBSqqFpbxYGghYznTv,7429949.570,-4537899
1046,-0.822,6412784.9,-9822725,8998689#CXrpjQ0i7UAvhlyv6dAdl,-10423424.550,8603277
1047,-0.720,-1238932.4,-7579018,2943495#6a7H7w22FeyyUgmb5rI4n,8960127.620,1985258
1048,0.822,-6179150.3,10453246,6852611#LK8O5KjJhGaQ6AoSFAorg,8490545.900,9949596
1049,-0.703,1111902.1,5440860,5583312#SdkAgJ55hX40uKDaxoeoK,1463110.120,-193567
1050,-0.684,7266011.5,-7087195,5001911#HgmmDr4f0O2fQfWTSHcBS,-3256194.620,-7701843
