1,191,7,false,-105,250,-13248.39,-10138,5091
2,2190,143,false,-9395,-2606,3192.2,22908,19080
3,19,235,true,18969,19736,8454.68,14055,-93
4,1597,1077,false,38453,-12428,4260.33,8581,7315
5,774,1027,false,36340,36240,-7338.72,-21140,11465
6,936,127,false,28963,51084,-55607.39,61776,-40694
7,1880,973,true,43445,-64893,-70262.78,26712,-44034
8,503,1076,true,-69118,-75351,31087.93,-74798,28923
9,2017,647,false,44073,-23082,-20494.54,37589,-84067
10,1452,794,true,81433,74385,-44370.12,-82977,14736
11,930,948,false,-66495,-75292,-63352.58,8186,51942
12,933,1105,false,53775,48995,57425.69,64672,12351
13,1673,70,true,4118,-115986,113631.62,83331,65724
14,1265,592,false,32475,105446,77091.53,120823,-106172
15,840,770,false,-140096,-539,45898.0,-51063,-137455
16,692,249,false,-86883,-124833,-73306.97,-75630,-68399
17,351,651,true,75223,170559,36762.63,-72251,103850
18,1048,484,true,-83735,62692,160654.31,-4016,144486
19,1842,883,false,-166483,6287,-1384.77,47061,144565
20,2342,1143,false,118859,186539,-171260.05,-149462,181459
21,10,676,true,155197,-45335,-145041.55,-37823,-118091
22,2576,321,true,133403,-198848,186648.72,193182,-22136
23,2197,1092,true,77401,162123,-35485.48,-60802,118385
24,788,457,false,-36123,-178301,-153350.86,-169551,-142528
25,1456,353,false,-70965,-1120,-227295.31,221881,132507
26,52,1080,true,-152154,-26029,3656.41,234134,185836
27,1404,231,false,-85339,-94443,-143535.03,-228642,-264186
28,2576,738,true,-255069,164184,-112806.03,-156625,75833
29,2244,489,false,-12282,-32851,-196229.31,-14746,-269598
30,2595,716,true,140328,-40333,-15067.7,-427,-13311
31,931,25,false,-39761,-123531,75802.81,17191,-14160
32,339,1414,true,-183621,647,100263.96,36382,247346
33,2294,298,false,253995,186791,174875.73,215950,-99317
34,648,1005,true,-46682,165137,144940.75,56926,-187229
35,2747,1396,false,-194007,299659,97025.82,-290456,-40518
36,26,256,false,-92789,142700,271569.5,227648,-4542
37,238,573,true,324416,91024,222851.84,68043,216653
38,1959,201,false,-139066,290034,-253373.62,350339,-272317
39,2518,767,false,-357715,277869,-286068.66,-286123,-339628
40,2586,462,true,296577,49883,312726.03,357778,-311767
41,2212,1294,true,29607,65181,-337884.16,347229,-178463
42,16,560,false,-240772,313077,-111.82,-92376,362150
43,391,661,true,-103950,-263629,-23096.88,-69587,-261699
44,2347,170,true,-71148,-121768,133886.8,246299,-106713
45,2791,1168,true,-263109,224516,-58701.48,100292,200792
46,1764,668,true,-335111,-254452,141705.05,281385,-436318
47,2202,1033,true,399303,-353363,-87911.4,-261895,-357326
48,1481,951,false,375501,275260,415746.25,-3233,399355
49,1418,620,false,391353,-453480,390048.38,248529,-399123
50,1094,1009,true,283362,-73713,68355.43,113880,-99961
51,2355,560,false,-208630,372854,-464448.38,-336088,-51362
52,2470,792,true,-317420,147312,-121607.8,518458,368912
53,687,988,false,332544,376498,311654.7,339780,-7505
54,2257,1485,false,479990,-282137,163460.33,120901,86828
55,2336,277,true,358040,342154,-174538.72,-328815,112374
56,1721,414,true,239325,516303,-436407.38,498912,-389509
57,1625,718,true,401995,-490852,-548662.75,165262,-347946
58,2048,316,false,-533068,-551075,166287.94,-567898,261823
59,617,1338,false,276173,-142736,-178094.55,209939,-516697
60,518,946,false,531883,425349,-274770.12,-450202,49864
61,1575,383,true,-347995,-462516,-344952.6,50361,265934
62,103,33,true,252575,290036,269425.7,352959,81775
63,669,1200,false,9521,-543201,585631.6,399556,338380
64,1551,962,true,148175,487274,325891.53,532373,-483534
65,2013,1480,false,-573914,-25594,201098.0,-247800,-579454
66,1522,629,false,-327633,-533619,-316506.97,-300492,-255358
67,2653,796,true,268248,644545,161562.62,-264626,429589
68,2451,378,true,-297103,254305,581454.3,-41941,530699
69,2762,1353,true,-619633,42154,6615.23,183436,541858
70,2710,423,false,414755,628300,-621660.06,-540237,611152
71,610,1458,true,543997,-147772,-478641.53,-134723,-398488
72,194,1101,true,430478,-634566,621048.75,629032,-76761
73,2842,227,true,237426,533338,-93885.48,-181327,368288
74,2662,261,false,-95848,-559711,-466150.88,-516126,-451441
75,319,28,true,-193129,-4403,-682495.3,683819,410576
76,1607,145,false,-462267,-79849,1256.41,690934,549005
77,1264,56,false,-252339,-267221,-409135.03,-650117,-763359
78,931,1314,true,-694744,451954,-332006.03,-448325,222095
79,289,1024,true,-19607,-76621,-521029.3,-35046,-732237
80,2763,1129,true,373528,-105585,-39067.7,13672,-22267
81,351,1461,false,-88161,-311313,202202.81,53047,-48116
82,2186,214,false,-457909,2733,256263.95,89144,641913
83,309,1373,false,629145,478983,435675.75,538508,-254591
84,643,430,true,-120257,419590,368140.75,152089,-461185
85,462,1086,false,-459632,739888,242625.81,-696656,-90097
86,1733,1341,false,-209939,345553,637169.5,538448,-21640
87,1048,438,true,751554,210549,525251.8,165368,506028
88,460,369,true,-311778,671319,-594173.6,804239,-627429
89,1143,844,true,-805665,644765,-662068.6,-661048,-780314
90,2684,298,true,666026,103989,706326.0,809215,-692090
91,218,499,false,77782,136663,-750684.1,780504,-403210
92,513,1250,true,-523720,684360,-111.82,-212926,801543
93,11,1478,true,-230925,-570485,-39096.88,-159537,-574297
94,2422,887,true,-152748,-253230,287486.78,533249,-221960
95,1701,1504,true,-558109,475843,-113901.48,221292,424970
96,1332,1161,true,-693986,-531309,291305.06,594741,-907361
97,782,348,true,814490,-727083,-188711.4,-544333,-743870
98,2278,26,true,772026,559465,847746.25,-14383,817397
99,1146,365,true,781116,-918762,778848.4,492179,-798233
100,969,49,true,571137,-157229,135555.44,237189,-204308
101,1663,1112,false,-417155,745458,-915648.4,-662038,-107817
102,2750,1440,true,-625445,297231,-246407.8,1014008,718744
103,1354,235,true,646119,733260,614854.7,665505,-14918
104,62,387,true,921528,-551847,322660.34,233221,166340
105,1042,1032,true,679740,648067,-341738.72,-636490,213284
106,2506,702,false,449688,981522,-817207.4,936048,-738324
107,1370,463,true,760545,-916811,-1027062.75,303812,-651857
108,738,1061,true,-997018,-1026800,301487.94,-1060998,494723
109,2072,523,false,508273,-262391,-335694.53,382289,-949327
110,2439,1099,true,982333,776313,-505170.12,-817427,84992
111,2220,1323,true,-629495,-849740,-626552.56,92536,479926
112,2128,465,true,451375,531076,481425.7,641247,151199
113,2520,825,true,14924,-970416,1057631.6,715781,611035
114,1837,1332,false,263875,869102,574691.5,943923,-860896
115,331,685,true,-1007733,-50650,356298.0,-444538,-1021454
116,2352,1010,true,-568383,-942405,-559707.0,-525355,-442316
117,2101,940,true,461273,1118531,286362.62,-457001,755327
118,998,271,false,-510472,445918,1002254.3,-79866,916913
119,827,318,true,-1072783,78021,14615.23,319811,939151
120,222,1208,true,710652,1070060,-1072060.0,-931012,1040845
121,1210,736,false,932797,-250209,-812241.56,-231623,-678885
122,667,376,true,727553,-1070284,1055448.8,1064882,-131386
123,632,867,true,397451,904552,-152285.48,-301852,618190
124,1680,64,false,-155573,-941122,-778950.9,-862701,-760354
125,2036,1208,true,-315293,-7686,-1137695.4,1145756,688644
126,307,715,true,-772379,-133670,-1143.59,1147734,912175
127,1124,1386,true,-419339,-439999,-674735.0,-1071592,-1262531
128,2141,385,false,-1134419,739724,-551206.0,-740025,368356
129,1189,54,false,-26932,-120391,-845829.3,-55346,-1194876
130,75,36,false,606728,-170837,-63067.7,27772,-31223
131,2626,1392,true,-136561,-499096,328602.8,88903,-82072
132,1179,519,false,-732196,4819,412263.97,141907,1036480
133,1179,943,true,1004295,771174,696475.75,861065,-409864
134,638,1360,false,-193832,674044,591340.75,247251,-735142
135,1032,776,true,-725257,1180116,388225.8,-1102856,-139677
136,586,921,true,-327089,548406,1002769.5,849248,-38738
137,1858,302,true,1178691,330074,827651.8,262693,795403
138,1816,536,false,-484491,1052604,-934973.6,1258139,-982541
139,2623,922,true,-1253615,1011662,-1038068.6,-1035973,-1220999
140,2781,133,true,1035475,158094,1099926.0,1260653,-1072414
141,1079,1209,true,125957,208144,-1163484.1,1213779,-627957
142,1009,434,true,-806667,1055644,-111.82,-333476,1240937
143,2486,791,false,-357900,-877341,-55096.88,-249487,-886896
144,2498,100,true,-234348,-384692,441086.78,820199,-337207
145,611,334,true,-853109,727170,-169101.48,342292,649147
146,900,148,true,-1052861,-808165,440905.06,908097,-1378405
147,2217,1168,true,1229678,-1100804,-289511.4,-826770,-1130415
148,221,606,false,1168551,843670,1279746.2,-25533,1235438
149,873,110,false,1170878,-1384044,1167648.4,735829,-1197343
150,844,594,false,858912,-240745,202755.44,360498,-308656
151,972,160,false,-625680,1118062,-1366848.4,-987988,-164271
152,175,584,false,-933470,447150,-371207.8,1509558,1068576
153,2022,988,false,959694,1090022,918054.7,991230,-22330
154,722,795,true,1363065,-821556,481860.34,345541,245853
155,2604,282,false,1001440,953981,-508938.72,-944165,314193
156,436,989,true,660050,1446741,-1198007.4,1373184,-1087139
157,1115,208,true,1119095,-1342770,-1505462.8,442362,-955769
158,2283,301,false,-1460968,-1502524,436687.94,-1554098,727623
159,672,1214,false,740373,-382045,-493294.53,554639,-1381957
