1954,661,316,1,8142262#3Z6iXkPjeRLIi8ImUu9NPJKFqvVlrb75T,-10487593.270,2017-12-26 08:01:25.000,17084824#eo7FSN303tCn,-5947625.98,9834223,-14835386.54
1955,1289,180,1,15821981#INdfHTuo6B48p7laQBnFRRMGikMI51hXD,-3217150.590,2018-02-11 07:54:54.000,13257083#Qxx9IIf59hGl,-1.892273497E7,-6899940,-14143052.65
1956,1703,364,1,3912443#ySYZVpVPsmYKj4jaOjFimMNL0fh4lHAyK,3029401.250,2019-01-23 21:59:34.000,16123390#KCvmsjW7cTwF,1.706394025E7,9082414,-2916955.18
1957,75,593,1,18773943#DJPe6W5xPt6CzTvR5eGnvqf8WeExGWZbt,11993349.600,2017-11-30 21:52:18.000,9098787#LN3TA8CSTh1l,-5219909.3,-14591016,-17069220.95
1958,772,815,1,17972524#VxILXX2kqO53uShXq0bHdI3BQ1bpPavNv,-12188873.570,2018-10-24 06:02:08.000,2017155#arcmpIcgP1us,1.899240583E7,12745683,-6192445.44
1959,1329,484,1,17672015#Dpla1qybshe8qbXdDVmv2HhZZ6qSggFCr,-14260711.670,2017-10-01 22:03:16.000,13433588#gwq9ac5f5QFd,-2352893.23,4613071,6129039.31
1960,1352,1314,1,1900355#qwe6ROoHceMFlvAgyl2pTwtvOVOAI0G9M,-2369866.220,2019-07-23 06:31:48.000,11236766#vrTe0oIa8jjs,-1.120200329E7,11930148,-18863969.80
1961,126,835,1,4349293#qBl4b2Fk4eWDJHc0BfoxYakKcefeq5zn0,-9613976.820,2018-08-13 06:33:26.000,11499531#0BkhJnkgsiuX,3039409.04,2502236,-7647647.30
1962,1276,1314,1,19534997#PMHYbRGi96lT1e6HiFJXjZ9tKOQIiQkWp,-1027332.050,2018-02-28 03:01:21.000,7747100#KLIFcCdB2TR8,1.196442092E7,15785426,15768851.16
1963,1887,183,1,8822642#x7D364fdOBvp7tVRJhN2SvF832EH059Zi,3807063.600,2019-08-17 00:28:33.000,11419567#ufhxCR5WY1zp,-1.668348607E7,-5833739,-13892024.97
1964,1510,442,1,6435313#8U0XRHPCdl2zEL7g3xr1UyU63x8vWc3Mh,9006032.730,2017-12-25 01:31:46.000,18346109#JfBs1IU4d3AM,-1.015448106E7,-3427374,-13700505.82
1965,451,1281,1,14461648#mZOIhTpYZ03BbsUr4m3PvFMdLln2rMUn4,-17821957.780,2020-01-31 04:31:31.000,6070622#xveL7aQ8h6Lh,-3970592.53,-4170670,-9530680.45
1966,865,584,1,9695750#bNPOI8gc4b7tmYy4J1W3mRLHBnFEwhesv,-15226.080,2019-07-19 00:08:49.000,6000681#e2NblLRJycrH,1.455612711E7,-15572265,4692235.29
1967,610,753,1,17585038#QG6ZrskunOVTolIjBIi56XaW1wMfLMehw,15531474.790,2018-04-04 07:18:28.000,9415#eAYIZ3lD0tO6,1.454882938E7,4360422,14988429.41
1968,1836,1007,1,12556759#zO0l4sHuDmXoSs3bousUf5iVFt3TlKTE9,18906490.540,2019-12-20 11:38:46.000,15522525#bUN7QK09NV59,-2425214.23,12632051,16850346.54
1969,2023,896,1,11791931#nK4ng3drCdmXgdkEQbOJaeOnqh2wQKbHL,-11149321.220,2018-08-19 01:03:50.000,18948725#1u0aIE4T5ZG5,-9297199.72,-16742011,9017178.36
1970,1079,73,1,15713577#hgqc9IyubUexA1vGINT3eEpECf4div4jK,4134820.680,2019-04-04 13:22:41.000,8401917#chsYbCeY7ATY,-1.777219504E7,18938821,3671867.90
1971,679,948,1,11708898#4bZLLcVZEnDwqjL1zzLG8nC9P1lxJvHUR,-4744178.070,2018-10-22 00:00:03.000,4723421#ggDj0KP0lcCK,1.46227918E7,-13903961,-7148674.75
1972,1813,217,1,18384744#noFa2ge91qqIs4NqM5hvb1XyxmWOhc3To,-11014092.880,2018-12-17 07:21:26.000,12543469#09l3JCCsOqk9,1.801005739E7,-10910033,2724240.52
1973,737,1309,1,18323839#btClYrE3XkPJtB0Zgr6MNV23ttKVkULXk,-9115642.720,2019-10-01 07:41:34.000,2285685#zq7H4hGYwizM,1.802117868E7,-11718392,2123428.61
1974,667,399,1,5088323#2rwRmnvmxrrvlmmK1uYfAQNShou5PftVx,8334066.760,2017-11-16 14:01:12.000,12797147#k9CS7QzJaFuC,-8536482.63,16401808,-8532.66
1975,1960,1138,1,11885363#8mC1bclL1KZVCRHVDQN7O2mhLhU4qrMSY,4785670.560,2018-12-16 00:50:50.000,7945611#fwo3NCdgljoG,2021232.67,5674125,-3014520.00
1976,366,1091,1,19669346#hgspqvLdFLVN9L5wRfYMBBattkuYws3is,-2179011.200,2019-11-21 00:08:59.000,8193190#eN9XuvKAIPJK,-1.184746204E7,-9015974,256850.78
1977,430,537,1,14568148#3Pu2dHMW7awc8aJLq9estQKDgyfi9ozVg,-3735848.700,2018-02-28 00:37:12.000,15247580#7iV7jTLUE4wX,1.837659989E7,-16913474,-5986021.07
1978,346,464,1,16768450#RlBndxuXwZoSfxHZuzlDqy92Tm9F2wuv2,-16396954.370,2018-04-29 16:40:02.000,10732409#4yTbpmUVScHL,-8159383.55,1664871,5201788.17
1979,1167,945,1,4543735#zNcLFd6xlgzvepQwWigAvbeasQFIkgiFz,2954538.730,2018-01-15 15:26:13.000,628762#rF9jvz80O5la,-1.060755578E7,4946742,-17081930.68
1980,1411,767,1,1707115#MrxN5BEXUi995fjgNPWhFVksEgFnqzEh5,8660541.180,2018-07-08 03:33:18.000,5778002#jiQgfOwG3F66,2144509.28,15950788,17302611.40
1981,1389,322,1,9782536#kcB2jS2O5vBWendOdLlIEeAb6wOHZeFiy,15319669.910,2018-11-26 05:02:10.000,17258575#g50t5xFLrhZq,-1.79386696E7,5535941,17755455.74
1982,1519,1267,1,12226271#r1mk0yCRUiDywg2wtJ2K1Ce9we4YxnI9D,-14498880.610,2020-01-04 12:43:05.000,3534879#6Rtxi2ZaDz7n,1.697405888E7,12902331,2212067.76
1983,1640,721,1,6307868#x8Vjk3fMDj08k7c0YjLvIxw40V6qsndsj,-1351529.480,2018-03-29 13:17:41.000,19300774#Iru0Pg5iHSSV,5109255.47,-10181369,17165979.48
1984,190,677,1,8034252#EaJ6jHA2Z6t494V7ISHul5PXmsocTzPao,2523362.730,2018-08-09 02:46:48.000,16666223#zFxZpimQfbaR,9336274.93,2654061,-1458340.20
1985,1502,779,1,5157012#7db3MlAY5E1YNdMfsv9kYMHTUErTYLMS0,-6975444.560,2018-06-12 19:41:15.000,17351765#fzQMw0CEtwaL,-6822976.28,-14395782,-17305580.80
1986,218,910,1,7842441#UlHWMwZWJWtNAQ3jgzHvf4p338MlvDuzJ,11518207.170,2018-03-01 18:05:32.000,14145846#ZucZiRo00Yss,-5822463.15,8392824,-10081959.18
1987,1166,843,1,3377399#mGK1yoINWe7xzBJVaYzIijsYXSrVwsWpj,734075.700,2019-05-25 09:51:59.000,18477037#o55oZGEyWkgP,-1866598.17,-13908010,4159157.51
1988,770,706,1,9000777#mWIkckWBkilLbfbUUWyzJoThk6bvaKhHJ,4597894.300,2018-05-02 20:08:48.000,14504625#yndj91h0jxha,6226640.82,6178507,-4975548.72
1989,701,409,1,6103378#zuPTlfyYdMEKXOv8dMHTDWf1Ro63XhJAH,18263370.950,2018-09-25 00:01:55.000,15065663#PMAhTZ4BKW4B,-5791189.51,6873341,-7949693.43
1990,985,322,1,17996143#sR9ScqcSCLPzJKDM8oBb8412DscBIZqoI,-13507971.450,2019-08-19 07:26:28.000,19618354#lHoYfarut7oX,-4451559.7,-4410841,14468228.10
1991,1859,467,1,16599773#1b8wkLR131BusPvcLFSq0Qit5LTx5u0Uc,9400436.120,2018-12-22 08:23:32.000,5408678#gJnV3FznGYGW,-7993111.44,-18835126,2446985.80
1992,725,1215,1,1777660#XVnDlSOCDQhF1rX5emBTbbN7SnwjiedI3,-17179253.030,2019-09-11 12:49:59.000,6129062#iWWR4gEEn31N,1.296649646E7,13097083,-9718017.22
1993,1068,592,1,13871278#WQzU2hkkxu3OMtJBsVd2fm7tvWO67Zf98,-15902997.070,2018-01-15 05:07:40.000,17281199#5mu6nBp8EZzq,4967726.24,10389785,12296668.09
1994,1489,668,1,5480528#lomAmnpJSyfhjEWSdBd1YDQdF1eLWKvYk,-7280930.210,2019-02-26 19:28:16.000,4900522#w0aEAsUv3gOF,1.143146212E7,4448255,-11944419.69
