1771,796,1,1,842,3034387,-16589987,5584520.9300,2018-06-27 16:45:23.000,-6859328,11712507#SOlfcxj4tLmBx,11475028#qHgAI2Q90sA8lTZibuxfDzxBQvvwWJIB
1772,945,1,1,1164,-1245883,14738815,15935560.2200,2019-03-13 14:14:56.000,6679557,12910481#gyadRhqsvRVjP,16202851#F442DEghstsQg8ajKdoXd1CEfLSjUc7L
1773,9,1,1,155,-4227814,-14484500,-14838079.2300,2020-03-04 14:39:46.000,1030616,7528538#3gYqUVSK1nIZO,15166199#Ogx40ULwpBulQlopKUzKU1r82UnCqUzf
1774,121,1,1,534,14341990,4608522,4242459.7400,2013-04-15 02:18:30.000,-16716230,4369711#EQJR3DDxYHX4W,360770#XzVkNEbZ5ZqG2alBzCyaskeFWfxDv4Go
1775,931,1,1,724,198953,-3167031,633674.9700,2019-04-13 01:37:14.000,4712331,15403869#3f8gn0OaEeji4,2766287#ykopyL6hzPCQZCcWmmiCVlrnAyWvlGtX
1776,956,1,1,63,16416074,-17617498,-2196008.6200,2015-11-28 15:04:50.000,1219286,2490856#LPUCe9CmieTAD,12818662#go22cwc3vlijGQqF3Ls4Q23EEMWrDRXO
1777,1186,1,1,1122,-8782294,12091159,10573847.2800,2020-01-11 23:17:49.000,-2069984,2537501#6zVQF8FrOaTZL,13113791#rAooNl4J3drG3VZyXaSiNxcLIDxeut2x
1778,1294,1,1,448,10250644,13158595,-5266351.8100,2015-09-22 01:41:07.000,-5866332,3431822#saUvSQab28cc5,12055646#nOv06z9dbt39UmRpMqkHVpUWeHpQYJEl
1779,1311,1,1,2,14359038,8673002,-17148766.5200,2018-07-06 12:21:09.000,14308755,10852167#FFl9Hve94KMjh,4604175#L11X5Dm4PwpStRSWairBkBwv1IcQp9qq
1780,611,1,1,1238,-16125177,-10670894,8257821.9300,2017-10-04 10:42:32.000,16393178,5574138#nhpGYXVRchbr9,10702094#UNCft0MjRaZ0cQ00XeVUFy0WzrTr9Dcf
1781,797,1,1,288,5438529,-4397652,14885827.1900,2012-10-18 23:20:48.000,13743238,5334576#qICsjZkhsyvxR,5743424#r9OGWIttAgCNVYmKRlgVIow6KME44LVE
1782,778,1,1,1370,84690,-9123680,-5206293.1300,2017-08-12 21:17:10.000,-9098348,7617463#YO2mynkq0MfG8,2099176#hccgHcEesbIazjOzFG1r1XN1yy6eLMGC
1783,420,1,1,888,8309131,10741220,-6403102.6300,2012-11-13 20:31:51.000,9616813,6101877#UBRlM64TRl5I9,14339982#anXyN90Z9TsPnoBxYMsb2jFHTGHGttkf
1784,591,1,1,645,14333693,-9084638,12756309.6800,2014-12-17 05:22:54.000,-15168469,13502780#fXIrpgb0cPtfp,8654854#F3YkyoVOMa34P3UYsTyUVK7XsqMGxc4U
1785,900,1,1,153,6401060,14239188,-6705773.7500,2019-02-02 09:46:43.000,1865717,2238055#r4aKorqgLRQkC,14847165#OeRCsdrTCXcJvkWD12E6fCLO92NURM2f
1786,540,1,1,1155,10390382,-13475804,-12828231.2200,2017-12-16 08:26:01.000,-16958371,8543899#7JhTX3y3TPS6D,10815521#rEAtfynCWTBBd3GzK3kzufINjxx7uitX
1787,190,1,1,1140,-12264577,10724121,-7370491.7700,2017-06-06 05:36:00.000,3015758,10915153#LcdXz6hAo76pF,3512630#31clZkQommlcZBs77RNlqMbiRqYgPqgZ
1788,541,1,1,317,5827422,-1996351,9586806.5000,2018-07-23 10:00:03.000,12995528,5949562#quYCrZDkAhtSU,4595823#t3K24ma3CMVf0ATjfHSJoQwqUaPpz1jb
1789,722,1,1,184,-15006149,-7529462,10460127.1500,2014-05-01 04:11:25.000,-10863499,1601625#xLWh7rx2e9HC0,7847267#T8tOcRRm4ov0B6YlgnHPGgwITrYnni7b
1790,340,1,1,1154,11426736,-11121186,10083800.5500,2018-06-15 00:51:49.000,-1208522,10429839#T3rYn5LQBxPB5,12411347#c5FArba641W7wOcYks9cu6iqQxiAp2wu
1791,455,1,1,1331,9581287,-10265216,-10473046.1700,2019-07-01 18:14:12.000,-5826242,2351998#H9IKnI7PeR1Bl,2476587#qy8p7X4y5kIIgKcE0RG0s2XY8z4k03hJ
1792,416,1,1,469,17742907,13025956,1536488.2400,2013-05-02 03:10:26.000,-8415954,13512668#vXBdLkwXPd14S,12221439#Vt0yNiH2BnknTVFHv7SwHSBQe3Jw5BTj
1793,1062,1,1,1144,1657088,-16249185,13487205.8100,2015-04-06 08:19:45.000,-4845033,16711040#BRQjfgOQ6hzHR,5613956#Op6SuBW2qU21NVr1HsO9kzwEm41WxjzD
1794,379,1,1,1297,7488379,-12457527,-4531026.4600,2016-02-16 19:59:56.000,-10981130,5984807#suZRxZVENXgBd,8245319#lPggQogWdEXZnDTtQ4rPEnUb90sIl2rV
1795,1263,1,1,1354,-10933620,-265849,17571514.9500,2015-03-27 22:16:46.000,7583169,12827815#hWt2ebvR6t1n0,2569442#dbkhfBmrbrO4Y034O0Qhz6zBBRGScfjz
1796,602,1,1,68,-17176118,-5058802,-12310197.1100,2020-02-06 21:14:56.000,-473535,356249#P5sta0OOhGptY,16444659#tdFZ1zfTXLidGkliw3VWFzIEv5hIXzaJ
1797,1265,1,1,924,-13815147,-13404784,2907956.1400,2014-10-22 12:31:56.000,1119920,6698080#6RDjkE8cl3HEv,1619795#ZzmLVDIgTFEPPwJCBWGM4j2aHVQTB9wQ
1798,302,1,1,1147,-9617481,-8212760,14582.3000,2016-04-02 16:23:48.000,10530036,13881302#zIQGi3hx7CU4L,4347129#kQ4mGz4nho6DyRQEsIqK3KwGRgLd8LNL
1799,906,1,1,116,-3569714,9434830,11699354.7100,2015-06-29 20:56:26.000,-17263893,621910#HHFKB3oMzylHa,11679763#Ek0bMiqoO5hchBuabCLOOVWSe4Z8WpE1
1800,614,1,1,1133,5816901,-14741468,13863258.7300,2012-12-12 04:56:29.000,-9809574,15010949#8AhVRT2DLY59V,12611028#qHgAI2Q90sA8lTZibuxfDzxBQvvwWJIB
1801,416,1,1,1390,503500,-6297062,-14518027.4400,2018-11-30 10:22:10.000,14407110,13682600#wCaTCySAZk7nz,17841364#gdmRN8owBlnYpPAggeDKKP84xVgCmjND
1802,1023,1,1,108,-14626006,14644660,11591368.9000,2016-04-28 12:26:19.000,-7667121,4813857#eyqYjTiLGV73w,1870773#DbTpUJP42WWofomdEqdh5JsqPsc33Ipi
1803,577,1,1,893,-12011684,-11266889,-1576797.5000,2013-06-20 19:57:54.000,-6763961,8692055#r4aKorqgLRQkC,14572311#NAsaaJpvt6H7q8HmhJolIOp1pI4qJZW2
1804,1159,1,1,75,-17430131,5935607,15566108.8600,2020-02-24 15:43:40.000,-13173582,14023952#24qD7XMfRSFkP,11646447#HxSWAxuJ09fnSX6SLf6wgOlXIukCJF8c
1805,826,1,1,1009,-3062035,-9507553,-11237652.1500,2017-11-08 22:54:21.000,-10697445,17271979#fII6nu0q6LL9Y,8376189#9UhSBYQkrolTXq7jz9aKBFxJVm5ftmlB
