1801,304,2,1,1,2,654,629,1,3457327#PT4Lv3TNft7sFA6d0ts23Esnz1SntZg4dId51,-7782068,12580694.1200,758265#mJglkiCL3YCES1HELGGDWTAyB,-8850753.22,true,7649403.49,6521.26,10348038#RNKVjjMycJ8LCnO,0.6,1787589.7200,15581539.940,2019-04-23 17:32:08.000
1802,39,1,5,6,1,466,601,1,8226933#riM9dCT94J5ndkyXB6vKbLZj5Ofyarlb2obfv,-9281678,3758814.2200,13022827#qHWWAlGnyA8anf82gnpItAXXC,-9361388.82,false,-23774.28,-4918.63,5683322#4SYHwnySHF6SXVk,0.6,-1203809.4200,8783927.660,2015-05-15 16:51:22.000
1803,923,2,7,9,5,229,905,1,8565133#vlQOadXuNAjQZqKiM0d9b7yWnu4b3HrWP6hAQ,16705027,10859317.7200,13940663#WioUB9tkjtR4WNymrnu9Pp4tr,-9220327.09,true,-16760925.15,-3450.91,14593452#tJJTNdhQ3kSPXd8,0.5,2115399.9800,-14863239.680,2017-11-08 07:03:07.000
1804,1473,1,4,7,12,326,281,1,17701374#4EFnbzvITdY8SvTUk5mogwMGOIp1kP8m7NjSA,-3278817,-7965119.6700,1098386#XB0v4UWb6irtbO4Vuy6pceS4P,-404203.69,false,14908264.77,-4376.95,4926591#YWX2TLsZxIAmYhf,-0.4,3198255.4600,-5576740.650,2018-01-10 22:50:53.000
1805,158,1,6,8,7,600,215,1,6486155#xsint9zuo6mLeLWIirn88mZcft37epKkalEOf,11707795,4640088.7800,6293655#a7xhdfXcRFMLdNOJiDyc87nlE,5653453.99,true,-16667199.82,-2485.52,16052896#6CDwZm1op63Ih22,-0.4,6526092.8000,-6830233.760,2016-11-11 09:41:20.000
1806,304,2,5,3,2,36,1,1,1188915#4x4QMpgQBx9cqsnN1BLicTrfUqHybXzbjlTn4,6469272,-16001966.8300,8374488#Y4C5vehEL0u6NuG9YkeyUpVlv,5936110.26,true,15769387.07,-516.10,13357152#J6ZtpesJficTcqP,-0.4,4697233.0300,-9900322.540,2019-10-10 23:35:47.000
1807,488,2,7,10,9,947,715,1,5624272#C5GjYKgqZVfMeUGZEVaBOWFdz1BqPhFk2lvRs,-15724110,-5326776.2200,3000775#c0Ywr39vjg3Kgp83x8i3vS6rl,2554044.84,false,-7149357.07,5518.51,12700875#2tpASnKFy6feIet,-0.5,3909919.4400,-7096678.140,2017-05-27 22:17:45.000
1808,1267,1,6,4,6,715,434,1,16334951#Uqj2XiCwix26IoM9a1Uae6unqnj1LTDZai0Kd,9184274,-2439291.6400,17909621#BZk9JWEaV1sE9LNnbrzJjzrh7,12824963.18,false,-12175550.61,-2878.55,16223277#IBht4xFJbzSijav,-0.5,-2953059.9100,11564443.320,2015-05-12 16:46:51.000
1809,1202,2,4,1,10,158,1009,1,3752293#fyR4HFhpTyarX0kLLUxlP4ZC6kCS2NciKkUfQ,-5415485,-17776702.0200,13800053#rtShbv6Y4QKRoQmjdjh3MwZhC,14580986.12,true,-14245208.75,5492.54,4052584#BejtDEBbiiPAWVE,-0.4,-2896267.6200,7954050.860,2015-07-11 05:31:01.000
1810,867,2,2,1,12,316,1058,1,3347245#lTOOvMK4yA07goF3Ei3XFC4EtqUTvQ8YsIR5v,1687435,-1716799.5000,1561335#hPPU9oQ7HhPu9Qyq2p23LptvQ,12820236.19,false,16693557.61,-6123.60,7700393#gkgCmSeRN9Ei0Bi,0.5,138923.3800,-2994485.360,2019-02-17 17:36:52.000
1811,174,1,1,11,9,775,879,1,11035225#hxInVjwauKJk6zpds8gTKFckATJVaW54VYiDP,-9808649,11946013.3800,8871642#eTgjLDvcNtzF6AFFO6aX6uXpN,-12106758.59,true,-10183369.75,3016.60,4358607#xObFrKyjdgRshkg,-0.5,3942596.8500,9327288.590,2019-12-14 17:54:16.000
