184,1411455#fKRLQRVy7,879354,-632872,283600.160,1456085,-1531202,-1537717
185,627429#yoo35LbbM,721879,1826066,1656615.800,748715,1540136,-881469
186,1397736#JIjNjn7hW,1503418,418651,611418.480,679805,837468,937965
187,725666#Bm7maP2lK,-392630,792009,-45330.280,622793,1369444,985600
188,250915#XRT6TQ0Xe,1829028,-677752,-77725.840,-1652640,1484713,1260447
189,1740084#36Byq5pzx,-315008,6012,429045.750,193912,1869861,1028973
190,1423886#LIgILTb8r,1731753,-1854997,735028.900,1543605,-997049,320637
191,466289#IkI6HhJeb,-1210241,-1737175,-206884.000,-68695,560455,421981
192,1183556#q5FFv9QaW,-1079640,-623883,-758227.680,-1009966,-942736,504759
193,1226352#9dcxATAua,-856202,-906140,-111199.410,1897798,-273253,516786
194,956708#cMrXS0qDi,623110,-55775,-980795.240,-1847517,1852733,-1376100
195,1487114#3bwgYnd5v,-672369,1634225,-1093396.300,-922319,-1865494,1480323
196,27171#1nuvZqEWA,-1180521,1380567,772974.520,-770620,1112357,-1164878
197,749535#b800JWFAI,705391,24985,-1488207.750,-60959,1824480,-979102
198,1027918#ekpwPNgeq,-480027,-324385,-1490744.140,-52798,1692910,1901072
199,466396#sDPTXTjtb,136968,-1366933,-326394.410,-1579329,1148944,-956043
200,698361#ntlaJBo8C,1965752,-326700,930182.000,1617383,-87972,-1057702
201,329131#PxTUwWrlt,-1476869,1150407,1196385.370,1989227,1223790,-912107
202,936787#9jvI2K2gN,1414163,-528180,-662371.120,-1234929,-618593,-1002420
203,1865896#gBZxhsPuF,-1862463,-874878,-811067.110,-497316,-2018601,1361138
204,888614#E5OTZL6VL,1566180,1321012,1765964.000,-1889156,-1998492,-881294
205,94613#CsZ3rpa7z,-1240306,1083399,734357.000,1592324,422695,-849623
206,1264374#YulVuZza2,-1588653,-86753,281890.680,-1893901,1213288,-218165
207,270957#nNwDJRy3W,-2052079,199543,-853614.220,-1716691,-1776756,-47739
208,1914563#d7yaFLKrN,-291845,-803871,-1043519.440,1891844,-1628818,-712345
209,665291#EnEtXdRTM,-1878933,94682,1531952.330,-956436,1194122,-565996
210,1844128#Pz33TOtyp,795604,1044607,664290.200,643554,684264,-867732
211,28037#XEKwFsURb,701526,1919417,602185.660,250767,-1342754,-1564255
212,18671#Ex8kKMWC4,-344619,700595,1153495.160,2069426,-211648,1475778
