1,6,4,1,-182456.34,-6833.6,174222.07,141983,111140,20611,153820,184384,118702,148417,-26945,-1.100,-39802
1,6,4,2,294260.1,-11536.5,-462633.63,398620,-342594,-450457,-324326,-293479,248575,-86857,136222,17.218,-322276
1,6,4,3,-345318.72,28526.4,273622.67,54123,408827,-695870,-149909,-341061,47864,699569,-348971,-18.060,-94865
1,6,4,4,243261.31,-9708.0,361563.97,927683,829696,-281353,-723853,377223,422566,524046,891876,-29.250,-285053
1,6,4,5,820289.4,36164.4,679679.77,-407291,1078680,41991,-562979,56619,-538391,-476579,740071,-12.930,-917753
1,6,4,6,1087163.0,11427.0,592771.49,-1118144,93741,1149066,-1430669,-1043136,-548585,1072872,-624975,19.290,1211843
1,6,4,7,245000.88,57783.2,208125.26,-444374,1495969,1499561,-1456010,-1405904,-1016878,-495278,1158479,-25.330,1124753
1,6,4,8,-321240.88,-27524.7,1146901.05,-1776687,99503,585901,-297445,-1207044,709375,-47253,859818,-92.740,1269920
1,6,4,9,886387.56,56534.5,32584.91,-1905412,1025015,2059345,-1354893,305812,1921861,1337605,104541,-71.420,2137796
1,6,4,10,-1548262.8,58537.1,-1808972.97,-2006590,-1757073,-1938210,189962,-488399,-14056,-2384640,-1339955,-62.900,-396948
1,6,4,11,1080630.2,-22616.5,1588781.3,-409086,994829,2147761,-1558566,-1967372,662783,-1760553,-1891925,71.050,1157572
1,6,4,12,427694.75,-16396.3,553017.55,-572379,1440142,1375165,1614755,1400118,-941401,-115446,-2452694,109.680,-1968635
1,6,5,1,180788.08,-5665.9,-288393.63,250696,-217264,-282095,-201395,-184840,155011,-50674,81835,16.840,-201343
1,6,5,2,-287334.72,24054.2,229462.67,43929,339359,-581414,-124554,-285522,38838,584528,-290819,-20.580,-78082
1,6,5,3,227901.31,-8852.2,339291.97,869672,778162,-264254,-678209,353451,395812,491770,835926,-28.650,-267613
1,6,5,4,820289.4,36164.4,679679.77,-407291,1078680,41991,-562979,56619,-538391,-476579,740071,-12.930,-917753
1,6,5,5,1132571.0,12202.1,617731.49,-1164620,97444,1196615,-1489929,-1086524,-571773,1117834,-651318,21.450,1262002
1,6,5,6,262664.88,61790.3,222333.26,-475943,1603509,1606123,-1559336,-1506974,-1089256,-530342,1240541,-28.930,1204527
1,6,5,7,-350616.88,-29375.3,1255189.05,-1943889,108008,640289,-324463,-1320399,776056,-52502,940359,-98.140,1388367
