1421,44,2,4,11,-403617
1422,22,2,6,23,1475210
1423,106,2,2,39,13812435
1424,96,1,9,41,-12540034
1425,21,1,8,22,-9001330
1426,104,1,9,16,14249885
1427,55,1,1,25,-5303170
1428,6,1,4,14,13082764
1429,73,1,1,30,12989552
1430,29,2,4,2,5543181
1431,91,1,8,21,-8448302
1432,175,2,1,32,-12163307
1433,15,2,3,24,12720254
1434,45,1,3,8,2231350
1435,99,1,7,9,2211356
1436,55,2,4,42,5457315
1437,36,1,9,31,11439507
1438,68,2,7,16,10029091
1439,147,1,6,9,-9623390
1440,132,2,9,12,7463275
1441,23,1,3,26,-12360500
1442,169,1,3,5,-6745492
1443,41,2,5,7,9186402
1444,51,2,8,37,5784356
1445,148,2,4,4,8869207
1446,53,1,2,22,342238
1447,34,1,9,37,1625890
1448,116,1,3,31,7522725
1449,158,2,8,23,10972184
1450,32,2,8,40,-1501175
1451,73,2,5,38,-9723116
1452,138,1,5,32,-6539174
1453,31,2,2,10,155114
1454,59,2,4,23,9818127
1455,13,1,9,30,-9995228
1456,83,2,3,41,4338986
1457,96,2,9,36,-11773261
1458,9,2,1,1,-7475136
1459,135,1,7,41,11363779
1460,4,2,6,37,476734
1461,174,1,2,13,-689306
1462,70,2,7,42,-9683195
1463,50,1,6,4,-2600300
1464,143,2,1,25,-7805916
1465,5,1,6,29,12634117
1466,76,2,5,23,14320878
1467,13,2,1,26,4106929
1468,152,1,5,30,11596659
1469,51,1,8,5,-3021989
1470,48,2,7,14,-5312524
1471,19,2,2,38,-417957
1472,109,2,7,5,1527254
1473,139,2,1,29,14297709
1474,159,2,7,6,-12980094
1475,126,1,8,9,-9317425
1476,121,1,8,20,14749866
1477,104,1,4,29,-5488761
1478,57,1,7,13,13540704
1479,5,2,1,7,13444329
1480,7,2,5,1,5736814
1481,17,2,3,15,-8743358
1482,3,2,9,34,-12588249
1483,93,1,1,33,13164283
1484,83,2,1,35,2309275
1485,65,1,7,25,2288477
1486,135,1,5,40,5646987
1487,34,2,4,38,11837281
1488,163,2,5,23,10377936
1489,130,2,6,12,-9958058
1490,92,1,1,22,7722565
1491,58,1,1,32,-12789269
1492,161,2,4,27,-6979048
1493,1,1,5,5,9505012
1494,167,2,5,27,5984607
1495,3,1,7,22,9176115
1496,126,1,2,31,354376
1497,53,2,7,42,1682378
1498,98,1,9,42,7782725
1499,153,2,3,28,11350896
1500,131,2,2,5,-1553090
1501,103,1,5,32,-10058108
