1282,641090#poLry0eTt,11020301,-5198575,-695087.080,6770107,6807793,10189415
1283,9093144#59pibSS0b,-1289085,-3332687,9423665.440,-905140,-11558057,-375686
1284,9800858#Jhe9kEPI0,6135429,-4445472,1997114.160,10208785,-10674919,-10716667
1285,4342602#fkGJnILJa,5025431,12683066,11467163.800,5152015,10690475,-6092169
1286,9652389#PirbOpsvG,10384818,2837001,4202566.480,4643105,5746790,6430815
1287,4956563#d7yaFLKrN,-2669080,5394959,-295503.280,4318925,9397662,6803236
1288,1696007#QlGBoDfri,12485278,-4631152,-534423.840,-11355190,10130592,8605147
1289,11832617#L9qYSWNa9,-2180058,22512,2898270.750,1296035,12701561,7050989
1290,9661588#7Zkj51IgQ,11759903,-12628947,4997869.900,10499805,-6810802,2165887
1291,3148661#qcNjdm6fM,-8150966,-11685575,-1346484.000,-481195,3731282,2847481
1292,7928602#fkGJnILJa,-7257240,-4235183,-5099421.680,-6849866,-6325795,3428559
1293,8190364#ZmNFJ7h56,-5703902,-6032140,-692406.410,12743248,-1799756,3456536
1294,6377244#tRY4LHQdB,4170610,-383300,-6560501.240,-12351967,12396915,-9210025
1295,9834376#jj2vH0nfY,-4502844,10848100,-7277970.300,-6081869,-12370175,9838123
1296,175187#YfqGgUeZq,-7809671,9183967,5135431.520,-5100220,7306490,-7658178
1297,4898823#sydwZs0P0,4676391,197685,-9849032.750,-402509,12007906,-6409802
1298,6708604#vgckvGku2,-3148902,-2103635,-9735167.140,-333298,11046441,12463822
1299,3032740#DsgxQsVOQ,899543,-8971783,-2125543.410,-10349079,7545532,-6257768
1300,4511159#YeyuBFsHk,12832102,-2106016,6073155.000,10506483,-572797,-6906402
1301,2099735#n99hE6CDX,-9594869,7442814,7729692.370,12901227,7909612,-5944607
1302,6002221#JbDX8Ly2m,9125163,-3360955,-4241287.120,-7927329,-3966377,-6417445
1303,11944899#fEDmJ6sIn,-11926363,-5592778,-5185074.110,-3246216,-12960444,8767966
1304,5642077#hZWK8CPAG,9977880,8491912,11273264.000,-12069656,-12808093,-5648419
