2493,13611611,-3783650.8,17604691#5aEnht6yq9c,-24530440.2,-15558259.340,-20828230,1.84189321E7,17383287,14771091#WYNLDtCWN5OtIGx6iW
2494,17635544,-1.7470158E7,16064853#AA90X37Vj9L,12917839.5,-1616794.320,11822612,-2.170778577E7,2175474,16001043#PI6yh76irjegBFnmq9
2495,-4837787,-9188506.0,8868636#8Ejd6t88MvZ,-312324.2,20613650.940,-14051988,-1277953.0,3339565,14919339#jYjSdJfXY3l3gfxSUg
2496,-22895224,-2.3125538E7,1540741#6sT1PkXrKmT,24700859.5,-9342402.810,24500394,1.976302929E7,2340413,9250055#87EgJflsDP9ewGCixp
2497,21309118,1.6853912E7,14911013#K7Foa4Xgndl,-16495600.5,-13127316.470,8481357,-3226859.21,-13335159,8123553#qf8Mz9gJ1mn3g5DlEm
2498,546477,-2634026.2,5107100#qkQRD4PQBIb,11852183.7,24933566.850,-6654080,397172.52,13412330,18513667#L6pKmNu3KkNvdPQ0Sn
2499,-1948554,1.3720761E7,5901210#JwI8sDHXx7v,-1885446.0,16091464.260,-19178406,2.398889812E7,-8200124,8655935#l5RnKZh4Zqsi8kzT9j
2500,2978986,-2.1245374E7,3985994#A4ojSXrxOwe,9831071.0,-1885632.640,9077001,-7045461.12,-12437709,13907680#3zlZtFiEO1dXH5hbIq
2501,17902342,1.956232E7,16750774#gcAo7cXkWIl,21528688.2,11027510.120,22709981,2.00905745E7,552472,22267635#LnFBUusHRSkIUhCpgf
2502,15987101,6850801.5,4911865#hpULBxhWJCe,-199034.7,3532184.030,2330946,-5481884.18,-1198167,15941534#CRDalllioKTjgEGJU0
2503,22218799,-1.0257175E7,7924254#QX2lPq3crFu,24519444.5,-18196766.550,-13414672,1.994883726E7,6165774,21253448#rWqBW0eQQLdfpUKL7t
2504,-20924031,-2996389.2,2709703#tN1xPVB3Adz,5637634.0,9710125.390,5162273,-2329725.98,-11416372,9770030#76Bs3NflF1iPx7jEhH
2505,16716455,1.3146058E7,20931810#HICEhZyAGnm,-7498519.3,9171785.680,-14295905,-473173.85,-24019038,5424205#jDxcvFBV5Fy63DRfrr
2506,12809605,2.1458452E7,14698215#H44vISIvcXF,-12686.0,6037492.370,-18025639,-2.398134171E7,23575630,682523#LaHJEFqfEoJYeXs9SF
2507,10403426,1.7886488E7,9800630#gd5d1ec3D7V,-693568.5,12763112.520,-11233388,2838659.54,-10551110,1923600#ZJ9zwqbppccPCFSu9w
2508,-22509594,1.704807E7,22065240#oS467eZdEoz,9935826.0,-10001099.470,-14019919,1.749376948E7,-21187216,3355399#1u0VLL0Ms9rXyeDLsZ
2509,-19543891,1.9665718E7,21763120#VBmwAuc733P,19109811.0,24002814.990,-4137019,-2.467911301E7,-22499416,20892957#630KPsc2rIGm0OffQu
2510,3735245,1.8720362E7,7472271#BKKXDJHSyND,-16375962.5,-2281688.900,13788685,1.000022994E7,19437195,2240973#kNqWFX7w2kLkTRSKGZ
2511,-21324900,-2.4917468E7,13509826#xjMZiybXd1Z,-5608001.3,-2127398.680,9167687,5865364.85,17115325,13890583#Geuk262eScFxe7nm9l
