1325,2045,1061,1,10,28,-11520103,2017-01-02 04:10:03.000,-5306703,-7583400
1326,1264,538,2,1,30,7498144,2011-09-28 00:06:37.000,9221605,-9630972
1327,2608,735,3,5,11,-6605192,2015-08-27 07:00:14.000,6675782,-7946431
1328,958,55,1,11,39,5877251,2013-02-05 21:36:48.000,628332,-6872286
1329,3788,439,2,3,32,7118337,2012-05-28 02:52:39.000,-3397967,-1476211
1330,2634,673,1,3,50,-8183075,2010-04-30 03:27:43.000,-7904625,-783421
1331,3277,477,3,12,43,-4771556,2015-07-21 15:09:44.000,-12964640,4827283
1332,1760,966,2,3,5,9914626,2010-05-06 15:38:46.000,6713879,-10539369
1333,3731,545,3,6,9,2815222,2016-06-13 02:18:45.000,-4398456,9774390
1334,1981,862,3,13,30,43785,2010-10-19 10:50:23.000,841006,9087858
1335,1891,450,3,3,68,-837765,2016-03-13 00:32:09.000,-12936089,-9806651
1336,2834,575,1,9,1,-8071138,2014-06-07 04:39:30.000,-3301846,-7672612
1337,2022,819,2,13,42,11930042,2010-04-26 01:30:57.000,-4202554,-8571285
1338,1442,937,3,7,6,4877296,2016-04-26 06:52:02.000,-316224,487079
1339,2731,878,2,4,23,2310860,2015-12-19 01:53:09.000,-7827832,-311659
1340,782,964,3,13,5,11562352,2019-02-21 03:29:11.000,11980839,10807056
1341,2148,944,3,9,29,-5170888,2016-09-21 22:21:28.000,2782151,2749713
1342,2108,783,1,8,14,4654767,2013-06-01 09:25:00.000,-5813568,6465038
1343,592,919,1,14,26,10721964,2015-03-10 05:07:23.000,-11374139,-8917934
1344,2953,1540,3,8,26,-11528030,2011-07-06 01:36:52.000,-9214721,-2432001
1345,1988,740,1,1,47,1791711,2010-12-19 21:44:46.000,842250,9700259
1346,1531,1593,2,1,37,642600,2011-09-18 15:55:36.000,8351707,12035803
1347,458,936,2,5,2,-12112717,2011-02-19 05:37:01.000,-5094389,2106519
1348,1697,821,3,11,37,6241663,2020-03-05 05:43:38.000,6451195,-6117213
1349,3681,251,1,11,37,-5497125,2013-04-12 07:35:11.000,-3206752,-10418449
1350,229,1233,2,4,54,-8633403,2017-08-10 05:21:25.000,-13445585,-6701910
1351,3272,1196,3,6,35,12750302,2011-06-19 19:42:12.000,-7269322,9458942
1352,3199,173,1,12,34,12606609,2016-05-16 18:18:43.000,2093812,-944145
1353,2393,710,1,10,47,-1747772,2016-04-22 07:10:05.000,-3697045,8004376
1354,983,371,1,9,45,4138752,2017-09-30 11:28:25.000,10530108,8852610
1355,2863,1230,2,5,49,995249,2011-11-07 06:00:56.000,6771105,13334065
1356,3856,902,3,11,25,-9939154,2020-03-11 09:57:32.000,12355358,8661022
1357,1416,1328,3,9,15,-1480819,2017-06-23 22:06:14.000,8125114,-11483585
1358,3777,1163,1,1,3,-6963082,2014-02-10 00:01:19.000,-4314149,12686584
1359,3018,1485,2,14,53,1950271,2013-04-15 16:52:03.000,-8600662,5487705
1360,1480,1582,3,1,22,-5432533,2014-04-12 20:00:44.000,-3785542,-9919617
1361,2890,594,1,2,29,12438176,2011-09-12 23:45:12.000,-1469524,-4691544
1362,3046,98,3,8,4,8311268,2018-12-15 09:59:53.000,-3413804,-4967794
1363,1844,688,3,4,53,12737354,2016-03-10 20:49:48.000,-7005467,-12601825
1364,2322,1228,1,12,6,692252,2018-10-20 00:26:22.000,8522516,12041915
1365,547,1582,2,11,24,12285899,2019-02-21 21:27:00.000,2060144,10199236
1366,2458,612,3,1,56,6584476,2012-08-10 14:48:10.000,-9469095,6385604
1367,2882,185,2,14,63,3036957,2017-03-14 23:27:20.000,-6811501,-7302518
1368,1361,1470,3,9,1,-574164,2018-08-31 22:02:15.000,1109919,-877475
1369,2506,647,2,4,42,-10689500,2014-06-02 01:39:27.000,-11504747,10554548
