1,959,130,1,230,-8424.18,6936,120,-1930.51
2,852,1548,1,123,7540.42,-8720,-4195,17528.02
3,322,1554,1,730,4968.47,17968,7381,3011.31
4,580,146,1,305,-14291.06,-9298,11254,-27859.74
5,99,528,1,496,9544.0,6065,12481,-37347.86
6,49,1074,1,774,-13270.73,51104,14553,-33762.21
7,1004,1047,1,32,34443.95,-17695,8717,-18346.83
8,306,1716,1,815,-51619.52,-11308,53140,-23493.46
9,817,312,1,889,-64381.41,26022,50399,60052.3
10,1205,328,1,604,-14255.64,-25783,-88708,-59446.71
11,204,1089,1,806,95822.78,60444,50563,-138.85
12,307,1395,1,245,108485.77,45029,57533,-62757.52
13,117,1364,1,593,18126.79,131516,68773,102286.76
14,979,796,1,1011,76549.95,-110284,16882,-64074.01
15,904,988,1,669,135482.01,-107260,103494,66485.31
16,807,1231,1,41,-57085.52,26099,101080,5653.53
17,514,622,1,854,-157414.56,-69505,163945,-79858.29
18,422,1693,1,721,35436.35,170912,44672,-184831.31
19,62,1431,1,277,-156215.04,116752,47248,-88087.12
20,527,48,1,1137,-48847.25,-77883,198681,149921.03
21,477,1753,1,578,-197268.08,-20295,159306,147768.05
22,1156,1124,1,936,11936.83,155470,-168035,177463.03
23,694,1180,1,834,-114703.72,-231724,22611,-95419.35
24,495,1299,1,214,-152502.03,138235,216825,189700.44
25,1191,1295,1,1126,-38959.2,26453,139790,-251148.89
26,699,1540,1,215,95958.52,216982,71688,-156624.25
27,780,962,1,1038,-56500.06,-131387,63077,178362.1
28,877,997,1,69,-25475.63,207421,114097,-52011.47
29,1013,1366,1,781,216797.23,-172475,169629,-240481.5
30,794,1493,1,587,-92690.53,122616,-171134,250738.27
31,651,763,1,918,-46179.9,-76283,-146696,253123.3
32,206,232,1,1059,13400.69,-24136,303199,45565.11
33,518,1501,1,688,283153.96,41584,-38082,-113284.08
34,363,1000,1,647,18429.56,-48325,163918,-123144.36
35,20,1189,1,730,134284.6,213897,71401,163912.84
36,1168,1202,1,524,-300976.62,-77063,-266790,89642.94
37,515,1235,1,290,-333541.5,286468,315802,-149290.61
38,42,1490,1,1031,-369647.89,-382393,-380270,27602.99
39,259,739,1,823,132653.09,-321361,-35684,-287590.75
40,668,347,1,1067,218422.68,-372941,288733,214875.7
41,921,269,1,853,406743.14,88260,-173422,-16476.67
42,191,350,1,796,-261501.22,-379465,115887,-203226.17
43,506,1082,1,418,-115488.78,-316916,-89051,-267872.94
44,527,677,1,442,218011.39,168310,-411604,282370.2
45,1200,1231,1,1111,-300112.67,75641,-147122,-152770.17
46,452,365,1,449,-296198.07,-39355,-201869,304977.75
47,185,789,1,1165,-127231.25,417244,-336666,425222.72
48,1007,1696,1,801,-395662.76,-2614,-18046,-263057.78
49,680,710,1,263,485782.87,14675,-248409,380753.6
50,1173,662,1,850,-29499.57,275032,-443193,68692.92
51,684,180,1,585,-5224.18,-44126,-105500,-66730.51
52,507,398,1,1041,305140.42,-414620,-260044,407128.03
53,1058,472,1,338,220968.47,234768,36962,195011.31
54,13,446,1,796,-70291.06,-151498,63626,-259059.73
55,635,378,1,751,51944.0,77765,214770,-346147.88
56,780,1040,1,304,-80470.73,436384,75579,-388962.22
57,532,197,1,1150,281643.95,-156695,88388,-108746.83
58,656,1591,1,638,-361219.52,-94008,442854,-212293.45
59,521,462,1,754,-416381.41,180322,348829,339252.3
60,566,1178,1,1018,-81455.64,-179108,-567022,-351446.72
61,674,1057,1,981,491022.78,293944,265872,-22538.85
62,929,270,1,454,537285.77,232029,257775,-354757.53
63,619,1039,1,130,112526.79,614116,321417,493486.75
