1548,1384,2854609
1549,3394,-5444367
1550,3397,-11612426
1551,3449,3946600
1552,2058,3303039
1553,500,7946434
1554,1678,-6039382
1555,580,-12322985
1556,1463,2684255
1557,3571,5863630
1558,566,-8676114
1559,3382,-8005597
1560,2915,-8016779
1561,3662,14263821
1562,163,13857985
1563,894,13936320
1564,1826,-14125256
1565,1181,-9349372
1566,974,-1999103
1567,3109,-4086690
1568,3615,1585339
1569,1080,12661615
1570,180,3857384
1571,156,-6912646
1572,1892,4073744
1573,3680,1977437
1574,2620,1305408
1575,3482,-12067124
1576,3441,-9885796
1577,3361,3060091
1578,1084,-13404887
1579,2298,3188275
1580,3326,-1304116
1581,1735,10601664
1582,2048,735032
1583,117,965685
1584,2317,-10457301
1585,1228,-15406724
1586,1197,3292328
1587,2616,8883604
1588,3464,2707109
1589,215,-6099911
1590,3432,-14829145
1591,763,11056830
1592,1220,726018
1593,2127,483495
1594,2949,3176407
1595,3205,-12480865
1596,3473,-10176130
1597,2793,2698054
1598,3226,2946674
1599,2779,-5619817
1600,1707,-11986876
1601,2635,4073981
1602,2533,3409214
1603,805,8202459
1604,1213,-6233557
1605,1103,-12719322
1606,2893,2770405
1607,3133,6052180
1608,3236,-8954339
1609,2119,-8262472
1610,2660,-8273654
1611,2487,14721021
1612,678,14301410
1613,774,14382358
1614,1218,-14577081
1615,3791,-9647984
1616,2940,-2062990
1617,1979,-4217090
1618,2735,1636139
1619,1814,13065415
1620,1405,3979984
1621,478,-7132646
1622,487,4203344
1623,2235,2040487
1624,2559,1346683
1625,907,-12450124
1626,1406,-10199334
1627,791,3157091
1628,2254,-13829512
1629,1063,3289125
1630,411,-1345141
1631,2100,10936970
1632,2343,758232
1633,172,996210
1634,1212,-10787563
1635,3208,-15893024
1636,1789,3396028
1637,551,9163754
1638,2374,2792609
1639,70,-6292054
1640,847,-15295720
1641,3408,11404561
1642,2850,748693
1643,2342,498820
1644,1669,3276282
1645,1075,-12871977
1646,3633,-10494830
1647,2063,2782707
1648,1102,3038740
1649,2164,-5795267
1650,17,-12361326
1651,1822,4201362
1652,3008,3515389
1653,1110,8458484
1654,748,-6427732
1655,1627,-13115660
1656,358,2856555
1657,2696,6240730
1658,1941,-9232564
1659,857,-8519347
1660,2405,-8530529
1661,1312,15178221
1662,1194,14744835
1663,654,14828395
1664,611,-15028906
1665,2436,-9946597
1666,941,-2126878
1667,849,-4347490
1668,1855,1686939
1669,2548,13469215
1670,2630,4102584
1671,801,-7352646
1672,3047,4332944
1673,790,2103537
1674,2497,1387958
1675,2297,-12833124
1676,3336,-10512871
1677,2186,3254091
1678,3424,-14254137
1679,3793,3389975
1680,1461,-1386166
1681,2465,11272276
1682,2638,781432
1683,227,1026735
1684,107,-11117826
1685,1223,-16379324
1686,2382,3499728
1687,2451,9443904
1688,1284,2878109
1689,3890,-6484196
1690,2227,-15762295
1691,2088,11752292
1692,515,771368
1693,2557,514145
1694,389,3376157
1695,2910,-13263090
1696,3793,-10813530
1697,1333,2867360
1698,2944,3130805
1699,1549,-5970717
1700,2292,-12735776
1701,1008,4328743
1702,3483,3621564
1703,1415,8714509
1704,283,-6621907
1705,2150,-13511997
1706,1788,2942705
1707,2258,6429280
1708,646,-9510789
1709,3559,-8776222
1710,2150,-8787404
1711,137,15635421
1712,1709,15188260
1713,534,15274433
1714,3,-15480731
1715,1081,-10245209
1716,2907,-2190765
1717,3684,-4477890
1718,975,1737739
1719,3282,13873015
1720,3855,4225184
1721,1123,-7572646
1722,1642,4462544
1723,3310,2166587
1724,2436,1429233
1725,3687,-13216124
1726,1301,-10826409
1727,3581,3351091
1728,629,-14678762
1729,2558,3490825
1730,2511,-1427191
1731,2830,11607582
1732,2933,804632
1733,282,1057260
1734,2967,-11448088
1735,3203,-16865624
1736,2974,3603428
1737,386,9724054
1738,194,2963609
1739,3745,-6676339
1740,3607,-16228870
1741,768,12100023
1742,2145,794043
1743,2772,529470
1744,3074,3476032
1745,780,-13654202
1746,3953,-11132230
1747,603,2952013
1748,820,3222871
1749,934,-6146167
1750,602,-13110226
1751,195,4456124
1752,3958,3727739
1753,1720,8970534
1754,3783,-6816082
1755,2674,-13908335
1756,3218,3028855
1757,1821,6617830
1758,3316,-9789014
1759,2297,-9033097
1760,1895,-9044279
1761,2927,16092621
1762,2225,15631685
1763,414,15720470
1764,3361,-15932556
1765,3691,-10543822
1766,908,-2254653
1767,2554,-4608290
1768,95,1788539
1769,51,14276815
1770,1115,4347784
1771,1446,-7792646
1772,237,4592144
1773,1865,2229637
1774,2374,1470508
1775,1112,-13599124
