1975,1489,9,982,303,2.2675,-1.965508896E7,6315844#qUS6T63zN95F7fC7ocJ,11813921,-12420386.260,false,7910101,16403141#M2QFLDx9Xyv33r,-4864368.0000
1976,899,2552,713,1174,-1.7760,6642282.83,1488733#GS2lDcp8YApYmTHxzxG,1432662,-8472799.050,true,-13402545,1465210#mA9voR1Bxec8hb,-639104.0000
1977,1573,1206,901,916,-3.6840,6801548.65,19605924#flk4d3T3va4LSmxHReC,379259,-18854742.440,true,-228955,11128291#1Jo5E2XAC4JMXh,16352704.0000
1978,810,421,239,192,0.4703,-1.453135865E7,6136956#KtvGIso1Kufy88CT6TY,3063188,16074578.760,true,3201882,8024885#Crt3foErgwa7wH,-18262128.0000
1979,2144,2471,807,674,2.3369,-3354173.44,2183401#OcRmdP5iuC7NPmpziYD,-9267931,9082136.520,true,-2296314,11810407#nJhWlyIsGqnrZi,2366960.0000
1980,169,951,1111,336,3.3360,-1.291630345E7,7895756#46B863OS8diIwcpjsj2,9554620,1408682.810,false,-18169145,12119382#vyKN55QBqBHsJT,-18601632.0000
1981,2500,1568,507,673,-4.0620,1.10672284E7,14586934#mH2oFb5I1OPmnOqFqiU,-16161808,13144413.850,false,18337310,9572313#IWbF2KgGIq1QA0,5646768.0000
1982,415,2431,1209,325,-3.7640,-6000506.56,9976668#aLshR1yYLaPoLdRaJmc,15966894,7804845.020,false,-19187284,5055062#vVlqJ6ufbwfjvf,-12337100.0000
1983,569,603,55,422,2.6099,6054622.97,15066752#LWYhaHtERaSq9Kg9rps,-4982330,-9290618.150,true,4326516,3175449#PRzGNHilEofpqv,-19503824.0000
1984,2304,2769,1188,420,-5.9400,-1.456253299E7,11398887#CWqtulC8TlhKk0UB40e,-9911122,-12208351.800,true,1679208,1723782#CF5AJFR5uEWNYv,1752560.0000
1985,2430,2050,1160,549,5.1580,-4660294.54,3524229#aofWxZQy4hOG5yngeuE,10661171,-2591308.820,false,-18219357,17991538#uELUUnt0p0LXkC,15272208.0000
1986,2467,1867,110,226,-1.9874,-5179257.17,15858957#scRNFhnnVZsVyQJB2Z1,17124038,-5990626.760,false,-4458599,9344907#nu1DudIU6v7ePl,16842944.0000
