2023,1608,152,860,307,0.6381,-6431504,-0.6269,-0.97,15902637#9p2DHEk7kKKHhyMpd7D9Hc0wHz,13054524,-1802886.6,16766334#I3LlNZ0P3p,6187472.000,-1.580551462E7,9517096#PIen8epfNo7A,-14437147,17001913.2,-14191338
2024,2424,173,861,711,-0.5972,-2007326,-0.5132,-4.34,7943220#AVnFnfP6oPkKfDeUNTVtkbj1f4,9044137,9845451.9,8657852#9Z2dyjotaP,4009584.000,1350668.35,17913247#aNu5w18jAxfL,-12044918,6983056.0,16635172
2025,2893,249,338,559,0.7097,-3698440,0.5877,0.50,13187280#6tpH6KuKXGCMYYcZjoPwJA77pZ,-16456524,-7232265.7,6927242#Sw5UQH66Ng,16879264.000,1.53314238E7,12262722#icrXbgjqiMHC,13603617,-19080463.0,7195640
2026,3605,385,340,312,0.5880,-20142656,0.6630,-2.12,4810427#udA9gUqUx1K2yvOCsfo9HhIWQi,-4263815,-6540641.9,7636582#afy5piXo6a,-4431424.000,-1.03680887E7,17013244#Ny8EriC2rzOn,6792026,8900114.0,19742879
2027,3910,154,585,1190,-0.6681,11207917,-0.6281,-1.42,1248107#k6o3l9KoQb46aYTFLjRg3PfWRx,17318707,2512948.4,17785827#nZGO0TB28T,14850144.000,-1.400965349E7,9398398#vyQyzDJmfZVV,-4088183,14522119.7,9534156
2028,247,49,1144,898,0.5586,-5269160,-0.5924,-4.15,19458423#Oa5GwejRtvNoEqKCPKMrC968n5,-10844058,-20001969.7,14049156#SiDNVcM0ZU,-11814336.000,2594737.41,1322058#nIZsNlpM8qkF,-15198711,6497205.8,-7324404
2029,3097,137,216,432,0.6669,-13114217,0.5589,1.09,10750037#eCdb4ubNdlK0HaonKaiH8rGdkg,6767927,-11119419.8,16566767#zq2j6Ns8oP,14001240.000,-7108470.13,11257581#jyHsChaXMLcJ,14183542,-18254450.7,18079438
2030,139,285,896,879,-0.6057,-13542575,0.7143,2.94,1599903#KxblnHlUpNxw08Ef7KVOzwxFWJ,-14015510,20012205.8,7615768#PL07RNhymk,-6272080.000,1.396328073E7,2898080#Y7Zd4UMxaEXL,12361780,-5092521.5,6183867
2031,2393,25,94,796,0.6626,12983570,-0.6793,0.28,7307945#jtV8yVafrcmPnYXdYmUSK7YQXA,8274741,1191429.5,12606707#9FY5yDO5kR,18020148.000,-936603.1,19581000#OWtVsaroh3h8,2665368,1320290.0,-3616983
2032,1730,68,706,50,0.5699,-14648051,0.7219,3.05,8144883#VafRSqpjTmEKLiQ30ZA2yMduB8,10637878,-5520885.6,16827363#MgjeYwhLsV,-11386000.000,5332847.67,11035115#mAZUTgx4gz6B,14221970,18013296.0,4814859
2033,1369,93,1197,362,0.6922,-17323391,0.6802,2.03,17012356#ZQ3zzWLn9t9XExmDylf2utYyoY,-5168353,10269454.4,10227216#DApOtzeeql,-3649440.000,3052899.92,4799131#sz1GjKMX79Ue,4281678,-12845416.9,12755395
2034,3352,111,64,947,-0.5602,8333738,0.5505,-1.82,15070333#ARjg21G6Xfd0G1FplNtZGSwTVA,8899068,14481501.6,12813915#nyBlRYBi4r,-1196576.000,2740138.72,11570609#Fg5RNzrRkjZR,-12683267,6552224.0,-13850647
2035,928,13,413,379,0.6788,-19228326,-0.6025,1.30,162968#PQR8aIC2iQt7jaZC7nc1uRmHoh,6941920,14767998.3,15670367#kq0ER1HMa8,12436640.000,-4331686.36,13021962#3ujqQy5V7t8h,13852655,-8790659.7,-8848872
2036,3273,418,776,441,0.7031,-18873515,-0.5668,-1.41,2928019#9DAAedOWVb5Kiy2i0a8Px4NPwx,-11503904,882433.7,876864#XZ4cywFXxS,9644432.000,-1.756802503E7,16249463#5PCuauPBiyzR,-18012337,6657855.0,-13289183
2037,3790,411,837,325,-0.5921,-4057207,0.6214,-2.23,12146314#25PNrjII90k5YouhhczUqAnkK2,16081388,-11261695.4,9798215#MaEdscQW7i,2239072.000,-1.267949374E7,15402483#Y5TZZ7hqDO5p,-11686629,-9757791.5,19752671
2038,820,114,510,469,0.5417,-17970111,0.7007,0.45,6227834#gwVZzyY13Yesp0lTkE6ve5sLrb,4665794,-15546500.2,7128381#xoN7k0UfXV,-18954992.000,1.9080733E7,5572604#bhKcUAwdy94Q,-19511376,588014.0,15140039
