1656,861,326,3,8,31,-12139168,2020-03-12 08:42:43.000,15089708,10579222
1657,1881,1598,3,1,48,-1806013,2018-02-09 09:10:28.000,9919864,-14021060
1658,2682,1238,1,3,27,-8502070,2015-07-10 13:31:45.000,-5267099,15489922
1659,3128,1611,2,12,59,2380918,2014-11-22 06:50:18.000,-10499962,6699489
1660,10,1117,3,6,64,-6631360,2015-08-27 20:20:43.000,-4619917,-12106860
1661,3546,840,1,1,59,15178175,2013-09-03 07:39:06.000,-1792474,-5726244
1662,1186,1367,3,5,43,10141532,2019-03-31 09:41:03.000,-4166129,-6060919
1663,1649,136,3,1,44,15542498,2017-02-14 17:10:42.000,-8549567,-15373600
1664,2232,1303,1,10,48,843779,2019-02-16 07:05:51.000,10394918,14691215
1665,851,1534,2,3,48,14987846,2019-05-23 04:16:10.000,2512730,12439486
1666,2052,564,3,7,23,8030665,2014-05-19 05:06:25.000,-11549658,7789904
1667,2452,167,2,7,60,3701574,2017-11-25 18:41:42.000,-8305876,-8907218
1668,1076,306,3,1,49,-700824,2019-01-10 00:43:12.000,1355169,-1070075
1669,1147,545,2,5,27,-13030142,2015-10-08 20:44:55.000,-14024972,12868748
1670,1186,1601,3,4,28,3162382,2015-07-21 10:04:37.000,10279803,-12097038
1671,2385,1016,2,1,30,-3342678,2013-08-23 04:07:48.000,-3761692,-2781285
1672,942,1548,1,13,36,-8205133,2014-05-14 20:24:13.000,-8048015,-3940526
1673,2394,1309,1,10,9,1819956,2019-04-24 19:51:58.000,13069141,4791482
1674,2181,365,2,13,24,-353189,2013-08-22 05:08:40.000,-10434265,-2640587
1675,2270,1576,2,3,50,-14562202,2017-11-06 02:16:12.000,-6709241,-9587238
1676,659,1585,3,1,19,9477670,2013-12-21 09:34:20.000,11656642,-12173547
1677,2093,1519,1,12,27,-8347898,2016-11-08 00:54:57.000,8436282,-10043848
1678,473,1260,3,4,21,7423925,2014-12-23 06:28:53.000,793350,-8681915
1679,3765,1254,3,3,23,8995485,2014-06-20 02:15:28.000,-4290642,-1867049
1680,1077,138,2,3,50,-10336117,2012-12-09 11:23:41.000,-9987387,-988755
1681,2654,688,2,8,53,-6024990,2016-10-13 09:52:23.000,-16375652,6097958
1682,240,1272,1,3,33,12522067,2012-12-15 16:52:28.000,8475429,-13307257
1683,1232,821,2,9,65,3555815,2017-06-11 17:30:48.000,-5551531,12338665
1684,2791,849,1,3,54,53592,2013-04-17 22:53:53.000,1062118,11473216
1685,1939,1348,1,3,29,-1055112,2017-04-05 15:47:41.000,-16325664,-12378101
1686,2832,915,3,2,58,-10187175,2015-12-19 11:47:56.000,-4168096,-9680562
1687,2769,93,2,9,17,15054870,2012-12-11 13:19:39.000,-5303654,-10817410
1688,3122,705,3,11,33,6155213,2017-05-09 00:39:19.000,-399611,616229
1689,3521,170,1,4,53,2915271,2017-02-03 12:33:27.000,-9875245,-394347
1690,2197,1061,3,9,11,14582040,2019-06-04 16:05:51.000,15109664,13627969
1691,3133,1042,3,2,65,-6520845,2017-08-26 21:10:55.000,3506651,3465638
1692,492,143,3,1,43,5867412,2015-03-25 05:56:48.000,-7330643,8149413
1693,2264,677,3,4,34,13518460,2016-07-11 18:13:24.000,-14339556,-11239572
1694,2128,946,3,8,35,-14529196,2013-11-01 02:48:38.000,-11615109,-3063488
1695,3236,1367,2,8,23,2259689,2013-06-09 15:06:57.000,1063842,12224239
1696,391,438,3,8,19,808213,2013-12-27 00:52:43.000,10525032,15164891
1697,1120,1175,1,1,2,-15258716,2013-07-25 21:42:45.000,-6415551,2655756
1698,2867,328,3,1,67,7860070,2020-03-07 23:51:55.000,8125654,-7707742
1699,3637,205,3,11,62,-6921562,2015-02-20 03:57:48.000,-4037127,-13122199
1700,2419,1275,3,14,19,-10873084,2018-04-21 22:39:53.000,-16929485,-8437227
1701,3287,319,2,13,35,16053371,2013-10-24 19:16:09.000,-9151097,11908067
1702,3062,325,3,1,21,15872434,2017-05-28 01:26:46.000,2637187,-1190895
1703,1533,1564,2,10,30,-2197791,2017-05-10 11:19:35.000,-4654295,10075851
1704,2023,1574,1,6,5,5207592,2018-05-30 04:09:56.000,13254508,11141785
1705,3843,204,2,5,43,1253997,2014-02-07 00:14:52.000,8517780,16779815
1706,3666,498,3,14,55,-12505837,2020-03-12 12:30:15.000,15545433,10898922
1707,3941,32,1,2,54,-1860212,2018-03-19 19:01:10.000,10218989,-14443972
1708,517,1519,2,1,31,-8758568,2015-10-04 11:46:49.000,-5425924,15957145
1709,503,558,3,7,49,2452692,2015-02-27 21:10:00.000,-10816512,6901453
1710,1747,503,2,5,48,-6831165,2015-11-19 12:24:03.000,-4758979,-12471401
1711,2994,613,2,12,41,15634841,2014-01-01 12:58:04.000,-1846299,-5898694
1712,876,236,3,12,4,10446576,2019-04-18 01:37:55.000,-4291517,-6243106
1713,1616,581,3,8,42,16010022,2017-04-12 12:34:11.000,-8806917,-15835562
1714,234,510,1,5,55,869033,2019-03-08 04:12:26.000,10706985,15132765
