1327,1,1,1319,2017-06-16 07:06:21.000,-13081391,2289560.070,-1.0237538E7,4519542,10329645,471393.9,true
1328,1,1,680,2017-08-31 06:40:40.000,9798531,8917435.460,8851453.0,12679113,-11771641,-474430.8,true
1329,1,1,662,2019-08-19 21:17:00.000,10243243,4372774.080,-1.1613223E7,-6800466,506488,-99882.2,false
1330,1,1,47,2017-10-26 09:41:47.000,3600659,-2820535.030,9780787.0,12114297,9257503,482724.0,true
1331,1,1,1702,2018-11-20 15:17:01.000,7617052,-12514812.260,9926812.0,12511854,2005975,-629658.6,false
1332,1,1,610,2018-04-04 08:55:22.000,2349085,-6619446.260,5247395.0,-2325958,10318333,539462.1,true
1333,1,1,1608,2015-11-14 00:58:10.000,25233,-9952771.480,8270135.5,-2778533,-5364966,321425.0,true
1334,1,1,497,2020-01-28 01:17:49.000,-6888409,-13159063.250,2082669.8,-3297108,-12379618,652199.4,false
1335,1,1,836,2019-12-16 14:57:10.000,5564055,-6791528.600,-9704255.0,-4397833,-9467243,-357072.2,true
1336,1,1,685,2017-11-01 13:47:27.000,9771077,-6874157.860,-1.1984289E7,-318673,1991720,332101.2,false
1337,1,1,805,2017-10-25 09:11:28.000,10866805,-11859328.410,-7527233.0,3399213,-1476943,622531.8,true
1338,1,1,550,2020-02-16 22:12:37.000,841729,-5265561.640,4553787.5,-12933337,8090899,-167329.2,true
1339,1,1,181,2015-12-20 04:11:52.000,-5752975,-8072471.830,85388.42,-6549726,12818320,182556.4,false
1340,1,1,1425,2016-04-16 14:03:00.000,4353723,5618158.100,-2344714.0,12555444,-5903656,434740.6,false
1341,1,1,517,2018-06-29 20:11:52.000,-5999475,-8999804.890,-2278151.5,-692233,10826663,552091.5,true
1342,1,1,789,2017-01-08 03:54:35.000,-3883640,-10649993.040,-1.24173E7,3243056,3115728,-409722.8,true
1343,1,1,1167,2018-07-02 12:56:50.000,1944739,12407377.570,202402.14,2023104,-2757383,-524401.6,true
1344,1,1,256,2019-01-23 15:33:17.000,-6973173,1303103.700,9498790.0,1220650,-1718794,286070.1,true
1345,1,1,1497,2016-07-25 01:47:10.000,2498143,9829242.000,9489951.0,2942147,-12279816,275602.5,false
1346,1,1,1151,2018-03-19 15:01:18.000,1955318,-2598338.290,2144559.0,12968720,-12889948,-137145.5,true
1347,1,1,1538,2015-08-30 14:18:30.000,2975515,3305032.960,-1.1752529E7,-10502263,-12118212,47909.3,true
1348,1,1,989,2016-04-01 11:11:01.000,9499695,-7744800.140,3620424.5,11733226,2497230,-86184.0,false
1349,1,1,1076,2015-06-25 21:42:14.000,8039269,-10469789.090,-1.117054E7,1195204,11252139,457222.0,false
1350,1,1,1288,2020-02-03 09:28:44.000,11393340,13412587.000,-6078139.0,-12804233,2397808,37779.3,false
1351,1,1,1054,2016-06-12 03:45:56.000,-8239437,1010605.640,355280.66,-42146,5201425,-574322.8,true
1352,1,1,1209,2015-06-12 13:26:35.000,-8283326,5931528.820,-3492584.2,-1337051,-8939121,466297.8,true
1353,1,1,414,2015-10-30 00:45:50.000,-10980732,-9388485.730,2929445.8,505472,-13500292,357735.0,false
1354,1,1,1620,2017-05-29 12:17:53.000,154073,3584852.700,1673241.2,5836899,-3951772,-110452.5,true
1355,1,1,1598,2015-08-21 23:19:33.000,-13034722,9312080.750,-1.2525077E7,-5896729,-13479325,602120.9,false
1356,1,1,1531,2016-07-31 21:01:45.000,-12081714,-13407788.560,-1.3030123E7,12246988,-8320497,-217076.7,false
1357,1,1,127,2019-01-19 22:41:40.000,-9304039,6264565.290,673446.0,5623319,-7776370,-367868.1,false
1358,1,1,1774,2019-09-01 23:33:19.000,278835,-3614022.490,5547414.5,-5607863,-5609667,-195685.6,false
1359,1,1,266,2020-03-09 21:25:03.000,6281566,9855777.420,-1.1757179E7,-9037807,1688948,521755.8,false
1360,1,1,750,2018-10-16 16:11:17.000,-12139412,-6560418.300,3225469.2,-3855724,5150050,240287.9,true
1361,1,1,1276,2019-08-27 22:40:37.000,6485298,-2601718.980,-1.3188144E7,12040111,-2157430,-686391.2,false
1362,1,1,664,2015-07-24 08:17:23.000,4427961,11091973.590,-1.1739819E7,1468032,9054134,-391487.1,true
