1006,5954642.0000,7184000,7665285,1605587,1365373
1007,4503355.5000,6102669,-1723206,3476565,-6332598
1008,4704212.0000,4212999,-8863970,-1517712,7173883
1009,-8346314.0000,6171741,1490330,-135527,-1357016
1010,-602431.0000,1735230,8008248,7545597,-4408953
1011,-9267372.0000,1812303,-8075611,-6543221,-3328709
1012,-9057608.0000,-9452423,-8855414,-9087822,183235
1013,-6624547.0000,-4426741,8625772,-1287169,698958
1014,3258763.0000,704138,8284346,-5198286,-2766974
1015,5872862.0000,-304872,2121046,-7961572,5010183
1016,4203351.9200,-8599589,-7183411,-5838216,-3772492
1017,-4913761.0000,3815578,2711424,-3755204,-7155222
1018,-237463.5000,185457,-25849,3105902,6789099
1019,-4046225.5000,-849452,-6548111,-9552176,-312912
1020,-3434382.0000,-4339881,1411571,1737970,-7018075
1021,831385.0000,-3601989,-4032402,-6380012,-8312246
1022,1093194.0000,10053295,9723242,4059661,-9496547
1023,2617665.6400,-5646713,727645,-9708352,2865325
1024,4626032.0000,2041702,-1205327,7789422,-3138739
1025,7608802.0000,2913270,-6446035,1456287,-6572107
1026,1443034.5000,-1627800,6137603,8054779,5926998
1027,-440948.5000,-3050357,-4080764,4986911,7793580
1028,9297595.6800,-2427939,7167804,-4367187,-8404923
1029,1988415.0000,-895895,3405178,-9308540,-3242222
1030,3379073.0000,3579544,5563299,-269319,2294100
1031,5915799.9700,2525741,-7516945,-3190797,10290654
1032,-2366632.0000,983906,8452099,8403228,-838931
1033,2289955.0000,-7934296,-382351,5015033,-381965
1034,1408271.0000,-3874530,2559512,5264776,7843739
1035,-6728078.0000,-5429222,-4771815,-4649961,6318462
1036,-3020688.0000,6828728,-4578607,-1854341,7765550
1037,-4457350.7500,8583730,3402927,-7325090,-1170267
1038,-797252.0000,7924142,6307458,-2116876,8459214
1039,6737288.0000,-2990053,-4075649,4883482,6071412
1040,-8913136.0000,-2817457,7037481,-7309461,6451747
1041,3690540.0000,-10121958,7567624,3804270,-4585252
1042,-1851528.0000,-10002703,-4568500,-215859,9276771
1043,872940.9100,-2732101,920053,879547,-1794788
1044,-9596892.0000,-4884304,-1025005,-4494920,4072438
1045,-4458970.0000,-10363076,4514783,-1598426,7325538
1046,802602.0000,-2952374,6815065,10247091,-3624225
1047,-5642988.2500,-4679699,-40765,8262063,1370832
1048,5970694.0000,2491896,377940,404785,-7693914
1049,-4883204.0000,-9444678,-6896510,10430573,10180025
1050,-1099591.0000,-3363873,8496756,-2267971,-9641855
1051,7230818.5000,7512032,3903055,295148,9801027
1052,-8049393.0000,-7393665,-1416442,-6690849,1745803
1053,1351354.7900,10158039,-9052584,-3353268,2712112
1054,3885342.2400,-6437755,-7479621,8664095,3039504
1055,9752534.0000,-3119613,4165418,-110700,6133437
1056,6250992.0000,7541341,8046035,1684923,1433023
1057,4726780.5000,6405596,-1809093,3649190,-6647123
1058,4937999.5000,4421586,-9303820,-1592604,7529396
1059,-8759614.0000,6478023,1563955,-141964,-1423900
1060,-632606.0000,1820741,8404861,7918997,-4626753
1061,-9725972.0000,1901683,-8475086,-6866802,-3493674
1062,-9505508.0000,-9919279,-9292564,-9536372,191935
1063,-6951897.0000,-4645264,9051697,-1350594,733158
1064,3419838.0000,739234,8692571,-5454311,-2903224
1065,6162562.0000,-320214,2225446,-8353922,5256933
1066,4410170.4200,-9022792,-7536674,-6125291,-3958538
1067,-5155811.0000,4003250,2844324,-3939929,-7507022
1068,-249001.0000,194616,-27599,3258827,7122549
1069,-4245250.5000,-891613,-6869111,-10020938,-328712
1070,-3602807.0000,-4552210,1480321,1822695,-7361718
1071,872535.0000,-3778160,-4229486,-6692862,-8719658
1072,1146944.0000,10545031,10198483,4258536,-9960760
1073,2745199.6400,-5922283,762745,-10183327,3005800
1074,4851482.0000,2141095,-1264477,8169472,-3291596
1075,7979502.0000,3055747,-6760385,1527675,-6892295
1076,1512897.0000,-1706749,6436796,8447154,6216298
1077,-462623.5000,-3198704,-4279739,5229811,8172743
1078,9749573.6800,-2546173,7516670,-4579537,-8814198
1079,2085365.0000,-939381,3570221,-9761059,-3399697
1080,3542948.0000,3753300,5832999,-281969,2405737
