212,60,1,1,13,196,1785077#CFqj9QicN,1987922,155055,-18879.7,2112806,14.750,2007-02-28 01:54:09.000,false,-2025589,-1311146,-279634,353496.5
213,665,1,1,12,214,1465533#YQfpzxsqZ,1187965,-70469,86619.3,1551140,413.840,2015-09-28 22:24:43.000,false,-1109681,-924851,1763586,1114957.5
214,1206,1,1,4,279,667011#mtyWc4537,-195628,-386938,-4852.8,661023,-767.190,2010-03-08 09:36:49.000,true,359751,-1550458,-720638,925112.66
215,1753,1,1,5,226,102456#l6jZ99hde,-1410563,-168290,83460.1,2109589,238.300,2013-11-19 10:00:27.000,false,-411568,-1178517,-1791612,148561.4
216,362,1,1,5,127,1581772#bPhwMvbAu,-963457,1314037,-44871.4,-429870,-658.710,2007-03-05 13:24:39.000,false,1662773,-234262,666792,665008.11
217,1036,1,1,5,259,765712#MpIxMZv74,-2058009,-536180,101571.2,110039,-468.050,2018-06-12 22:55:24.000,true,-166871,-2067422,656009,-39678.76
218,305,1,1,13,301,208104#St0fKJ7mp,913485,-1692748,66191.9,-135123,521.520,2018-04-08 16:26:33.000,true,-1673554,1712344,455710,850005.55
219,1472,1,1,10,132,1993444#9bP6fyc8q,1102984,-336486,-103521.5,2057539,1329.040,2015-06-08 23:05:56.000,true,-819565,1627735,187509,-1475818.05
220,1152,1,1,1,83,213112#4g6g1Ym8d,793592,-289805,68653.6,-926042,130.830,2010-12-13 20:10:07.000,true,-198000,1682902,560071,572463.46
221,368,1,1,2,267,163079#b6ifqOD6k,-963670,1783586,96447.4,1185704,301.480,2007-05-03 23:43:15.000,false,-1113255,1416838,686554,41713.05
222,148,1,1,3,2,357185#zCEydGGyf,1184730,-999457,103359.7,-67277,456.690,2014-09-17 06:07:34.000,true,-580491,-59813,-79515,-1850846.38
223,1434,1,1,2,187,1983314#ALe96LxgF,-857295,710884,-49000.0,1915523,-619.560,2006-05-12 05:33:43.000,false,671389,283583,-1090197,-1220008.6
224,734,1,1,10,97,1518948#7BzvELkSr,11193,2199616,-41939.0,-453548,-1397.530,2013-12-20 21:25:57.000,true,-381599,-964525,-2177534,528228.06
225,1536,1,1,13,248,342611#niNOxiX4O,1604543,-384083,-54646.5,-1340995,88.230,2006-06-19 14:01:52.000,true,-810583,1438711,875898,-668393.82
