871,641,2,2,2,1,1475,4966211,1293804.7700,-2326740.500
872,504,2,1,2,9,1115,2154560,2303470.0500,6006244.000
873,1030,2,1,4,6,678,90619,6703120.2700,4580679.500
874,362,2,1,9,3,998,-2280496,7580839.2300,3690385.000
875,486,1,2,5,3,14,3899069,-2419033.7500,-2897746.500
876,765,1,6,2,4,1251,3759423,-8717673.8400,-7437052.000
877,1034,1,1,8,8,492,-681954,1941614.6300,-439833.000
878,114,1,1,9,6,981,4275999,3853002.4700,203179.000
879,743,2,4,1,3,1167,8455739,2004681.7200,-2323378.000
880,638,1,4,2,8,1641,-337717,-7717813.6000,-8687808.000
881,371,2,1,8,3,919,-8225223,-643940.5100,-7962356.000
882,458,2,1,4,2,1753,-2204156,-5325018.9800,8349344.840
883,1003,1,3,2,9,1697,-945890,-194852.3100,-8114819.000
884,820,1,3,7,1,1080,-387030,-5184250.3600,-3680195.000
885,472,2,6,4,8,1104,7872648,792636.0000,5403722.000
886,501,1,1,8,2,1571,2643900,1567365.0000,-6082923.000
887,8,2,6,2,7,1697,-5272616,520691.5600,3084205.500
888,491,1,2,5,4,365,-1225639,-236522.7500,-6619952.000
889,912,1,4,7,1,855,2694871,8442500.5700,6658636.250
890,1127,1,3,8,3,787,-6195065,3850044.5000,1141353.800
891,1095,1,6,1,4,958,-1722877,5825765.7300,3899107.000
892,578,2,2,7,5,799,8583647,3233060.3800,-4552808.000
893,635,2,1,2,9,849,7186628,461574.1500,5147348.000
894,103,2,1,7,5,529,-3370639,2670845.8800,-527432.000
895,1127,1,2,2,6,954,617009,708980.8900,-4314667.000
896,347,2,5,4,3,1283,-8127828,-4419873.4800,8720379.520
897,756,1,3,6,6,447,101463,496426.6400,6129084.500
898,242,2,6,7,2,796,1466249,8119817.8800,-8705600.000
899,1165,1,1,2,2,1461,-5646083,-4246061.1000,2247100.320
900,1101,2,2,9,2,568,-6687491,-6359229.7500,108245.000
901,807,2,1,3,3,566,-4641656,1818529.6000,2825901.000
902,1105,2,1,7,4,764,1569501,-1938131.0700,4521786.120
903,239,1,5,8,9,1630,4049456,1844464.7100,-2640366.750
904,321,1,6,3,6,336,-4930625,-1065.2800,4325168.000
905,231,1,5,3,5,1743,8950266,7083113.0500,3236338.000
906,35,2,3,8,9,126,466566,6714537.2500,-315653.500
907,164,2,2,9,8,629,7435641,-8891948.2500,-5111941.500
908,735,1,6,7,4,943,-3520359,2337550.8700,-5926208.000
909,1189,2,3,6,6,664,6399509,8808382.7400,-2490276.500
910,361,1,4,2,9,87,4239712,3343837.0000,-2015488.000
911,1034,2,2,5,4,384,-1334784,-2269647.2400,-8552602.500
912,993,2,2,1,2,95,-7554442,-4674365.8400,3703088.160
913,645,2,3,8,1,200,-4620555,-8060183.4600,-8057196.000
914,446,1,3,7,1,713,-812336,6919468.1600,-5864836.000
915,882,1,2,6,2,940,-2550708,261930.2500,-8267706.000
916,618,2,5,3,4,1512,-5395267,4530811.3300,2982856.000
917,1128,2,3,6,9,1424,7273229,4619630.2300,4352265.000
918,224,1,5,2,2,524,5269156,-4764073.3000,7090008.000
919,1028,2,4,7,5,52,-1677417,-3993922.9400,-7053825.000
920,984,1,1,3,2,1468,-7883409,-8613951.9000,-9080160.000
921,438,2,6,4,7,150,5250760,1367698.2700,-2460315.500
922,257,2,1,4,1,765,2278003,2436090.0500,6350269.000
923,821,1,5,2,2,1478,95282,7087094.7700,4842854.500
924,681,2,5,3,4,1348,-2410422,8014665.2300,3901510.000
